# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Français
# R = Receive Rate
dialog_network_id			ID
dialog_network_ip_port			IP:Port
dialog_network_seqid			SeqID
dialog_network_seqid_number			SeqID *S
# S = Sequence Id
dialog_network_name			Nom
dialog_network_status			Statut
dialog_network_lost_con			Conx perdue…*Ss
# S = Number of seconds since the connection was lost
dialog_network_synching			Synching...*P
# P = Percentage done Synching
dialog_network_ping			Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec			(spèc)
dialog_network_empty			Vide
dialog_network_sequence_msg_queue			Messages séquentiels en attente. L'idéal est 0 ou 1 rempli sans espace
dialog_network_svr_known_seqid			Seqip connue du serveur   *S
# S = Sequence Id
dialog_network_svr_estimated_seqid			Seqid estimée du serveur   *S
# S = Sequence Id
dialog_network_estimated_latency			Latence estimée : *L secs
# L = Estimated Latency
dialog_network_client_seqid			SEQID client       *S
# S = Sequence Id
dialog_network_client_send			Envoi client        *R Ko/sec
# R = Send Rate
dialog_network_client_receive			Récep client     *R Ko/sec
# R = Receive Rate

dialog_profile_title                Profileur
dialog_profile_toggle_glfinish			Activer glFinish
dialog_profile_reset_history			Réinitialiser histoire
dialog_profile_min			Min
dialog_profile_avg			Moy
dialog_profile_max			Max

dialog_c2s_team_renamed			*T renommé en *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game			*T a rejoint la partie
# T = Team Name
dialog_c2s_default_name_spectator   Spectateur
dialog_c2s_default_name_player      Joueur *T
# T = Team Id

dialog_world_new_spec_connecting			Un nouveau spectateur se connecte
dialog_world_team_left_game			*T a quitté la partie
# T = Team Name
dialog_world_spec_left_game			Le spectateur *T a quitté la partie
# T = Team Name
dialog_world_rejoined			*T A REJOINT
# T = Team Name
dialog_world_disconnected			*T EST DÉCONNECTÉ
# T = Team Name
dialog_world_dropped			*T ABANDONNÉ
# T = Team Name
dialog_world_kicked			*T EST EXCLU
# T = Team Name

dialog_mapr_fps			*Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population			POPULATION : *P MILLIONS
# P = City Population
dialog_mapr_city_dead			MORTS       : *D MILLIONS
# D = City Dead Population
dialog_mapr_mode			MODE *M 
# M = Current State
dialog_mapr_secs			*S SECS
# S = Seconds
dialog_mapr_empty			VIDE
dialog_mapr_cancel_all_orders			ANNULER TOUS LES ORDRES
dialog_mapr_not_before_defcon_x			PAS AVANT DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required			DEFCON *D REQUIS
# D = Defcon level
dialog_mapr_out_of_range			HORS DE PORTÉE
dialog_mapr_combat_range			PORTÉE DE COMBAT
dialog_mapr_fuel_range			PORTÉE EN CARBURANT
dialog_mapr_nukes_in_queue			*N EN ATTENTE
# N = Number of Nukes
dialog_mapr_nukes_in_flight			*N EN VOL
# N = Number of Nukes

dialog_style			Style
dialog_style_editor			Éditeur de style
dialog_style_primary			Principal
dialog_style_secondary			Secondaire
dialog_style_red			Rouge
dialog_style_green			Vert
dialog_style_blue			Bleu
dialog_style_alpha			Alpha
dialog_style_colour_editor			Éditeur de couleur
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style			Échec de chargement de style\n
dialog_style_style_saved			Style sauvegardé dans\n
dialog_style_failed_save_style			Échec de sauvegarde de style dans\n
dialog_style_col_primary			Principal
dialog_style_col_secondary			Secondaire
dialog_style_col_horiz			Horiz
dialog_style_col_ngtive			Ngtive
dialog_style_col_caps			Maj
dialog_style_col_size			Taille
dialog_style_col_font			Fonte


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0			Mettre le jeu en pause
tooltip_timeaccel1			Jouer en temps réel
tooltip_timeaccel2			Accélérer le temps\n(Temps réel x 5)
tooltip_timeaccel3			Accélérer le temps\n(Temps réel x 10)
tooltip_timeaccel4			Accélérer le temps\n(Temps réel x 20)

tooltip_worldstatus_x_faster_realtime			*Sx temps réel
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0			\nRaccourci clavier : 0\n
tooltip_worldstatus_key_shortcut_1			\nRaccourci clavier : 1\n
tooltip_worldstatus_key_shortcut_2			\nRaccourci clavier : 2\n
tooltip_worldstatus_key_shortcut_3			\nRaccourci clavier : 3\n
tooltip_worldstatus_key_shortcut_4			\nRaccourci clavier : 4\n
tooltip_worldstatus_players_request_speed			Joueurs demandant la vitesse :
tooltip_worldstatus_no_team_request_speed			\nAucun
tooltip_worldstatus_cannot_request_speed			Vous ne pouvez pas demander cette vitesse de jeu

tooltip_defcon5			DEFCON 5\nAucune action hostile n'est permise\nLes unités ennemies sont invisibles sur le radar
tooltip_defcon4			DEFCON 4\nLes unités ennemis deviennent visibles sur le radar
tooltip_defcon3			DEFCON 3\nLe combat naval est autorisé\nLe combat aérien est autorisé
tooltip_defcon2			DEFCON 2
tooltip_defcon1			DEFCON 1\nLe combat nucléaire est autorisé

tooltip_toolbar_whiteboard			Affiche le tableau
tooltip_toolbar_whiteboard_disabled			Le tableau est désactivé de par la version plus ancienne de l'hôte
tooltip_toolbar_radar			Couverture radar on/off
tooltip_toolbar_pop			Densité de la population on/off
tooltip_toolbar_alliances			Afficher fenêtre d'alliances
tooltip_toolbar_units			Afficher panneau d'unités
tooltip_toolbar_score			Afficher fenêtre de scores
tooltip_toolbar_comms			Afficher fenêtre de communications
tooltip_toolbar_orders			Ordres on/off
tooltip_toolbar_info			Afficher fenêtre de renseignements
tooltip_toolbar_territory			Territoires on/off
tooltip_toolbar_nukes			Afficher unités avec missile nucléaire

tooltip_whiteboard_planning			Active ou désactive le dessin sur le tableau. Clic gauche pour dessiner, clic droit pour effacer.
tooltip_whiteboard_eraseall			Efface tout ce qui est présent sur le tableau.
tooltip_whiteboard_showall			Affiche tous les tableaux d'alliance, ou juste le vôtre.

tooltip_gameoption_servername			Veuillez saisir le nom de votre serveur de jeu que vous voulez montrer aux autres joueurs
tooltip_gameoption_advertiseoninternet			Si elle est activée, votre partie sera annoncée sur le métaserveur et les autres joueurs sur Internet pourront la rejoindre.
tooltip_gameoption_advertiseonlan			Si elle est activée, les autres joueurs pourront voir votre partie sur le même réseau local (LAN).
tooltip_gameoption_maxteams			Le nombre maximum de joueurs pouvant participer à votre partie.
tooltip_gameoption_territoriesperteam			Le nombre de territoires que chaque joueur possèdera en cours de partie.
tooltip_gameoption_citiesperterritory			Le nombre de villes générées par territoire possédé.
tooltip_gameoption_populationperterritory			La population (en millions) dans chaque territoire.\nLes populations par ville seront divisées selon ce chiffre.
tooltip_gameoption_citypopulations			Contrôle la répartition de votre population dans vos villes.\n\n- Par défaut : les populations correspondent à celles du monde réel\n\n- Égale : toutes les villes d'un territoire ont la même population\n\n- Aléatoire : chaque ville a une population aléatoire, mais les villes standard sont toujours présentes et vos villes seront toujours au même endroit à chaque partie\n\n- Totalement aléatoire : chaque ville a une population aléatoire, et des villes aléatoires seront choisies dans une base de données, la position de vos villes sera donc également aléatoire.
tooltip_gameoption_randomterritories			Si cette option est activée, les territoires seront attribués de manière aléatoire aux joueurs.\n\nPratique pour éviter les disputes sur qui obtient l'Europe.
tooltip_gameoption_maxspectators			Nombre maximum de spectateurs.\nAttention : chaque spectateur utilise de la largeur de bande du serveur.\n\n0=aucun\n100=illimité.
tooltip_gameoption_spectatorchatchannel			Contrôle si les joueurs peuvent lire les messages des spectateurs. Vous pouvez décider de rendre privé le canal des spectateurs pour éviter qu'ils aident les joueurs.\n\n- Publique : tous les joueurs pourront connaître ce que disent les spectateurs. (par défaut)\n\n- Privé : seuls les spectateurs pourront lire les messages du canal de spectateurs. Ce mode empêche toute communication entre un spectateur et un joueur.
tooltip_gameoption_teamswitching			Si cette option est activée, les joueurs pourront changer d'équipe en cours de partie avec les touches numériques.\n\nNon recommandé pour les parties sérieuses.
tooltip_gameoption_permitdefection			Si cette option est activée, les joueurs pourront modifier les alliances en cours de partie.
tooltip_gameoption_radarsharing			Contrôle lorsque les joueurs peuvent partager leur couverture radar avec les autres.\n\n- Toujours désactivé : le partage d'une couverture radar n'est pas autorisé.\n\n- Alliance : les alliés partagent la même couverture radar. (par défaut)\n\n- Sélectif : chaque joueur peut décider de qui, allié ou non, partage sa couverture radar.\n\n- Toujours activé : la couverture radar est partagée par tout le monde. C'est un mode 'Débutants' pratique puisque vous pouvez voir constamment toutes les unités de vos adversaires.
tooltip_gameoption_gamespeed			La vitesse de jeu de cette partie.\nPlus basse requise choisit la vitesse la plus basse choisie par n'importe quel joueur.
tooltip_gameoption_slowestspeed             La vitesse la plus lente à laquelle peut tourner la partie. Si Pause est choisi, tout joueur peut mettre la partie en pause avec la barre de vitesse.
tooltip_gameoption_enableworldevents			Si cette option est activée, des événements aléatoires surviendront en cours de partie.
tooltip_gameoption_gamemode			Contrôle les règles gouvernant la partie.
tooltip_gameoption_scoremode			Contrôle l'importance en points des tués, des morts et des armes nucléaires restantes.
tooltip_gameoption_victorytrigger			Détermine quand le minuteur de victoire se déclenche. Cette valeur représente le pourcentage sous lequel le nombre d'armes nucléaires au monde doit tomber pour que le minuteur de victoire démarre.\n\nPar exemple, si cette valeur est de 20 (par défaut) le nombre total d'armes nucléaires doit tomber sous les 20% du nombre initial pour qu'il se déclenche.
tooltip_gameoption_victorytimer			Une fois que le minuteur de victoire s'est déclenché, ce nombre de minutes s'écoulera avant que la partie ne prenne complètement fin.
tooltip_gameoption_maxgamerealtime			Le temps du monde réel maximum de la partie en minutes.\n\n0 = temps du monde réel disponible illimité - la partie ne prendra pas fin avant que le minuteur de victoire n'arrive à son terme.
tooltip_gameoption_variableunitcounts			Active le mode Crédits.\nChaque joueur reçoit un nombre de crédits à dépenser sur ses unités, et peut paramétrer ses forces comme il l'entend.
tooltip_gameoption_worldscale			NOTE : Expérimental.\n\nCette variable agrandit la taille du monde, les parties durent ainsi plus longtemps.\n\nÀ 100, l'échelle du monde est normale.\n\nÀ la plus haute valeur (200) chaque équipe a deux fois plus d'unités, mais la portée d'attaque et radar de chaque unité est divisée par deux.\n\nHautement expérimental.\nNécessite un ordinateur puissant.\nNous recommandons de désactiver le rendu de traces pour une meilleure vue.
tooltip_gameoption_permitpausing			Si cette option est activée, un joueur peut mettre la partie en pause en cours de jeu.
tooltip_gameoption_serverpassword			Décidez de n'accorder l'accès qu'à ceux connaissant le mot de passe.\n\nLaisser vide pour une absence de mot de passe.

tooltip_gamemode_default			Marquez des points en détruisant à l'arme nucléaire les villes de vos adversaires.\nDefcon fonctionnera à la vitesse la plus basse requise.
tooltip_gamemode_office_mode			Defcon fonctionnera dans une fenêtre sans son, et pas plus de 6 heures en temps réel.\nSi le patron arrive, appuyez deux fois sur Échap pour cacher la fenêtre.
tooltip_gamemode_speed_defcon			Defcon fonctionnera à pleine vitesse et ne durera pas plus de 15 minutes. Il est impossible de mettre en pause. Instinctif et brutal.
tooltip_gamemode_diplomacy			Tous les joueurs commenceront en tant que\nmembre de l'alliance verte, le partage de la couverture radar étant activé. Combien de temps va durer l'alliance ? Trois joueurs humains ou plus recommandés.
tooltip_gamemode_bigworld			Le monde est deux fois plus grand ! Chaque joueur a deux fois plus d'unités, mais leur taille, leur vitesse, leur portée radar et d'armes sont réduites de moitié.\nPour ceux qui aiment les longues parties.
tooltip_gamemode_tournament			Les règles par défaut sont de rigueur, sauf que les spectateurs ne peuvent pas communiquer avec les joueurs, et que les territoires sont assignés de manière aléatoire.
tooltip_gamemode_custom			Aucune règle spécifique n'est de rigueur. Tout est possible.

tooltip_scoremode_default			Marquez 2 points pour chaque ennemi tué.\nPerdez 1 point pour chacun que vous ne parvenez pas à protéger.
tooltip_scoremode_survivor			Marquez 1 point pour chaque survivant sur votre territoire. Toutes les équipes commencent avec\n100 point et ce score ne peut que descendre.
tooltip_scoremode_genocide			Marquez 1 point pour chaque ennemi tué. Horrible, mais simple.

tooltip_defection_no			Toute défection est interdite. Les alliances seront conservées pour toute la partie.\n\nVous êtes automatiquement en état de cessez-le-feu avec vos alliés.
tooltip_defection_yes			Les défections sont permises. Vous ou tout autre joueur êtes autorisés à changer d'alliance n'importe quand.\n\nVous pouvez activer ou désactiver l'état de cessez-le-feu avec vos alliés à volonté.

tooltip_radarsharing_alwaysoff			Le partage radar est interdit. Vous ne pourrez voir que votre propre couverture radar.
tooltip_radarsharing_alliance			Le partage radar est activé entre les membres d'une alliance. Cela signifie que vous partagerez automatiquement votre couverture radar avec tous vos alliés.\n\nNote : les sous-marins alliés ne seront pas visibles à moins de faire surface.
tooltip_radarsharing_selective			Le partage radar est sélectif. Vous pouvez choisir de partager votre couverture radar (ou non) avec qui vous voulez.
tooltip_radarsharing_alwayson			Le partage radar est activé pour tout le monde. Vous pouvez voir toutes les unités du jeu.\n\nNote : vous ne pourrez PAS voir les sous-marins ennemis à moins qu'ils ne fassent surface.

tooltip_ceasefire_enable			Vos unités militaires cesseront automatiquement de faire feu sur cette équipe.\nToute arme nucléaire ayant pour cible cette équipe se désarmera d'elle même.
tooltip_ceasefire_disable			Vos unités militaires considèreront cette équipe en tant qu'ennemie, et fera feu dessus automatiquement.
tooltip_radarshare_enable			Votre couverture radar sera envoyée à cette équipe, et elle verra tout ce que vous voyez.\nNote : vos sous-marins resteront dissimulés tant qu'ils ne feront pas surface
tooltip_radarshare_disable			Vous cesserez d'envoyer votre couverture radar à cette équipe. Elle ne pourra plus voir ce que vous voyez.

tooltip_place_silo			Placer silo
tooltip_place_radar			Placer centre radar
tooltip_place_airbase			Placer base aérienne
tooltip_place_battleship			Ajouter navire de guerre à la flotte
tooltip_place_sub			Ajouter sous-marin à la flotte
tooltip_place_carrier			Ajouter porte-avions à la flotte
tooltip_place_unit			Placer unité ici
tooltip_place_fleet			Placer flotte ici
tooltip_fleet_button			Construire une flotte
tooltip_fleet_remove			Enlever cette unité de la flotte
tooltip_fleet_place			Placer cette flotte

tooltip_territory_northamerica			Amérique du Nord
tooltip_territory_southamerica			Amérique du Sud
tooltip_territory_europe			Europe
tooltip_territory_russia			Russie
tooltip_territory_southasia			Asie du Sud
tooltip_territory_africa			Afrique

tooltip_lobby_teamname			Saisir un nom pour votre équipe
tooltip_lobby_territories			Sélectionner le territoire de votre équipe
tooltip_lobby_alliance			Sélectionner l'alliance que vous souhaitez rejoindre
tooltip_lobby_requestteam			Créer une équipe à incarner
tooltip_lobby_requestai			Créer une équipe contrôlée par l'ordinateur
tooltip_lobby_ready			Prêt à jouer. La partie commencera lorsque tous les joueurs sont prêts
tooltip_lobby_ready_disable			Nom de partie non valide
tooltip_lobby_chat			Ouvrir la fenêtre de chat
tooltip_lobby_aggression			Modifie le niveau d'agression de l'IA, 10 étant le niveau maximum\n0 fournit à l'équipe un niveau d'agression aléatoire
tooltip_lobby_demo_max_player			Vous jouez une démo. Vous ne pouvez pas avoir tant de joueurs dans votre partie.
tooltip_lobby_click_open_slot			Cliquez pour ouvrir cet emplacement à d'autres joueurs
tooltip_lobby_click_close_slot			Cliquez pour fermer cet emplacement aux autres joueurs
tooltip_lobby_address_port			IP : *I\nPORT :*P
# I = IP address, P = Port

tooltip_chat_public			Canal publique. Tous les joueurs peuvent y voir les messages
tooltip_chat_alliance			Canal de l'alliance. Seuls les membres de votre alliance peuvent y lire les messages
tooltip_chat_spectators			Canal de spectateurs. Les spectateurs ne peuvent intervenir qu'ici

tooltip_alliance_join			Envoyer une requête pour rejoindre cette alliance
tooltip_alliance_leave			Quitter mon alliance
tooltip_alliance_kick			Commencer un vote pour exclure ce membre de l'alliance

tooltip_vote_yes			Voter oui
tooltip_vote_no			Voter non
tooltip_vote_abstain			S'abstenir

tooltip_lmb			[BGS]
tooltip_rmb			[BDS]

tooltip_placeobject			[BGS] PLACER UNITÉ
tooltip_placefleet			[BGS] PLACER FLOTTE
tooltip_invalidplacement			PLACEMENT NON VALIDE
tooltip_spacetocancel			APPUYER SUR ESPACE POUR ANNULER

tooltip_selectobject			[BGS] SÉLECTIONNER UNITÉ
tooltip_selectfleet			[BGS] SÉLECTIONNER FLOTTE
tooltip_setobjectstate			[BDS] CHANGER ÉTAT DE L'UNITÉ
tooltip_enemyunit			(UNITÉ ENNEMIE)
tooltip_attack			[BGS] ATTAQUER CETTE UNITÉ
tooltip_moveobject			[BDS] DÉPLACER UNITÉ ICI
tooltip_movefleet			[BDS] DÉPLACER FLOTTE ICI
tooltip_cantmovehere			MOUVEMENT IMPOSSIBLE
tooltip_spawnfighter			[BGS] LANCER CHASSEUR ICI
tooltip_spawnbomber			[BGS] LANCER BOMBARDIER ICI
tooltip_spawnnuke			[BGS] LANCER MISSILE NUCLÉAIRE ICI
tooltip_spacetodeselect			APPUYER SUR ESPACE POUR DÉSÉLECTIONNER
tooltip_landobject			[BGS] FAIRE ATTERRIR AVION ICI

tooltip_controls_sidescrolling			Vous pouvez déplacer la caméra avec la souris sur les bords de l'écran
tooltip_controls_zoomspeed			Ajuste la sensibilité de la souris et du zoom
tooltip_controls_camdragging			Vous pouvez déplacer la caméra en maintenant le bouton central de la souris enfoncé
tooltip_controls_keyboardlayout			Vous laisse modifier votre type de contrôle

tooltip_close_window			Fermer la fenêtre

tooltip_demo_exit_the_game			Quitter

tooltip_server_browser_game_time			Temps de jeu :
tooltip_server_browser_game_has_ended			\nLa partie est terminée
tooltip_server_browser_game_started			Commencée
tooltip_server_browser_not_yet_started			Non encore commencée
tooltip_server_browser_teams			\nÉquipes  :
tooltip_server_browser_spectator			\nSpectateurs :
tooltip_server_browser_game_mode			\nMode de jeu :
tooltip_server_browser_score_mode			\nMode de points :
tooltip_server_browser_mod			\nMOD :
tooltip_server_browser_right_click_details			\n(Clic droit pour infos)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               Joueur

gameoption_ServerName			Nom du serveur
gameoption_New_Game_Server			Nouveau serveur
gameoption_AdvertiseOnInternet			Montrer sur Internet
gameoption_Disabled			Désactivé
gameoption_Enabled			Activé
gameoption_AdvertiseOnLAN			Montrer sur LAN
gameoption_GameMode			Mode de jeu
gameoption_Default			Par défaut
gameoption_Office_Mode			Bureau
gameoption_Speed_Defcon			PGV
gameoption_Diplomacy			Diplomatie
gameoption_BigWorld			Vaste monde
gameoption_Tournament			Tournoi
gameoption_Custom			Paramétrée
gameoption_MaxTeams			Équipes max.
gameoption_TerritoriesPerTeam			Territoires par équipe
gameoption_CitiesPerTerritory			Villes par équipe
gameoption_PopulationPerTerritory			Population par territoire
gameoption_CityPopulations          Populations des villes
gameoption_Equalised                Égalisées
gameoption_Random                   Aléatoires
gameoption_TotallyRandom            Totallement aléatoires
gameoption_RandomTerritories			Territoires aléatoires
gameoption_PermitDefection			Permettre défection
gameoption_No			Non
gameoption_Yes			Oui
gameoption_RadarSharing			Partage radar
gameoption_AlwaysOff			Toujours désactivé
gameoption_Alliance			Alliance
gameoption_Selective			Sélective
gameoption_AlwaysOn			Toujours activée
gameoption_GameSpeed			Vitesse de jeu
gameoption_Slowest_Requested			Plus basse requise
gameoption_Pause			Pause
gameoption_Real_Time			Temps réel
gameoption_5x_Real_Time			5x temps réel
gameoption_10x_Real_Time			10x temps réel
gameoption_20x_Real_Time			20x temps réel
gameoption_SlowestSpeed			Vitesse la plus basse
gameoption_ScoreMode			Mode de points
gameoption_Survivor			Survivant
gameoption_Genocide			Génocide
gameoption_VictoryTrigger			Déclencheur de victoire
gameoption_VictoryTimer			Minuteur de victoire
gameoption_MaxGameRealTime			Temps réel max. de la partie
gameoption_VariableUnitCounts			Compte de la variable unités
gameoption_WorldScale			Échelle
gameoption_MaxSpectators			Nbr. max. de spectateurs
gameoption_SpectatorChatChannel			Canal vocal des spectateurs
gameoption_Private			Privé
gameoption_Public			Publique
gameoption_TeamSwitching			Changement d'équipe
gameoption_ServerPassword			Mot de passe du serveur


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground			Fond de fenêtre
style_WindowTitleBar			Barre de titre de fenêtre
style_WindowOuterBorder			Bord exterieur de fenêtre
style_WindowInnerBorder			Bord intérieur de fenêtre
style_ButtonBackground			Fond de bouton
style_ButtonHighlighted			Bouton mis en évidence
style_ButtonClicked			Bouton cliqué
style_ButtonBorder			Bord de bouton
style_BoxBackground			Fond de boîte
style_BoxBorder			Bord de boîte
style_InputBackground			Fond d'entrée
style_InputBorder			Bord d'entrée
style_FontWindowTitle			Fonte titre de fenêtre
style_FontButton			Fonte bouton
style_WorldCoastlines			lignes côtières mondiales
style_WorldBorders			Bord mondial
style_WorldWater			Eau mondiale
style_WorldLand			Terre mondiale
style_TooltipBackground			Font d'outil d'astuce
style_TooltipBorder			Bord d'outil d'astuce
style_FontTooltip			Fonte outil d'astuce
style_PopupBackground			Fond de popup
style_PopupTitleBar			Barre de titre de popup
style_PopupBorder			Bord de popup
style_PopupHighlight			Mise en évidence de popup
style_PopupSelection			Choix de popup
style_FontPopupTitle			Fonte titre de popup
style_FontPopup			Fonte popup


# =============================================================================
# Unit names
# =============================================================================

unit_silo			silo
unit_nuke			arme nucléaire
unit_city			ville
unit_sub			sous-marin
unit_radar			radar
unit_battleship			navire de guerre
unit_airbase			base aérienne
unit_fighter			chasseur
unit_bomber			bombardier
unit_carrier			porte-avions
unit_tornado			tornade
unit_saucer			vaisseau extraterrestre
unit_explosion			explosion


# =============================================================================
# Unit States
# =============================================================================

state_preparing			PRÉPARATION :
state_prepare			PRÉPARATION :
state_ready			PRÊT :
state_fighterlaunch			DÉPLOIEMENT DE CHASSEUR
state_bomberlaunch			DÉPLOIEMENT DE BOMBARDIER
state_attack			ATTAQUE
state_flight			VOL
state_bombernuke			DÉPLOIEMENT SRBM
state_airtoseamissile			COMBAT NAVAL
state_antisub			ANTI SOUS-MARINS
state_ontarget			SUR CIBLE
state_disarm			DÉSARMEMENT
state_radar			BALAYAGE
state_silonuke			DÉPLOIEMENT ICBM
state_airdefense			DÉFENSE AÉRIENNE
state_passivesonar			SONAR PASSIF
state_activesonar			SONAR ACTIF
state_subnuke			DÉPLOIEMENT MRBM


# =============================================================================
# Game messages
# =============================================================================

message_fuel			Plus de carburant
message_tornadodeath			Tornade dissipée
message_nukelaunch			Déploiement nucléaire détecté
message_multilaunch			Déploiements nucléaires détectés
message_firstlaunch			Déploiement nucléaire par *T détecté
message_incursion			Incursions en territoire ennemi interdites
message_destroyed			*U détruit(e)
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit			*C touché(e), *D morts
message_fallout			Retombées sur *C, *D morts
# C = city name, D = number of deaths

details_fuel			CARBURANT

message_victory			*T L'EMPORTE
message_stalemate			PAS DE VAINQUEUR DISTINCT
message_spectators_chat_players			Les spectateurs peuvent maintenant parler aux joueurs
message_placeunits			VOUS DEVEZ PLACER TOUTES LES UNITÉS AVANT DEFCON 3

message_fleet_move			La flotte ne peut pas se déplacer ici
message_disarmed			Missile désarmé

message_alliance_join			*P rejoint l'alliance *N
message_alliance_kicked			L'alliance *N exclut *P
message_alliance_leave			*P quitte l'alliance *N
# P = player name, N = alliance name

message_invalid_action			PAS AVANT DEFCON *D
# D = Defcon level

message_ten_minute_warning			ALERTE DIX MINUTES
message_victory_timer			MINUTEUR DE VICTOIRE DÉCLECNCHÉ

tray_icon_caption			DEFCON
tray_icon_ten_minute_warning			Alerte dix minutes
tray_icon_victory_timer			Minuteur de victoire déclenché
tray_icon_nuke_launches_detected			Armes nucléaires lancées
tray_icon_enemy_subs_detected			Sous-marins ennemis détectés


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero			probabilité d'attaque : aucune
odds_vlow			probabilités d'attaque : très basses
odds_low			probabilités d'attaque : basses
odds_med			probabilités d'attaque : moyennes
odds_high			probabilités d'attaque : élevées
odds_vhigh			probabilités d'attaque : très élevées


# =============================================================================
# Misc
# =============================================================================

unknown			Inconnu

officemode_1			Le mode bureau aura priorité sur la vitesse sélectionnée
officemode_2			paramètres et options écran.

alien_attack			*C détruit(e) par une attaque extraterrestre
alien_invasion			INVASION EXTRATERRESTRE !
tornado_warning			ALERTE À LA TORNADE


# =============================================================================
# Tutorial
# =============================================================================

tutorial			Didacticiel
levelselect			Sélection du niveau
tutorial_clicknext			Cliquez sur Suivant
tutorial_restart_mission			Recommencer mission
tutorial_missioncomplete			MISSION ACCOMPLIE
tutorial_missionfailed			MISSION RATÉE
tutorial_mission			MISSION *X
# X = mission number
tutorial_team_name_cpu			ORDI ennemi
tutorial_team_name_player			Joueur

tutorial_restart			Redémarrer
tutorial_next			Suivant
tutorial_chapter_desc			CHAPITRE *C/7   -   *N
# C = Chapter Number, N = Chapter Name
tutorial_level			Niveau *L
# L = Level Number

tutorial_levelname_1			Déploiement d'armes nucléaires
tutorial_levelname_2			Défense aérienne
tutorial_levelname_3			Couverture radar
tutorial_levelname_4			Reconnaissance et bombardement
tutorial_levelname_5			Flottes navales
tutorial_levelname_6			Sous-marins
tutorial_levelname_7			Guerre thermonucléaire globale

tutorial_popup			Message didacticiel
tutorial_clicknext_popup			Cliquez sur SUIVANT pour continuer.

# ==== MISSION 1 =====

tutorial_start			Bienvenue dans le didacticiel de Defcon.\n\nVous y apprendrez tout ce que vous avez besoin de savoir pour commander vos forces correctement.\n\nCliquez sur Suivant pour continuer.
tutorial_movecamera			Avant de commencer, vous devez apprendre comment contrôler votre point de vue.\n\nDéplacez-le en bougeant le curseur de la souris au bord de l'écran, dans la direction vers laquelle vous voulez le faire évoluer.\n\nOu vous pouvez aussi utiliser les touches Z, Q, S et D.
tutorial_zoomcamera			La molette de la souris sert à effectuer des zooms avants ou arrières.\n\nLes touches A et E occupent également ces fonctions.
tutorial_movecamera2			Vous pouvez aussi maintenir enfoncé le bouton central de la souris puis faire glisser le point de vue.\n\nCliquez sur Suivant une fois les contrôles de point de vue acquis, et nous rentrerons dans le vif du sujet.
tutorial_silofocus			Cet objet mis en évidence est un silo à missiles. Il dispose de deux modes :\n - En mode de lancement ICBM, il peut lancer des armes nucléaires sur des cibles ennemies.\n - En mode de défense aérienne, il s'occupera des armes nucléaires et des forces aériennes ennemies.\n\nNous devons placer le silo en mode de lancement ICBM pour détruire les centres radars proches.\nEffectuez un clic droit sur le silo et changez-le en mode de lancement ICBM.
macosx_tutorial_silofocus			Cet objet mis en évidence est un silo à missiles. Il dispose de deux modes :\n - En mode de lancement ICBM, il peut lancer des armes nucléaires sur des cibles ennemies.\n - En mode de défense aérienne, il s'occupera des armes nucléaires et des forces aériennes ennemies.\n\nNous devons placer le silo en mode de lancement ICBM pour détruire les centres radars proches.\nEffectuez un clic droit sur le silo et changez-le en mode de lancement ICBM. (Ctrl-clic si vous avez une souris à un bouton)
tutorial_mission1destroyradar			Remarquez que l'icône du silo à missiles se transforme en triangle lorsqu'il se prépare à lancer des armes nucléaires.\n\nUtilisez votre silo à missiles pour détruire les centres radars ennemis.

tutorial_mission1end			Mission 1 accomplie.\n\nCliquez sur Suivant pour passer à la mission 2.
tutorial_mission1failed			Vous avez utilisé toutes vos armes nucléaires sans détruire les cibles, et avez échoué.\n\nCliquez sur Recommencer pour réessayer.

tutorial_silofocus_popup1			Effectuez un clic droit sur ce silo et réglez-le en mode de lancement ICBM.
macosx_tutorial_silofocus_popup1			Effectuez un clic droit sur ce silo et réglez-le en mode de lancement ICBM.\n(Ctrl-clic si vous avez une souris à un bouton)
tutorial_silofocus_selectpopup			Effectuez un clic gauche sur ce silo pour le sélectionner.
tutorial_mission1destroyradar_popup			Effectuez un clic gauche sur ce centre radar ennemi pour y lancer un missile nucléaire.
#tutorial_mission1deselect_popup			Appuyez sur ESPACE pour désélectionner cette unité.
