# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Italiano
# S = Number of seconds since the connection was lost
dialog_network_synching			Sincronizzazione...*P
# P = Percentage done Synching
dialog_network_ping			Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec			(specifica)
dialog_network_empty			Vuoto
dialog_network_sequence_msg_queue			Sequenza messaggi in coda. L'ideale è 0 o 1 riempiti, senza vuoti.
dialog_network_svr_known_seqid			Server conosciuto     SeqID   *S
# S = Sequence Id
dialog_network_svr_estimated_seqid			Server stimato SeqID   *S
# S = Sequence Id
dialog_network_estimated_latency			Latenza stimata : *L secs
# L = Estimated Latency
dialog_network_client_seqid			SEQID client       *S
# S = Sequence Id
dialog_network_client_send			Invio client      *R Kb/sec
# R = Send Rate
dialog_network_client_receive			Ricezione client     *R Kb/sec
# R = Receive Rate

dialog_profile_title                Profiler
dialog_profile_toggle_glfinish			Attiva glFinish
dialog_profile_reset_history			Risetta storico
dialog_profile_min			Min
dialog_profile_avg			Medio
dialog_profile_max			Max

dialog_c2s_team_renamed			*T rinominato *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game			*T è entrato in partita
# T = Team Name
dialog_c2s_default_name_spectator   Spettatore
dialog_c2s_default_name_player      Giocatore *T
# T = Team Id

dialog_world_new_spec_connecting			Un nuovo spettatore si sta collegando
dialog_world_team_left_game			*T ha lasciato la partita
# T = Team Name
dialog_world_spec_left_game			Lo spettatore *T ha lasciato la partita
# T = Team Name
dialog_world_rejoined			*T RIENTRATO
# T = Team Name
dialog_world_disconnected			*T SCOLLEGATO
# T = Team Name
dialog_world_dropped			*T HA ABBANDONATO
# T = Team Name
dialog_world_kicked			*T ESPULSO
# T = Team Name

dialog_mapr_fps			*Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population			POPOLAZIONE : *P MILIONI
# P = City Population
dialog_mapr_city_dead			MORTI     : *D MILIONI
# D = City Dead Population
dialog_mapr_mode			MODALITÀ *M
# M = Current State
dialog_mapr_secs			*S SECONDI
# S = Seconds
dialog_mapr_empty			VUOTO
dialog_mapr_cancel_all_orders			ANNULLA TUTTI GLI ORDINI
dialog_mapr_not_before_defcon_x			NON PRIMA DI DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required			NECESSARIO DEFCON *D
# D = Defcon level
dialog_mapr_out_of_range			FUORI PORTATA
dialog_mapr_combat_range			DISTANZA D'ATTACCO
dialog_mapr_fuel_range			AUTONOMIA DI VOLO
dialog_mapr_nukes_in_queue			*N IN CODA
# N = Number of Nukes
dialog_mapr_nukes_in_flight			*N IN VOLO
# N = Number of Nukes

dialog_style			Stile
dialog_style_editor			Editor stili
dialog_style_primary			primario
dialog_style_secondary			secondario
dialog_style_red			Rosso
dialog_style_green			Verde
dialog_style_blue			Blu
dialog_style_alpha			Alfa
dialog_style_colour_editor			Editor colori *I *P
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style			Caricamento stile fallito\n
dialog_style_style_saved			Stile salvato in\n
dialog_style_failed_save_style			Fallito salvataggio stile in\n
dialog_style_col_primary			Primario
dialog_style_col_secondary			Secondario
dialog_style_col_horiz			Orizzontale
dialog_style_col_ngtive			Negativo
dialog_style_col_caps			Maiuscole
dialog_style_col_size			Dimensione
dialog_style_col_font			Font


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0			Metti la partita in pausa
tooltip_timeaccel1			Esegui in tempo reale
tooltip_timeaccel2			Accelera il tempo\n(5x tempo reale)
tooltip_timeaccel3			Accelera il tempo\n(10x tempo reale)
tooltip_timeaccel4			Accelera il tempo\n(20x tempo reale)

tooltip_worldstatus_x_faster_realtime			Tempo reale *Sx
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0			\nScorciatoia codice: 0\n
tooltip_worldstatus_key_shortcut_1			\nScorciatoia codice: 1\n
tooltip_worldstatus_key_shortcut_2			\nScorciatoia codice: 2\n
tooltip_worldstatus_key_shortcut_3			\nScorciatoia codice: 3\n
tooltip_worldstatus_key_shortcut_4			\nScorciatoia codice: 4\n
tooltip_worldstatus_players_request_speed			I giocatori richiedono velocità:
tooltip_worldstatus_no_team_request_speed			\nNessuno
tooltip_worldstatus_cannot_request_speed			Non potete richiedere questa velocità di gioco

tooltip_defcon5			DEFCON 5\nNessuna azione ostile permessa\nLe unità nemiche sono invisibili sul radar
tooltip_defcon4			DEFCON 4\nLe unità nemiche diventano visibili sul radar
tooltip_defcon3			DEFCON 3\nCombattimento navale autorizzato\nCombattimento aereo autorizzato
tooltip_defcon2			DEFCON 2
tooltip_defcon1			DEFCON 1\nAttacchi nucleari autorizzati

tooltip_toolbar_whiteboard			Attiva Lavagna
tooltip_toolbar_whiteboard_disabled			La Lavagna è disattivata a causa di una versione più vecchia dell'host
tooltip_toolbar_radar			Mostra copertura radar
tooltip_toolbar_pop			Mostra densità di popolazione
tooltip_toolbar_alliances			Mostra finestra alleanze
tooltip_toolbar_units			Mostra pannello unità
tooltip_toolbar_score			Mostra finestra punteggi
tooltip_toolbar_comms			Mostra finestra comunicazioni
tooltip_toolbar_orders			Mostra ordini
tooltip_toolbar_info			Mostra finestra info unità
tooltip_toolbar_territory			Mostra territori
tooltip_toolbar_nukes			Mostra unità con testate atomiche

tooltip_whiteboard_planning			Attiva disegno sulla Lavagna. Cliccate sinistro per disegnare, cliccate destro per cancellare.
tooltip_whiteboard_eraseall			Cancella tutti i disegni dalla Lavagna.
tooltip_whiteboard_showall			Passa da mostrare tutte le Lavagne alleanza a solo la vostra.

tooltip_gameoption_servername			Inserite il nome del vostro Game Server che volete sia visto dagli altri giocatori
tooltip_gameoption_advertiseoninternet			Se abilitato, la vostra partita sarà pubblicizzata sul MetaServer e altri giocatori su Internet potranno unirsi a voi.
tooltip_gameoption_advertiseonlan			Se abilitato, la vostra partita sarà visibile ad altri giocatori nella stessa rete locale (LAN).
tooltip_gameoption_maxteams			Il numero massimo di giocatori che possono partecipare alla vostra partita.
tooltip_gameoption_territoriesperteam			Il numero di territori che ogni giocatore possiederà durante la partita.
tooltip_gameoption_citiesperterritory			Il numero di città generate per territorio posseduto dal giocatore.
tooltip_gameoption_populationperterritory			Il numero di persone (in milioni) in ogni territorio.\nLe popolazioni delle città verranno scalate di conseguenza.
tooltip_gameoption_citypopulations			Controlla come la popolazione è suddivisa tra le vostre città.\n\n- Default: le popolazioni delle città sono basate su quelle del mondo reale\n\n- Equalizzate: tutte le città in un territorio hanno la stessa popolazione\n\n- Casuale: la popolazione di ogni città è casuale, però sono scelte delle città standard in modo che esse siano nella stessa posizione a ogni partita\n\n- Totalmente casuale: la popolazione di ogni città è casuale, inoltre le città sono scelte a caso dal database in modo che anche la loro posizione sia diversa.
tooltip_gameoption_randomterritories			Se abilitato, ai giocatori verranno assegnati territori scelti a caso all'inizio del gioco.\n\nUtile per risolvere litigi su chi vuole tenere l'Europa.
tooltip_gameoption_maxspectators			Il numero massimo di persone che possono assistere al gioco.\nAttenzione: ogni spettatore usa banda del server.\n\n0=nessuno\n100=illimitati
tooltip_gameoption_spectatorchatchannel			Controlla se i giocatori possono leggere i messaggi chat degli spettatori. Potreste preferire un canale spettatori privato per impedire a chi osserva di aiutare i giocatori.\n\n- Pubblico: tutti i giocatori potranno udire quello che dicono gli spettatori (default).\n\n- Privato: solo gli spettatori potranno leggere i messaggi nel canale spettatori. Non c'è possibilità di comunicazione tra giocatori e spettatori.
tooltip_gameoption_teamswitching			Se abilitato, i giocatori potranno cambiare squadra durante il gioco usando i tasti numerati.\n\nSconsigliato ai giocatori seri!
tooltip_gameoption_permitdefection			Se abilitato, i giocatori potranno cambiare le alleanze durante il gioco.
tooltip_gameoption_radarsharing			Controlla quando i giocatori possono condividere il radar con altri giocatori.\n\n- Sempre off: condividere il radar non è permesso.\n\n- Alleanza: gli alleati condividono automaticamente il radar (default).\n\n- Selettivo: Ogni giocatore può scegliere di condividere il radar con qualsiasi giocatore (alleato o meno).\n\n- Sempre on: tutti condividono in radar. Si tratta di una pratica modalità principianti che fa vedere tutte le unità degli avversari contemporaneamente.
tooltip_gameoption_gamespeed			L'impostazione di velocità per la partita in corso.\nPiù lenta richiesta usa la velocità più bassa tra quelle selezionate dai giocatori.
tooltip_gameoption_slowestspeed             La velocità più bassa possibile del gioco. Selezionando Pausa, qualsiasi giocatore può mettere la partita in pausa usando la barra velocità gioco.
tooltip_gameoption_enableworldevents			Se abilitato, eventi casuali accadranno durante la partita
tooltip_gameoption_gamemode			Controlla le regole che governano la partita
tooltip_gameoption_scoremode			Controlla il valore in punti per uccisioni/morti/atomiche rimaste
tooltip_gameoption_victorytrigger			Determina il momento in cui partirà il Timer vittoria. Il valore rappresenta la percentuale del numero totale di testate nucleari nel mondo che devono essere usate prima della partenza del Timer vittoria.\n\nEsempio: se impostato a 20 (default) il numero totale di testate deve scendere sotto il 20% del conteggio iniziale per fare partire il Timer vittoria.
tooltip_gameoption_victorytimer			Una volta che il Timer vittoria è partito, rimarrà questo numero di minuti di gioco prima che la partita termini definitivamente.
tooltip_gameoption_maxgamerealtime			Il tempo reale massimo di durata della partita in minuti.\n\n0 = tempo reale illimitato: il gioco non terminerà fino all'esaurimento del Timer vittoria.
tooltip_gameoption_variableunitcounts			Abilita la Modalità crediti.\n Ogni giocatore riceve un numero di crediti da spendere nelle proprie unità e può personalizzare le proprie forze a piacere.
tooltip_gameoption_worldscale			NOTA: Sperimentale.\n\nQuesta variabile rende effettivamente il mondo più grande, e fa durare il gioco più a lungo di conseguenza.\n\nA 100 la scala del mondo è normale.\n\nAl valore più alto (200) ogni squadra ha il doppio di unità, ma ognuna ha la portata del radar e delle armi dimezzata.\n\nOpzione altamente sperimentale.\nRichiede una CPU potente.\nSuggeriamo di disabilitare il rendering delle scie degli oggetti per una visuale più nitida.
tooltip_gameoption_permitpausing			Se abilitato, un giocatore può mettere il gioco in pausa durante la partita.
tooltip_gameoption_serverpassword			Impostate una password per limitare l'accesso solo alle persone che la conoscono\nLasciate vuoto per non avere password 

tooltip_gamemode_default			Fate punti nuclearizzando le città degli avversari.\nDefcon si svolgerà alla velocità più richiesta.
tooltip_gamemode_office_mode			Defcon si svolgerà in una finestra senza sonoro, e andrà avanti in real time per non più di 6 ore.\nSe arriva il capo, spingete Esc due volte per nascondere la finestra.
tooltip_gamemode_speed_defcon			Defcon si svolgerà a velocità massima e non\ndurerà più di 15 minuti. Impossibile mettere il gioco in pausa. Istintivo e brutale.
tooltip_gamemode_diplomacy			Tutti i giocatori cominciano come membri dell'Alleanza verde, con la condivisione radar attivata. Quanto durerà l'alleanza?\nConsigliati tre o più giocatori umani.
tooltip_gamemode_bigworld			Il mondo è due volte più grande! Ogni unità è dimezzata per dimensione, portata del radar, portata delle armi e velocità di movimento.\nPer chi ama partite più lunghe.
tooltip_gamemode_tournament			Sono valide le regole standard, ma gli spettatori non possono comunicare con i giocatori durante la partita. Inoltre sono assegnati ai giocatori territori a caso.
tooltip_gamemode_custom			Non viene imposta nessuna regola specifica: tutto può andare.

tooltip_scoremode_default			Farete due punti per ogni nemico ucciso e perderete un punto per ognuno che non riuscirete\na proteggere nel vostro territorio. 
tooltip_scoremode_survivor			Farete un punto per ogni sopravvissuto nel vostro territorio. Tutte le squadre partono con 100 punti e il punteggio può solo scendere.
tooltip_scoremode_genocide			Farete un punto per ogni nemico ucciso. Tanto semplice quanto orribile.

tooltip_defection_no			La defezione non è permessa. Le alleanze rimarranno fisse per tutta la partita\n\nSarete automaticamente in una condizione di cessate il fuoco con i vostri alleati.
tooltip_defection_yes			La defezione è permessa. Potete scegliere di cambiare alleanza in qualsiasi momento.\n\nPotete abilitare o disabilitare la condizione di cessate il fuoco con I vostri alleati in qualsiasi momento.

tooltip_radarsharing_alwaysoff			La condivisione radar non è permessa. Potrete vedere solo quello che rivela la vostra copertura radar.
tooltip_radarsharing_alliance			La condivisione radar è abilitata tra membri di un'alleanza. Questo significa che condividerete automaticamente il radar con tutti i vostri alleati.\n\nNota: i sottomarini alleati non saranno visibili a meno che non emergano.
tooltip_radarsharing_selective			La condivisione radar è selettiva. Potete scegliere di condividere il vostro radar (o no) con qualsiasi altro giocatore.
tooltip_radarsharing_alwayson			La condivisione radar è abilitata per tutti. Potrete vedere tutte le unità nel gioco.\n\nNota: NON potrete vedere i sottomarini avversari a meno che non emergano.

tooltip_ceasefire_enable			Le vostre unità militari cesseranno immediatamente il fuoco contro questa squadra.\nEventuali testate atomiche diretta contro questa squadra si disarmeranno.
tooltip_ceasefire_disable			Le vostre unità militari considereranno questa squadra come nemica, e faranno automaticamente fuoco contro di essa.
tooltip_radarshare_enable			La vostra copertura radar sarà inviata a questa squadra, e loro vedranno quello che vedete voi.\nNota: i vostri sottomarini saranno nascosti finché resteranno immersi.
tooltip_radarshare_disable			Cesserete di inviare copertura radar a questa squadra. Non potranno più vedere quello che vedete voi.

tooltip_place_silo			Piazza silos
tooltip_place_radar			Piazza stazione radar
tooltip_place_airbase			Piazza base aerea
tooltip_place_battleship			Assegna incrociatore alla flotta
tooltip_place_sub			Assegna sottomarino alla flotta
tooltip_place_carrier			Assegna portaerei alla flotta
tooltip_place_unit			Piazza unità qui
tooltip_place_fleet			Piazza flotta qui
tooltip_fleet_button			Forma una flotta
tooltip_fleet_remove			Rimuovi questa unità dalla flotta
tooltip_fleet_place			Piazza questa flotta

tooltip_territory_northamerica			Nord America
tooltip_territory_southamerica			Sud America
tooltip_territory_europe			Europa
tooltip_territory_russia			Russia
tooltip_territory_southasia			Asia Meridionale
tooltip_territory_africa			Africa

tooltip_lobby_teamname			Inserisci un nome per la tua squadra
tooltip_lobby_territories			Inserisci un nome per il tuo territorio
tooltip_lobby_alliance			Seleziona l'alleanza in cui vuoi entrare
tooltip_lobby_requestteam			Crea una squadra per giocare come
tooltip_lobby_requestai			Crea una squadra controllata dal computer
tooltip_lobby_ready			Pronti a giocare. La partita comincerà quando tutti i giocatori saranno pronti
tooltip_lobby_ready_disable			Il nome della partita non è valido
tooltip_lobby_chat			Apri la finestra di chat
tooltip_lobby_aggression			Cambia l'aggressività dell'AI, 10 è il massimo\n0 da alla squadra un'aggressività casuale
tooltip_lobby_demo_max_player			State giocando una demo, quindi non potete avere così tanti giocatori in partita.
tooltip_lobby_click_open_slot			Cliccate per aprire questo slot e fare partecipare altri giocatori.
tooltip_lobby_click_close_slot			Cliccate per chiudere questo slot e impedire ad altri giocatori di partecipare.
tooltip_lobby_address_port			IP: *I\nPORT:*P
# I = IP address, P = Port

tooltip_chat_public			Canale pubblico. Tutti i giocatori possono vedere i messaggi qui
tooltip_chat_alliance			Canale d'alleanza. Solo i membri della tua alleanza possono vedere i messaggi qui
tooltip_chat_spectators			Canale spettatori. Solo gli spettatori possono inviare messaggi qui

tooltip_alliance_join			Invia una richiesta per entrare in questa alleanza
tooltip_alliance_leave			Abbandona questa alleanza
tooltip_alliance_kick			Inizia una votazione per escludere questo membro dall'alleanza

tooltip_vote_yes			Vota Sì
tooltip_vote_no			Vota No
tooltip_vote_abstain			Astieniti dal voto

tooltip_lmb                         [PSM]
tooltip_rmb                         [PDM]

tooltip_placeobject			[PSM] PIAZZA UNITÀ
tooltip_placefleet			[PSM] PIAZZA FLOTTA
tooltip_invalidplacement			PIAZZAMENTO NON VALIDO
tooltip_spacetocancel			PREMI SPAZIO PER CANCELLARE

tooltip_selectobject			[PSM] SELEZIONA UNITÀ
tooltip_selectfleet			[PSM] SELEZIONA FLOTTA
tooltip_setobjectstate			[PDM] CAMBIA STATO UNITÀ
tooltip_enemyunit			(UNITÀ NEMICA)
tooltip_attack			[PSM] ATTACCA QUESTA UNITÀ
tooltip_moveobject			[PDM] MUOVI UNITÀ QUI
tooltip_movefleet			[PDM] MUOVI FLOTTA QUI
tooltip_cantmovehere			IMPOSSIBILE MUOVERE QUI
tooltip_spawnfighter			[PSM] LANCIA CACCIA QUI
tooltip_spawnbomber			[PSM] LANCIA BOMBARDIERE QUI
tooltip_spawnnuke			[PSM] LANCIA TESTATA ATOMICA QUI
tooltip_spacetodeselect			SPAZIO PER DESELEZIONARE UNITÀ
tooltip_landobject			[PSM] ATTERRA QUI

tooltip_controls_sidescrolling			Permette di muovere la telecamera con il mouse sul bordo dello schermo
tooltip_controls_zoomspeed			Regola la sensibilità del mouse e lo zooming del trackpad
tooltip_controls_camdragging			Permette di muovere la telecamera trattenendo il tasto centrale del mouse
tooltip_controls_keyboardlayout			Vi permette di cambiare il tipo di input

tooltip_close_window			Chiudi la finestra

tooltip_demo_exit_the_game			Esci dalla partita

tooltip_server_browser_game_time			Tempo partita:
tooltip_server_browser_game_has_ended			\nPartita terminata
tooltip_server_browser_game_started			Iniziato
tooltip_server_browser_not_yet_started			Non ancora iniziato
tooltip_server_browser_teams			\nSquadre :
tooltip_server_browser_spectator			\nSpettatori :
tooltip_server_browser_game_mode			\nModalità partita :
tooltip_server_browser_score_mode			\nModalità punti :
tooltip_server_browser_mod			\nMOD:
tooltip_server_browser_right_click_details			\n(Cliccate destro per i dettagli)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               Giocatore

gameoption_ServerName			Nome server
gameoption_New_Game_Server			Nome server partita
gameoption_AdvertiseOnInternet			Pubblicizza su Internet
gameoption_Disabled			Disattivato
gameoption_Enabled			Attivato
gameoption_AdvertiseOnLAN			Pubblicizza su LAN
gameoption_GameMode			Modalità gioco
gameoption_Default			Default
gameoption_Office_Mode			Modalità ufficio
gameoption_Speed_Defcon			Defcon veloce
gameoption_Diplomacy			Diplomazia
gameoption_BigWorld			BigWorld
gameoption_Tournament			Torneo
gameoption_Custom			Personalizzato
gameoption_MaxTeams			Massimo squadre
gameoption_TerritoriesPerTeam			Territori per squadra
gameoption_CitiesPerTerritory			Città per squadra
gameoption_PopulationPerTerritory			Popolazione per territorio
gameoption_CityPopulations          Popolazioni città
gameoption_Equalised                Equalizzato
gameoption_Random                   Casuale
gameoption_TotallyRandom            Totalmente casuale
gameoption_RandomTerritories			Territori casuali
gameoption_PermitDefection			Defezione permessa
gameoption_No			No
gameoption_Yes			Sì
gameoption_RadarSharing			Condivisione radar
gameoption_AlwaysOff			Sempre Off
gameoption_Alliance			Alleanza
gameoption_Selective			Selettivo
gameoption_AlwaysOn			Sempre On
gameoption_GameSpeed			Velocità partita
gameoption_Slowest_Requested			Richiesta più lenta
gameoption_Pause			Pause
gameoption_Real_Time			Tempo reale
gameoption_5x_Real_Time			Tempo reale x5
gameoption_10x_Real_Time			Tempo reale x10
gameoption_20x_Real_Time			Tempo reale x20
gameoption_SlowestSpeed			Velocità minima
gameoption_ScoreMode			Modalità punti
gameoption_Survivor			Sopravvivenza
gameoption_Genocide			Genocidio
gameoption_VictoryTrigger			Causa vittoria
gameoption_VictoryTimer			Timer vittoria
gameoption_MaxGameRealTime			Tempo reale massimo partita
gameoption_VariableUnitCounts			Conteggi variabili unità
gameoption_WorldScale			Dimensione mondo
gameoption_MaxSpectators			Massimo spettatori
gameoption_SpectatorChatChannel			Canale chat spettatori
gameoption_Private			Privato
gameoption_Public			Pubblico
gameoption_TeamSwitching			Cambio squadre
gameoption_ServerPassword			Password server


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground			Sfondo finestra
style_WindowTitleBar			Barra titolo finestra
style_WindowOuterBorder			Bordo esterno finestra
style_WindowInnerBorder			Bordo interno finestra
style_ButtonBackground			Sfondo tasti
style_ButtonHighlighted			Tasti evidenziati
style_ButtonClicked			Tasti premuti
style_ButtonBorder			Bordo tasti
style_BoxBackground			Sfondo riquadro
style_BoxBorder			Bordo riquadro
style_InputBackground			Sfondo input
style_InputBorder			Bordo input
style_FontWindowTitle			Font finestra titolo
style_FontButton			Font tasti
style_WorldCoastlines			Coste
style_WorldBorders			Confini
style_WorldWater			Acqua
style_WorldLand			Terra
style_TooltipBackground			Sfondo suggerimento
style_TooltipBorder			Bordo suggerimento
style_FontTooltip			Font suggerimento
style_PopupBackground			Sfondo popup
style_PopupTitleBar			Barra titolo popup
style_PopupBorder			Bordo popup
style_PopupHighlight			Evidenza popup
style_PopupSelection			Selezione popup
style_FontPopupTitle			Font titolo popup
style_FontPopup			Font popup


# =============================================================================
# Unit names
# =============================================================================

unit_silo			silos
unit_nuke			testata atomica
unit_city			città
unit_sub			sottomarino
unit_radar			radar
unit_battleship			incrociatore
unit_airbase			base aerea
unit_fighter			caccia
unit_bomber			bombardiere
unit_carrier			portaerei
unit_tornado			tornado
unit_saucer			astronave aliena
unit_explosion			esplosione


# =============================================================================
# Unit States
# =============================================================================

state_preparing			IN PREPARAZIONE PER
state_prepare			PREPARAZIONE PER
state_ready			PRONTO PER
state_fighterlaunch			LANCIO CACCIA
state_bomberlaunch			LANCIO BOMBARDIERE
state_attack			ATTACCO
state_flight			VOLO
state_bombernuke			LANCIO SRBM
state_airtoseamissile			COMBATTIMENTO NAVALE
state_antisub			ANTISOTTOMARINI
state_ontarget			SUL BERSAGLIO
state_disarm			DISARMA
state_radar			SCANDAGLIO
state_silonuke			LANCIO ICBM
state_airdefense			DIFESA AEREA
state_passivesonar			SONAR PASSIVO
state_activesonar			SONAR ATTIVO
state_subnuke			LANCIO MRBM


# =============================================================================
# Game messages
# =============================================================================

message_fuel			Carburante esaurito
message_tornadodeath			Tornado dissipato
message_nukelaunch			Rilevato lancio
message_multilaunch			Rilevati lanci
message_firstlaunch			Lancio *T rilevato 
message_incursion			Incursione in territorio nemico non permessa
message_destroyed			*U distrutto
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit			*C colpita, *D morti
message_fallout			Ricaduta su *C, *Dm morti
# C = city name, D = number of deaths

details_fuel			CARBURANTE

message_victory			VITTORIA A *T
message_stalemate			VITTORIA INCERTA
message_spectators_chat_players			Ora gli spettatori possono chattare con i giocatori
message_placeunits			DEVI PIAZZARE TUTTE LE UNITÀ PRIMA DI DEFCON 3

message_fleet_move			La flotta non può muovere qui
message_disarmed			Missile disarmato

message_alliance_join			*P entra nell'alleanza *N
message_alliance_kicked			*P escluso dall'alleanza *N
message_alliance_leave			*P lascia l'alleanza *N
# P = player name, N = alliance name

message_invalid_action			NON PRIMA DI DEFCON *D
# D = Defcon level

message_ten_minute_warning			AVVERTIMENTO DIECI MINUTI
message_victory_timer			TIMER VITTORIA AVVIATO

tray_icon_caption			DEFCON
tray_icon_ten_minute_warning			Avvertimento dieci minuti
tray_icon_victory_timer			Timer vittoria avviato
tray_icon_nuke_launches_detected			Rilevati lanci atomici
tray_icon_enemy_subs_detected			Rilevati sottomarini nemici


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero			chance attacco: zero
odds_vlow			chance attacco: molto basse
odds_low			chance attacco: basse
odds_med			chance attacco: medie
odds_high			chance attacco: alte
odds_vhigh			chance attacco: molto alte


# =============================================================================
# Misc
# =============================================================================

unknown			sconosciuto

officemode_1			La Modalità ufficio modificherà le impostazioni
officemode_2			prescelte di velocità e schermo

alien_attack			*C distrutta da un attacco alieno
alien_invasion			INVASIONE ALIENA!
tornado_warning			ALLARME TORNADO


# =============================================================================
# Tutorial
# =============================================================================

tutorial			Tutorial
levelselect			Selezione livello
tutorial_clicknext			Clicca Avanti
tutorial_restart_mission			Ricomincia missione
tutorial_missioncomplete			MISSIONE COMPLETA
tutorial_missionfailed			MISSIONE FALLITA
tutorial_mission			MISSIONE *X
# X = mission number
tutorial_team_name_cpu			CPU nemica
tutorial_team_name_player			Giocatore

tutorial_restart			Riavvia
tutorial_next			Avanti
tutorial_chapter_desc			CAPITOLO *C di 7   -   *N
# C = Chapter Number, N = Chapter Name
tutorial_level			Livello *L
# L = Level Number

tutorial_levelname_1			Lancio testate nucleari
tutorial_levelname_2			Difesa aerea
tutorial_levelname_3			Copertura radar
tutorial_levelname_4			Ricognizione e bombardamento
tutorial_levelname_5			Flotte navali
tutorial_levelname_6			Sottomarini
tutorial_levelname_7			Guerra termonucleare globale

tutorial_popup			Popup tutorial
tutorial_clicknext_popup			Clicca AVANTI per continuare

# ==== MISSION 1 =====

tutorial_start			Benvenuti al tutorial di Defcon.\n\nNel tutorial imparerete tutto quello che dovete sapere per controllare efficacemente le vostre forze.\n\nCliccate Avanti per continuare.
tutorial_movecamera			Prima di cominciare, dovrete imparare a controllare la vostra visuale.\n\nMuovete la visuale con il cursore del mouse nella direzione che volete.\n\nIn alternativa, potete muovere la visuale con i tasti W,A,S,D.
tutorial_zoomcamera			Usate la rotella del mouse per zoomare avanti e indietro.\n\nIn alternativa, potete usare i tasti Q e E.
tutorial_movecamera2			Potete anche tenere premuto il pulsante centrale del mouse e trascinare la visuale intorno.\n\nQuando siete a posto con i controlli visuale, cliccate Avanti per cominciare a fare saltare in aria le cose.
tutorial_silofocus			L'oggetto evidenziato è un silos missilistico. Ha due modalità:\n - in modalità lancio ICBM può lanciare missili atomici su bersagli nemici\n\n - in modalità difesa aerea può abbattere i missili e gli aerei nemici.\n\nVi serve il silos in modalità lancio ICBM per distruggere il radar nemico nelle vicinanze.\n\nFate clic destro sul silos e mettetelo in modalità lancio ICBM.
macosx_tutorial_silofocus			L'oggetto evidenziato è un silos missilistico. Ha due modalità:\n - in modalità lancio ICBM può lanciare missili atomici su bersagli nemici\n - in modalità difesa aerea può abbattere i missili e gli aerei nemici.\nVi serve il silos in modalità lancio ICBM per distruggere il radar nemico nelle vicinanze.\n\nFate clic destro sul silos e mettetelo in modalità lancio ICBM.\n(Ctrl-click se avete un mouse a un tasto)
tutorial_mission1destroyradar			Notate come l'icona del silos missilistico cambi in un triangolo mentre si prepara a lanciare missili atomici.\n\nUsate il vostro silos missilistico per distruggere le stazioni radar nemiche.

tutorial_mission1end			Missione 1 completata.\n\nCliccate Avanti per passare alla Missione 2.
tutorial_mission1failed			Avete esaurito I missili nucleari senza distruggere tutti i bersagli e avete fallito la missione.\n\nCliccate Ricomincia per provare ancora.

tutorial_silofocus_popup1			Fate clic destro su questo silos e mettetelo in modalità lancio ICBM.
macosx_tutorial_silofocus_popup1			Fate clic destro su questo silos e mettetelo in modalità lancio ICBM.\n(Ctrl-click se avete un mouse a un tasto)
tutorial_silofocus_selectpopup			Fate clic sinistro su questo silos per selezionarlo.
tutorial_mission1destroyradar_popup			Fate clic sinistro su questa stazione radar nemica per lanciarle un missile nucleare.
#tutorial_mission1deselect_popup			Premete Spazio per deselezionare questa unità.
tutorial_mission1deselect_popup			Spazio per deselezionare questa unità.

# ==== MISSION 2 =====

tutorial_mission2start			Il vostro primo compito in ogni partita di Defcon e piazzare tutte le vostre unità.\n\nAprite il Pannello unità per cominciare il piazzamento.
tutorial_m2selectsilo			Da questo pannello potete disporre tutte le unità a vostra disposizione. In questa missione avete solo dei silos.\n\nDovete piazzare tutte le vostre unità.PRIMA di Defcon 3.\n\nFate clic sull'icona silos per cominciare il piazzamento.
tutorial_m2placesilos			L'area verde rappresenta il vostro territorio.\n\nPotete piazzare unità solo nel vostro territorio, e le unità di terra non possono muovere dopo il piazzamento.\n\nLe unità di terra non possono essere piazzate troppo vicine l'una all'altra.\n\nPiazzate i vostri silos vicino alle città per difenderle.
tutorial_m2destroynukes			Dei sottomarini nemici hanno lanciato missili atomici sulle vostre città!\n\nI vostri silos sono già in modalità difesa aerea e agiscono in modo molto efficace contro i missili in avvicinamento.

tutorial_m2end			Missione 2 completata.\n\nCliccate Avanti per passare alla Missione 3.
