# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Deutsch
dialog_chat_channel_spectators			[Zuschauer]
dialog_chat_channel_private			[privat]
dialog_chat_channel_to_team_name			[zu *T]
# T = Team Name

dialog_white_board_draw_erase			Zeichnen
dialog_white_board_clear_all			Alles löschen
dialog_white_board_show_all			Alle zeigen

dialog_worldstatus_defcon			DEFCON
dialog_worldstatus_defcon_x			DEFCON *D
# D = Defcon level
dialog_worldstatus_time_remain_hms			Zeit übrig : *Hh *Mm *Ss
# H = Hours, M = Minutes, S = Seconds
dialog_worldstatus_time_remain_ms			Zeit übrig : *Mm *Ss
# M = Minutes, S = Seconds
dialog_worldstatus_show_stats			Statistiken zeigen
dialog_worldstatus_scoremode			Punktemodus
dialog_worldstatus_cpu_team_name			[CPU] *T
# T = Team Name
dialog_worldstatus_left_team_name			[VERLASSEN]*T
# T = Team Name
dialog_worldstatus_demo_team_name			[DEMO] *T
# T = Team Name
dialog_worldstatus_out_of_sync			Nichtsynchron
dialog_worldstatus_out_of_sync_2			Nicht synchronisiert
dialog_worldstatus_spectator_join			Zuschauer (Anmeldung...)
dialog_worldstatus_superpower			Supermacht
dialog_worldstatus_kills			Kills
dialog_worldstatus_deaths			Tote
dialog_worldstatus_survivors			Überlebende
dialog_worldstatus_collateral			Kollateral
dialog_worldstatus_nukes			Atomraketen
dialog_worldstatus_score			PUNKTE
dialog_worldstatus_points_value			Punktewert:
dialog_worldstatus_pop_in_millions			*P Mio
# P = Population in millions
dialog_worldstatus_classified			[vertraulich]
dialog_stats			Statistik

dialog_casualties_city			Stadt
dialog_casualties_strikes			Treffer
dialog_casualties_deaths			Tote
dialog_casualties_in_million			*C Millionen
# C = Casualties in Million

dialog_network_title                Netzwerk
dialog_network_server_seqid			Server SeqID       *S
# S = Server sequence
dialog_network_server_send			Server sendet     *R Kb/s
# R = Send Rate
dialog_network_server_receive			Server empfängt     *R Kb/s
# R = Receive Rate
dialog_network_id			ID
dialog_network_ip_port			IP:Port
dialog_network_seqid			SeqID
dialog_network_seqid_number			SeqID *S
# S = Sequence Id
dialog_network_name			Name
dialog_network_status			Status
dialog_network_lost_con			Kontakt verloren...*S s
# S = Number of seconds since the connection was lost
dialog_network_synching			Synchronisierung...*P
# P = Percentage done Synching
dialog_network_ping			Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec			(Spez)
dialog_network_empty			Leer
dialog_network_sequence_msg_queue			Meldungen in Warteschlange reihen. Ideal ist 0 oder 1 gefüllt, keine Lücken.
dialog_network_svr_known_seqid			Bekannte Server     SeqID   *S
# S = Sequence Id
dialog_network_svr_estimated_seqid			Server schätzt SeqID   *S
# S = Sequence Id
dialog_network_estimated_latency			Geschätzte Verzögerung : *L s
# L = Estimated Latency
dialog_network_client_seqid			Client SEQID       *S
# S = Sequence Id
dialog_network_client_send			Client sendet     *R Kb/s
# R = Send Rate
dialog_network_client_receive			Client empfängt     *R Kb/s
# R = Receive Rate

dialog_profile_title                Auswerteprogramm
dialog_profile_toggle_glfinish			glFinish aktivieren
dialog_profile_reset_history			Verlauf zurücksetzen
dialog_profile_min			Min
dialog_profile_avg			Durchschn
dialog_profile_max			Max

dialog_c2s_team_renamed			*T umbenannt zu *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game			*T nimmt am Spiel teil
# T = Team Name
dialog_c2s_default_name_spectator   Zuschauer
dialog_c2s_default_name_player      Spieler *T
# T = Team Id

dialog_world_new_spec_connecting			Ein neuer Zuschauer meldet sich an
dialog_world_team_left_game			*T hat das Spiel verlassen
# T = Team Name
dialog_world_spec_left_game			Zuschauer *T hat das Spiel verlassen
# T = Team Name
dialog_world_rejoined			*T IST ZURÜCK
# T = Team Name
dialog_world_disconnected			*T KEINE VERBINDUNG
# T = Team Name
dialog_world_dropped			*T BEENDET
# T = Team Name
dialog_world_kicked			*T RAUSGESCHMISSEN
# T = Team Name

dialog_mapr_fps			*Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population			BEVÖLKERUNG : *P MILLIONEN
# P = City Population
dialog_mapr_city_dead			TOT       : *D MILLIONEN
# D = City Dead Population
dialog_mapr_mode			*M MODUS
# M = Current State
dialog_mapr_secs			*S SEK
# S = Seconds
dialog_mapr_empty			LEER
dialog_mapr_cancel_all_orders			ALLE BEFEHLE AUFHEBEN
dialog_mapr_not_before_defcon_x			NICHT VOR DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required			DEFCON *D ERFORDERLICH
# D = Defcon level
dialog_mapr_out_of_range			AUSSER REICHWEITE
dialog_mapr_combat_range			KAMPFREICHWEITE
dialog_mapr_fuel_range			TREIBSTOFFREICHWEITE
dialog_mapr_nukes_in_queue			*N VOR ABSCHUSS
# N = Number of Nukes
dialog_mapr_nukes_in_flight			*N IN ANFLUG
# N = Number of Nukes

dialog_style			Stil
dialog_style_editor			Style-Editor
dialog_style_primary			primär
dialog_style_secondary			sekundär
dialog_style_red			Rot
dialog_style_green			Grün
dialog_style_blue			Blau
dialog_style_alpha			Alpha
dialog_style_colour_editor			Farbeditor *I *P
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style			Fehler beim Laden des Styles\n
dialog_style_style_saved			Stil gespeichert unter\n
dialog_style_failed_save_style			Konnte Style nicht laden nach\n
dialog_style_col_primary			Primär
dialog_style_col_secondary			Sekundär
dialog_style_col_horiz			Horiz
dialog_style_col_ngtive			Negativ
dialog_style_col_caps			Gross
dialog_style_col_size			Größe
dialog_style_col_font			Font


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0			Spiel anhalten
tooltip_timeaccel1			In Echtzeit spielen
tooltip_timeaccel2			Beschleunigte Zeit\5x Echtzeit)
tooltip_timeaccel3			Beschleunigte Zeit\10x Echtzeit)
tooltip_timeaccel4			Beschleunigte Zeit\20x Echtzeit)

tooltip_worldstatus_x_faster_realtime			*Sx Echtzeit
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0			\nTastenkürzel: 0\n
tooltip_worldstatus_key_shortcut_1			\nTastenkürzel: 1\n
tooltip_worldstatus_key_shortcut_2			\nTastenkürzel: 2\n
tooltip_worldstatus_key_shortcut_3			\nTastenkürzel: 3\n
tooltip_worldstatus_key_shortcut_4			\nTastenkürzel: 4\n
tooltip_worldstatus_players_request_speed			Spieler bitten um Geschwindigkeit:
tooltip_worldstatus_no_team_request_speed			\nKeine
tooltip_worldstatus_cannot_request_speed			Sie können diese Geschwindigkeit nicht anfordern

tooltip_defcon5			DEFCON 5\nKeine feindlichen Handlungen genehmigt\nFeindeinheiten auf Radar unsichtbar
tooltip_defcon4			DEFCON 4\nFeindeinheiten werden auf Radar sichtbar
tooltip_defcon3			DEFCON 3\nSeegefechte genehmigt\nLuftkämpfe genehmigt
tooltip_defcon2			DEFCON 2
tooltip_defcon1			DEFCON 1\nAtomeinsatz genehmigt

tooltip_toolbar_whiteboard			White Board aktivieren
tooltip_toolbar_whiteboard_disabled			White Board ist deaktiviert aufgrund der älteren Version des Host
tooltip_toolbar_radar			Aktiviere Radarabdeckung
tooltip_toolbar_pop			Aktiviere Bevölkerungsdichte
tooltip_toolbar_alliances			Zeige Fenster Allianzen
tooltip_toolbar_units			Zeige Einheitenwerkzeuge
tooltip_toolbar_score			Zeige Fenster Punkte
tooltip_toolbar_comms			Zeige Fenster Kommunikation
tooltip_toolbar_orders			Aktiviere Befehle
tooltip_toolbar_info			Zeige Fenster Einheiteninfo
tooltip_toolbar_territory			Aktiviere Territorien
tooltip_toolbar_nukes			Zeige Einheiten mit Atomwaffen

tooltip_whiteboard_planning			Zeichnen auf White Board aktivieren. Mit Linksklick zeichnen, mit Rechtsklick löschen.
tooltip_whiteboard_eraseall			Alles auf dem White Board neu zeichnen.
tooltip_whiteboard_showall			Aktivieren, um zwischen Anzeige des White Boards der gesamten Allianz und Ihrer eigenen zu wechseln.

tooltip_gameoption_servername			Geben Sie den Namen für Ihren Spiel-Server ein, wie ihn andere Spieler sehen
tooltip_gameoption_advertiseoninternet			Bei Aktivierung wird Ihr Spiel auf dem MetaServer angeboten und andere Internet-Spieler können an Ihrem Spiel teilnehmen.
tooltip_gameoption_advertiseonlan			Bei Aktivierung ist Ihr Spiel für andere Spieler auf dem Local Area Network (LAN) sichtbar.
tooltip_gameoption_maxteams			Die Höchstzahl der Spieler, die an Ihrem Spiel teilnehmen können.
tooltip_gameoption_territoriesperteam			Die Zahl der Territorien, die jeder Spieler während des Spiels besitzt.
tooltip_gameoption_citiesperterritory			Die Zahl der Städte, die für jedes von Spielern besessene Territorium erstellt wird
tooltip_gameoption_populationperterritory			Die Zahl der Menschen (in Millionen) in jedem Territorium.\nStadtbevölkerung wird entsprechend skaliert
tooltip_gameoption_citypopulations			Steuert die Verteilung Ihrer Bevölkerung über die Städte.\n\n- Standard: Stadbevölkerung basiert auf realen Bevölkerungszahlen\n\n- Angeglichen: Alle Städte in einem Territorium haben die gleiche Bevölkerung\n\n- Zufall: Jede Stadtbevölkerung ist zufällig, die Standardstädte werden jedoch so gewählt, dass Städte in jedem Spiel am gleichen Ort sind\n\n- Vollkommen Zufällig: Jede Stadtbevölkerung ist zufällig, es werden aber zufällige Städte aus der Datenbank gewählt, die Position Ihrer Städte ist also vollkommen zufällig
tooltip_gameoption_randomterritories			Bei Aktivierung werden Spieler zu Beginn des Spiels zufällig ausgewählten Territorien zugewiesen.\n\nSinnvoll, wenn die Diskussion aufkommt, wer Europa bekommt.
tooltip_gameoption_maxspectators			Höchstzahl der Spieler, die dem Spiel zuschauen können.\nWarnung: Jeder Zuschauer verbraucht Server-Bandbreite.\n\n0=keine\n100=unbegrenzt.
tooltip_gameoption_spectatorchatchannel			Kontrollen, wenn Spieler die Chat-Nachrichten der Zuschauer des Spiels lesen können. Sie möchten den Zuschauerkanal vielleicht auf Privat setzen, um zu verhindern, dass Zuschauer Spielern helfen.\n\n- Öffentlich: Alle Spieler können hören, was die Zuschauer sagen. (Standard)\n\n- Privat: Nur Zuschauer können Meldungen im Zuschauerkanal lesen. In diesem Modus ist für Spieler und Zuschauer eine Kommunikation unmöglich.
tooltip_gameoption_teamswitching			Bei Aktivierung können Spieler während des Spiels mithilfe der Nummerntasten Teams wechseln.\n\nNicht für ernsthafte Spiele zu empfehlen!
tooltip_gameoption_permitdefection			Bei Aktivierung können Spieler während des Spiels Allianzen wechseln
tooltip_gameoption_radarsharing			Kontrollen, wenn Spieler mit anderen Spielern ihren Radar teilen.\n\n- Immer aus: Radarteilung nicht erlaubt.\n\n- Allianz: Alliierte tauschen automatisch Radardaten aus. (Standard)\n\n- Gewählt: Jeder Spieler kann das Radar mit jedem anderen Spieler (Alliierte oder nicht) teilen.\n\n- Immer ein: Radarteilung ist für alle aktiviert. Dies ist ein recht praktischer „Anfänger“-Modus, da Sie jederzeit alle Feindeinheiten sehen können.
tooltip_gameoption_gamespeed			Die Geschwindigkeitseinstellung für dieses Spiel\nLangsamste erbeten verwendet die langsamste von einem Spieler gewählte Geschwindigkeit
tooltip_gameoption_slowestspeed             Die langsamste Geschwindigkeit für dieses Spiel. Wird Pause gewählt, kann jeder Spieler über die Symbolleiste Spielgeschwindigkeit das Spiel unterbrechen.
tooltip_gameoption_enableworldevents			Bei Aktivierung kommt es während des Spiels zu Zufallsereignissen
tooltip_gameoption_gamemode			Steuert die Regeln des Spiels
tooltip_gameoption_scoremode			Steuert die Punktgewichtung für Tötungen/Tote/Verbleibende Atomwaffen
tooltip_gameoption_victorytrigger			Bestimmt, wann der Siegzähler startet. Der Wert stellt den Anteil der Gesamtzahl der Atomwaffen dar, die auf die Welt fallen müssen, damit der Siegzähler startet.\n\nz.B.: Liegt der Wert bei 20 (Standard) muss die Gesamtzahl der Atomwaffen unter 20% der Anfangszahl fallen, damit der Siegzähler startet.
tooltip_gameoption_victorytimer			Sobald der Siegzähler gestartet ist, bleiben soviel Spielminuten, bis das Spiel vollständig endet.
tooltip_gameoption_maxgamerealtime			Die Höchstzahl von Echtzeit für das Spiel in Minuten.\n\n0 = unbegrenzt Rechzeit verfügbar – das Spiel endet nicht, bis der Siegzähler abgelaufen ist.
tooltip_gameoption_variableunitcounts			Aktiviert den Guthabenmodus\nJeder Spieler erhält eine bestimmte Geldmenge für ihre Einheiten und kann die eigenen Streitkräfte nach Belieben aufbauen
tooltip_gameoption_worldscale			HINWEIS: Experimentell.\n\nDurch diese Variable wird die Welt effektiv größer und das Spiel dauert länger.\n\nBei 100 ist die Welt normal groß.\n\nBeim größten Wert (200) hat jedes Team doppelt so viele Einheiten, aber jede Einheit hat nur die halbe Radarreichweite und die halbe Kampfreichweite.\n\nHöchst experimentell.\nErfordert eine leistungsfähige CPU.\nSie sollten die Option Objektspuren zeigen deaktivieren, um den Überblick zu behalten.
tooltip_gameoption_permitpausing			Bei Aktivierung kann ein Spieler das Spiel unterbrechen
tooltip_gameoption_serverpassword			Bei Aktivierung können nur die Personen zugreifen, die das Passwort kennen.\n\nLeer lassen, wenn kein Passwortschutz gewünscht ist.

tooltip_gamemode_default			Sammeln Sie Punkte für das Bombardieren feindl. Städte.\nDefcon wird mit der langsamsten angeforderten Geschwindigkeit gespielt.
tooltip_gamemode_office_mode			Defcon läuft in einem Fenster ohne Ton und in Echtzeit mehr als 6 Stunden lang.\nTaucht der Chef auf, einfach Esc zweimal drücken, um das Fenster zu verstecken.
tooltip_gamemode_speed_defcon			Defcon läuft mit höchster Geschwindigkeit und dauert nicht mehr als 15 Minuten. Kein Anhalten möglich. Instinktiv und brutal.
tooltip_gamemode_diplomacy			Alle Spieler starten als Mitglied der Grünen Allianz und teilen Radarbilder. Wie lange bleibt die Allianz bestehen?\nDrei oder mehr menschliche Spieler empfohlen.
tooltip_gamemode_bigworld			Die Welt ist doppelt so groß! Jeder Spieler hat doppelt so viele Einheiten, aber jede Einheit ist halb so groß und hat halbe Reichweite für Radar und Waffen und ist halb so schnell.\nFür Liebhaber langer Spiele.
tooltip_gamemode_tournament			Standardregeln, nur können Zuschauer nicht mit Spielern kommunizieren und Spieler werden zufälligen Territorien zugewiesen.
tooltip_gamemode_custom			Keine speziellen Regeln, alles ist erlaubt.

tooltip_scoremode_default			2 Punkte für jeden getöteten Gegner.\n1 Punkt Abzug für jeden, den Sie nicht schützen können.
tooltip_scoremode_survivor			1 Punkt für jeden Überlebenden auf Ihrem Territorium. Alle Teams starten mit 100 Punkten, die nur sinken können.
tooltip_scoremode_genocide			1 Punkt für jeden getöteten Gegner. So einfach wie grausam.

tooltip_defection_no			Lossagung ist nicht erlaubt. Die Allianzen bleiben im ganzen Spiel bestehen.\n\nSie haben automatisch Waffenruhe mit Ihren Alliierten.
tooltip_defection_yes			Lossagung ist erlaubt. Sie und andere Spieler können jederzeit die Allianz wechseln.\n\nSie können Ihre Waffenruhe mit Ihren Alliierten jederzeit erklären oder aufheben.

tooltip_radarsharing_alwaysoff			Radarteilung ist nicht erlaubt. Sie sehen nur Ihre eigene Radarabdeckung.
tooltip_radarsharing_alliance			Radarteilung ist zwischen Allianzmitgliedern aktiviert. Dies bedeutet, dass Sie automatisch den Radar mit allen Verbündeten teilen.\n\nHinweis: Alliierte U-Boote sind unsichtbar bis sie auftauchen.
tooltip_radarsharing_selective			Radarteilung ist möglich. Sie können Ihren Radar mit jedem Spieler teilen (oder auch nicht).
tooltip_radarsharing_alwayson			Radarteilung ist für alle aktiviert. Sie können alle Einheiten im Spiel sehen.\n\nHinweis: Sie sehen feindliche U-Boote NICHT, wenn sie nicht aufgetaucht sind.

tooltip_ceasefire_enable			Ihre Militäreinheiten stellen sofort das Feuer auf dieses Team ein.\nAlle Atomwaffen, die zu diesem Team unterwegs sind, werden entschärft.
tooltip_ceasefire_disable			Ihre Militäreinheiten sehen dieses Team als Feind an und eröffnen automatisch das Feuer.
tooltip_radarshare_enable			Ihre Radarabdeckung wird an Ihr Team gesendet und es sieht alles, was sie sehen.\nHinweis: Ihre U-Boote bleiben unsichtbar, solange sie unter Wasser sind.
tooltip_radarshare_disable			Sie senden keine Radarabdeckung mehr an dieses Team. Sie können nicht mehr sehen, was Sie sehen.

tooltip_place_silo			Silo platzieren
tooltip_place_radar			Radarstation platzieren
tooltip_place_airbase			Luftstützpunkt platzieren
tooltip_place_battleship			Schlachtschiff zur Flotte
tooltip_place_sub			U-Boot zur Flotte
tooltip_place_carrier			Flugzeugträger zur Flotte
tooltip_place_unit			Einheit hier platzieren
tooltip_place_fleet			Flotte hier platzieren
tooltip_fleet_button			Flotte bauen
tooltip_fleet_remove			Diese Einheit aus Flotte entfernen
tooltip_fleet_place			Diese Flotte platzieren

tooltip_territory_northamerica			Nordamerika
tooltip_territory_southamerica			Südamerika
tooltip_territory_europe			Europa
tooltip_territory_russia			Russland
tooltip_territory_southasia			Südasien
tooltip_territory_africa			Afrika

tooltip_lobby_teamname			Namen für Ihr Team eingeben
tooltip_lobby_territories			Territorium für Ihr Team wählen
tooltip_lobby_alliance			Allianz wählen, der Sie beitreten möchten
tooltip_lobby_requestteam			Team erstellen, als das Sie spielen möchten
tooltip_lobby_requestai			Vom Computer gesteuertes Team erstellen
tooltip_lobby_ready			Bereit zum Spiel. Spiel startet, wenn alle Spieler bereit sind
tooltip_lobby_ready_disable			Spielname ungültig
tooltip_lobby_chat			Chat-Fenster öffnen
tooltip_lobby_aggression			Ändert die Aggressivität der KI, 10 ist Maximum\n0 gibt dem Team eine zufällige Aggressivität
tooltip_lobby_demo_max_player			Sie spielen eine Demo, es können nicht so viele Spieler an Ihrem Spiel teilnehmen.
tooltip_lobby_click_open_slot			Hier klicken, um diesen Slot zu öffnen, damit mehr Spieler teilnehmen können
tooltip_lobby_click_close_slot			Hier klicken, um diesen Slot zu schließen und die Anmeldung anderer Spieler zu verhindern
tooltip_lobby_address_port			IP: *I\nPORT:*P
# I = IP address, P = Port

tooltip_chat_public			Öffentlicher Kanal. Alle Spieler können hier Meldungen sehen
tooltip_chat_alliance			Allianz-Kanal. Nur Spieler Ihrer Allianz können hier Meldungen sehen
tooltip_chat_spectators			Zuschauerkanal. Zuschauer dürfen nur hier Kommentare eingeben.

tooltip_alliance_join			Beitrittsgesuch an diese Allianz schicken
tooltip_alliance_leave			Diese Allianz verlassen
tooltip_alliance_kick			Abstimmung zum Ausschluss des Mitglieds aus Allianz starten

tooltip_vote_yes			Mit Ja stimmen
tooltip_vote_no			Mit Nein stimmen
tooltip_vote_abstain			Der Stimme enthalten

tooltip_lmb			[LMT]
tooltip_rmb			[RMT]

tooltip_placeobject			[LMT] EINHEIT PLATZIEREN
tooltip_placefleet			[LMT] FLOTTE PLATZIEREN
tooltip_invalidplacement			UNGÜLTIGE PLATZIERUNG
tooltip_spacetocancel			MIT LEERTASTE ABBRECHEN

tooltip_selectobject			[LMT] EINHEIT WÄHLEN
tooltip_selectfleet			[LMT] EINHEIT WÄHLEN
tooltip_setobjectstate			[RMT] EINHEITENSTATUS ÄNDERN
tooltip_enemyunit			(FEINDEINHEIT)
tooltip_attack			[LMT] DIESE EINHEIT ANGREIFEN
tooltip_moveobject			[RMT] EINHEIT HIERHER BEWEGEN
tooltip_movefleet			[RMT] FLOTTE HIERHER BEWEGEN
tooltip_cantmovehere			KANN NICHT HIERHER BEWEGEN
tooltip_spawnfighter			[LMT] JAGDFLIEGER HIERHER STARTEN
tooltip_spawnbomber			[LMT] BOMBER HIERHER STARTEN
tooltip_spawnnuke			[LMT] ATOMRAKETE HIERHER STARTEN
tooltip_spacetodeselect			MIT LEERTASTE EINHEIT DEAKTIVIEREN
tooltip_landobject			[LMT] JAGDFLIEGER HIER LANDEN

tooltip_controls_sidescrolling			Hiermit können Sie die Kamera mit der Maus am Rand des Bildschirms bewegen
tooltip_controls_zoomspeed			Stellt die Empfindlichkeit des Zooms über Maus und Trackpad ein
tooltip_controls_camdragging			Hiermit können Sie die Kamera ziehen, indem Sie die mittlere Maustaste gedrückt halten
tooltip_controls_keyboardlayout			Ändert Ihre Eingabeart

tooltip_close_window			Fenster schließen

tooltip_demo_exit_the_game			Spiel verlassen

tooltip_server_browser_game_time			Spielzeit:
tooltip_server_browser_game_has_ended			\nSpiel ist beendet
tooltip_server_browser_game_started			Gestartet
tooltip_server_browser_not_yet_started			Noch nicht gestartet
tooltip_server_browser_teams			\nTeams :
tooltip_server_browser_spectator			\nZuschauer :
tooltip_server_browser_game_mode			\nSpielmodus :
tooltip_server_browser_score_mode			\nPunktemodus :
tooltip_server_browser_mod			\nMOD:
tooltip_server_browser_right_click_details			\n(Rechtsklick für Details)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               Spieler

gameoption_ServerName			Servername
gameoption_New_Game_Server			Neuer Spielserver
gameoption_AdvertiseOnInternet			Im Internet bewerben
gameoption_Disabled			Deaktiviert
gameoption_Enabled			Aktiviert
gameoption_AdvertiseOnLAN			Im LAN bewerben
gameoption_GameMode			Spielmodus
gameoption_Default			Standard
gameoption_Office_Mode			Büro-Modus
gameoption_Speed_Defcon			Speed-Defcon
gameoption_Diplomacy			Diplomatie
gameoption_BigWorld			Große Welt
gameoption_Tournament			Turnier
gameoption_Custom			Benutzerdefiniert
gameoption_MaxTeams			Max. Teams
gameoption_TerritoriesPerTeam			Territorien pro Team
gameoption_CitiesPerTerritory			Städte pro Territorium
gameoption_PopulationPerTerritory			Menschen pro Territorium
gameoption_CityPopulations          Stadtbevölkerungen
gameoption_Equalised                Angeglichen
gameoption_Random                   Zufall
gameoption_TotallyRandom            Vollkommen Zufällig
gameoption_RandomTerritories			Zufällige Territorien
gameoption_PermitDefection			Überlaufen erlauben
gameoption_No			Nein
gameoption_Yes			Ja
gameoption_RadarSharing			Radarteilung
gameoption_AlwaysOff			Immer aus
gameoption_Alliance			Allianz
gameoption_Selective			Möglich
gameoption_AlwaysOn			Immer ein
gameoption_GameSpeed			Spielgeschwindigkeit
gameoption_Slowest_Requested			Langamste erbeten
gameoption_Pause			Pause
gameoption_Real_Time			Echtzeit
gameoption_5x_Real_Time			5x Echtzeit
gameoption_10x_Real_Time			10x Echtzeit
gameoption_20x_Real_Time			20x Echtzeit
gameoption_SlowestSpeed			Langsamste Geschw.
gameoption_ScoreMode			Punktemodus
gameoption_Survivor			Überlebender
gameoption_Genocide			Genozid
gameoption_VictoryTrigger			Siegauslöser
gameoption_VictoryTimer			Siegzähler
gameoption_MaxGameRealTime			Max. Echtzeit im Spiel
gameoption_VariableUnitCounts			Variable Einheitenzahl
gameoption_WorldScale			Weltgröße
gameoption_MaxSpectators			Max. Zuschauer
gameoption_SpectatorChatChannel			Zuschauer-Chatkanal
gameoption_Private			Privat
gameoption_Public			Öffentlich
gameoption_TeamSwitching			Teamwechsel
gameoption_ServerPassword			Serverkennwort


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground			Fenster-Hintergrund
style_WindowTitleBar			Fenster-Titelleiste
style_WindowOuterBorder			Fenster-Außenkante
style_WindowInnerBorder			Fenster-Innenkante
style_ButtonBackground			Schalterhintergrund
style_ButtonHighlighted			Schalter markiert
style_ButtonClicked			Schalter geklickt
style_ButtonBorder			Schalterkante
style_BoxBackground			Boxenhintergrund
style_BoxBorder			Boxenkante
style_InputBackground			Eingabehintergrund
style_InputBorder			Eingabekante
style_FontWindowTitle			Font-Fenstertitel
style_FontButton			Fontschalter
style_WorldCoastlines			Küstenlinien Welt
style_WorldBorders			Kanten Welt
style_WorldWater			Wasser Welt
style_WorldLand			Land Welt
style_TooltipBackground			Infokasten-Hintergrund
style_TooltipBorder			Infokastenkante
style_FontTooltip			Font-Infokasten
style_PopupBackground			Popup-Hintergrund
style_PopupTitleBar			Popup-Titelleiste
style_PopupBorder			Popup-Kante
style_PopupHighlight			Popup-Markierung
style_PopupSelection			Popup-Auswahl
style_FontPopupTitle			Titel Font-Popup
style_FontPopup			Font-Popup


# =============================================================================
# Unit names
# =============================================================================

unit_silo			Silo
unit_nuke			Atomrakete
unit_city			Stadt
unit_sub			U-Boot
unit_radar			Radar
unit_battleship			Schlachtschiff
unit_airbase			Luftstützpunkt
unit_fighter			Jagdflieger
unit_bomber			Bomber
unit_carrier			Flugzeugträger
unit_tornado			Tornado
unit_saucer			Alien-Raumschiff
unit_explosion			Explosion


# =============================================================================
# Unit States
# =============================================================================

state_preparing			VORBEREITUNG AUF
state_prepare			VORBEREITEN AUF
state_ready			BEREIT FÜR
state_fighterlaunch			START DER JAGDFLIEGER
state_bomberlaunch			START DER BOMBER
state_attack			ANGRIFF
state_flight			FLUG
state_bombernuke			KSR-ABSCHUSS
state_airtoseamissile			SEEGEFECHT
state_antisub			ANTI-U-BOOT
state_ontarget			AUF ZIEL
state_disarm			ENTWAFFNEN
state_radar			SCANNEN
state_silonuke			ICBM-Abschussmodus
state_airdefense			LUFTABWEHR
state_passivesonar			PASSIVER SONAR
state_activesonar			AKTIVER SONAR
state_subnuke			MSR-ABSCHUSS


# =============================================================================
# Game messages
# =============================================================================

message_fuel			Kein Treibstoff
message_tornadodeath			Tornado aufgelöst
message_nukelaunch			Start festgestellt
message_multilaunch			Starts festgestellt
message_firstlaunch			*T-Start festgestellt
message_incursion			Eindringen in Feindterritorium nicht erlaubt
message_destroyed			*U zerstört
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit			*C getroffen, *D tot
message_fallout			Fallout auf *C, *D tot
# C = city name, D = number of deaths

details_fuel			TREIBSTOFF

message_victory			SIEG FÜR *T
message_stalemate			KEIN KLARER SIEGER
message_spectators_chat_players			Zuschauer können jetzt mit Spielern chatten
message_placeunits			SIE MÜSSEN ALLE EINHEITEN VOR DEFCON3 PLATZIEREN

message_fleet_move			Flotte kann nicht hierher bewegt werden
message_disarmed			Rakete entschärft

message_alliance_join			*P tritt *N Allianz bei
message_alliance_kicked			*P aus *N Allianz rausgeschmissen
message_alliance_leave			*P verlässt *N Allianz
# P = player name, N = alliance name

message_invalid_action			NICHT VOR DEFCON *D
# D = Defcon level

message_ten_minute_warning			ZEHN MINUTEN VORWARNUNG
message_victory_timer			SIEGZÄHLER GESTARTET

tray_icon_caption			DEFCON
tray_icon_ten_minute_warning			Zehn Minuten Vorwarnung
tray_icon_victory_timer			Siegzähler gestartet
tray_icon_nuke_launches_detected			Raketenstarts erkannt
tray_icon_enemy_subs_detected			Feindliche U-Boote entdeckt


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero			Angriffschance: Null
odds_vlow			Angriffschance: Sehr gering
odds_low			Angriffschance: Gering
odds_med			Angriffschance: Mittel
odds_high			Angriffschance: Hoch
odds_vhigh			Angriffschance: Sehr hoch


# =============================================================================
# Misc
# =============================================================================

unknown			Unbekannt

officemode_1			Büro-Modus übersteuert gewählte Geschwindigkeit,
officemode_2			Einstellungen und Bildschirmoptionen.

alien_attack			*C durch Alien-Angriff zerstört
alien_invasion			ALIEN-INVASION!
tornado_warning			TORNADOWARNUNG


# =============================================================================
# Tutorial
# =============================================================================

tutorial			Tutorial
levelselect			Levelauswahl
tutorial_clicknext			Auf Weiter klicken
tutorial_restart_mission			Mission neu starten
tutorial_missioncomplete			MISSION ABGESCHLOSSEN
tutorial_missionfailed			MISSION FEHLGESCHLAGEN
tutorial_mission			MISSION *X
# X = mission number
tutorial_team_name_cpu			Feindl. CPU
tutorial_team_name_player			Spieler

tutorial_restart			Neu starten
tutorial_next			Weiter
tutorial_chapter_desc			KAPITEL *C von 7   -   *N
# C = Chapter Number, N = Chapter Name
tutorial_level			Level *L
# L = Level Number

