# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                English
tooltip_toolbar_orders              Toggle Orders
tooltip_toolbar_info                Show Unit Info window
tooltip_toolbar_territory           Toggle Territories
tooltip_toolbar_nukes               Show Units with Nukes

tooltip_whiteboard_planning         Toggle drawing on the White Board. Left click to draw, Right click to erase.
tooltip_whiteboard_eraseall         Erase everything drawn on the White Board.
tooltip_whiteboard_showall          Toggle between showing all alliance whiteboards, or just your own.

tooltip_gameoption_servername               Enter the name of your Game Server that you wish other players to see
tooltip_gameoption_advertiseoninternet      If enabled your game will be advertised on the MetaServer and other Internet Players will be able to join your game.
tooltip_gameoption_advertiseonlan           If enabled your game will be visible to other players on the same Local Area Network.
tooltip_gameoption_maxteams                 The maximum number of Players that can participate in your game.
tooltip_gameoption_territoriesperteam       The number of Territories each player will own during the game.
tooltip_gameoption_citiesperterritory       The number of Cities generated per player-owned territory
tooltip_gameoption_populationperterritory   The number of people (in millions) in each territory.\nCity populations will be scaled accordingly
tooltip_gameoption_citypopulations          Controls how your population is distributed across your Cities.\n\n- Default: City populations are based on real world populations\n\n- Equalised: All cities within a territory have the same population\n\n- Random: Each cities population is random, however the standard cities are chosen so your cities will still be in the same place each game\n\n- Totally Random: Each cities population is random, but in addition random cities will be chosen from the database, meaning the position of your cities will also be random
tooltip_gameoption_randomterritories        If enabled players will be assigned randomly chosen territories at the start of the game.\n\nUseful for solving arguments over who gets to be Europe.
tooltip_gameoption_maxspectators            Maximum number of people who can watch the game.\nWarning: each spectator uses up Server bandwidth.\n\n0=none\n100=unlimited.
tooltip_gameoption_spectatorchatchannel     Controls if Players can read the Chat messages of game Spectators.  You may wish to make the Spectator channel Private to prevent Spectators from helping players.\n\n- Public: All players will be able to hear what the Spectators are saying. (default)\n\n- Private: Only Spectators will be able to read messages in the Spectator channel.  In this mode there is no way for a Player and a Spectator to communicate.
tooltip_gameoption_teamswitching            If enabled players will be able to change teams during the game using the number keys.\n\nNot recommended for serious games!
tooltip_gameoption_permitdefection          If enabled players will be able to switch alliances during the game
tooltip_gameoption_radarsharing             Controls when Players can share their Radar with other Players.\n\n- Always off: radar sharing is not permitted.\n\n- Alliance: Allies automatically share radar. (default)\n\n- Selective: Each player can chose to share Radar with any other player (allies or not).\n\n- Always on: radar sharing is enabled for everyone.  This is quite a handy 'beginner' mode as you can see all the opponents units all the time.
tooltip_gameoption_gamespeed                The speed setting for this game\nSlowest Requested uses the slowest speed selected by any player
tooltip_gameoption_slowestspeed             The slowest speed this game may run at. If Pause is chosen, then any player may pause the game using the game speed toolbar.
tooltip_gameoption_enableworldevents        If enabled random events will occur during the game
tooltip_gameoption_gamemode                 Controls the rules that govern the game
tooltip_gameoption_scoremode                Controls the point-weighting for kills/deaths/remaining nukes
tooltip_gameoption_victorytrigger           Determines when the Victory Timer starts.  The value represents the percentage that the total number of Nukes in the world must drop below for the Victory Timer to start.\n\nEg: If set to 20 (default) the total number of nukes must fall below 20% of the initial count for the Victory timer to start.
tooltip_gameoption_victorytimer             Once the Victory Timer has started there will be this many game minutes before the game ends completely.
tooltip_gameoption_maxgamerealtime          The maximum real-world time for the game in minutes.\n\n0 = unlimited real-world time available - the game will not end until the Victory Timer completes.
tooltip_gameoption_variableunitcounts       Enables Credit mode\nEach player gets a number of credits to spend on their units, and may customise their forces as they like
tooltip_gameoption_worldscale               NOTE: Experimental.\n\nThis variable effectively makes the world larger, and hence the game last longer.\n\nAt 100 the world scale is normal.\n\nAt the highest value (200) each team has twice as many units, but each units has half the radar range and half the combat range.\n\nHighly experimental.\nRequires a powerful CPU.\nWe recommend you disable Rendering Object Trails for a clearer view.
tooltip_gameoption_permitpausing            If enabled, a player may pause the game during play
tooltip_gameoption_serverpassword           Set this to restrict access to only those people who know the password.\n\nFor no password set it to be Empty.

tooltip_gamemode_default                    Score points by Nuking your opponents Cities.\nDefcon will play at the slowest requested speed.
tooltip_gamemode_office_mode                Defcon will run in a Window with no Sound, and will run in Realtime for no more than 6 hours.\nIf the boss appears press Esc twice to hide the Window.
tooltip_gamemode_speed_defcon               Defcon will run at full speed and will last no longer than 15 minutes. Pausing is disabled.  Instinctive and Brutal.
tooltip_gamemode_diplomacy                  All Players will start as a member of the Green alliance, with Radar Sharing turned on. How long will the Alliance last?\nThree or more Human Players recommended.
tooltip_gamemode_bigworld                   The World is twice as big!  Each player has twice as many units, but each unit is half the normal size and has half the radar range, weapon range and speed.\nFor those who love a long game.
tooltip_gamemode_tournament                 Default rules are enforced, except Spectators can't communicate with Players and players are assigned Random Territories.
tooltip_gamemode_custom                     No specific rules are enforced - anything goes.  

tooltip_scoremode_default                   Score 2 points for every enemy kill.\nLose 1 point for everyone you fail to protect.
tooltip_scoremode_survivor                  Score 1 point for every survivor in your Territory.  All teams start with 100 points and can only go down.
tooltip_scoremode_genocide                  Score 1 point for every enemy kill. Simple, yet horrible.

tooltip_defection_no                        Defection is not permitted. The Alliances will remain fixed for the entire game.\n\nYou are automatically in a state of Cease Fire with your allies.
tooltip_defection_yes                       Defection is permitted. You or any other player can chose to changes Alliance at any time.\n\nYou can enable or disable your Cease Fire status with your allies at any time.

tooltip_radarsharing_alwaysoff              Radar sharing is not permitted.  You will only ever see your own Radar Coverage.
tooltip_radarsharing_alliance               Radar Sharing is enabled between Alliance members.  This means you will automatically share Radar with all of your allies.\n\nNote: Allied subs will not be visible unless they surface.
tooltip_radarsharing_selective              Radar Sharing is Selective.  You can chose to share your Radar (or not) with any other player.
tooltip_radarsharing_alwayson               Radar sharing is enabled for everyone.  You can see every unit in the game\n\nNote: You will NOT see enemy subs unless they surface.

tooltip_ceasefire_enable                    Your military units will immediately stop firing at this team.\nAny nukes heading for this team will disarm themselves.
tooltip_ceasefire_disable                   Your military units will regard this team as the enemy, and will automatically open fire upon them.
tooltip_radarshare_enable                   Your Radar Coverage will be sent to this team, and they will see everything you see.\nNote: Your subs will remain hidden so long as they are submerged.
tooltip_radarshare_disable                  You will stop sending Radar Coverage to this team.  They will no longer be able to see what you can see.

tooltip_place_silo                          Place Silo
tooltip_place_radar                         Place Radar Station
tooltip_place_airbase                       Place Airbase
tooltip_place_battleship                    Add Battleship to Fleet
tooltip_place_sub                           Add Sub to Fleet
tooltip_place_carrier                       Add Carrier to Fleet
tooltip_place_unit                          Place Unit Here
tooltip_place_fleet                         Place Fleet Here
tooltip_fleet_button                        Build a Fleet
tooltip_fleet_remove                        Remove this unit from Fleet
tooltip_fleet_place                         Place this Fleet

tooltip_territory_northamerica              North America
tooltip_territory_southamerica              South America
tooltip_territory_europe                    Europe
tooltip_territory_russia                    Russia
tooltip_territory_southasia                 South Asia
tooltip_territory_africa                    Africa

tooltip_lobby_teamname                      Enter a name for your Team
tooltip_lobby_territories                   Select your teams Territory
tooltip_lobby_alliance                      Select the alliance you wish to join
tooltip_lobby_requestteam                   Create a team for you to play as
tooltip_lobby_requestai                     Create a computer controlled team
tooltip_lobby_ready                         Ready to Play. Game will start when all players are ready
tooltip_lobby_ready_disable                 Game name is invalid
tooltip_lobby_chat                          Open the Chat window
tooltip_lobby_aggression                    Changes the aggression of the AI, 10 being the max\n0 gives the team a random aggression
tooltip_lobby_demo_max_player               You are playing a Demo - so you cannot have this many players in your game.
tooltip_lobby_click_open_slot               Click to open this slot up so more players can join
tooltip_lobby_click_close_slot              Click to close this slot and prevent players from joining
tooltip_lobby_address_port                  IP: *I\nPORT:*P
# I = IP address, P = Port

tooltip_chat_public                         Public channel. All players can see messages here
tooltip_chat_alliance                       Alliance channel. Only members of your Alliance can see messages here
tooltip_chat_spectators                     Spectators channel. Spectators are only permitted to post in here.

tooltip_alliance_join                       Send a request to join this alliance
tooltip_alliance_leave                      Leave this Alliance
tooltip_alliance_kick                       Start a vote to kick this member from the alliance

tooltip_vote_yes                            Vote Yes
tooltip_vote_no                             Vote No
tooltip_vote_abstain                        Abstain from this vote

tooltip_lmb                         [LMB]
tooltip_rmb                         [RMB]

tooltip_placeobject                 [LMB] PLACE UNIT
tooltip_placefleet                  [LMB] PLACE FLEET
tooltip_invalidplacement            INVALID PLACEMENT
tooltip_spacetocancel               PRESS SPACE TO CANCEL

tooltip_selectobject                [LMB] SELECT UNIT 
tooltip_selectfleet                 [LMB] SELECT FLEET
tooltip_setobjectstate              [RMB] CHANGE UNIT STATE
tooltip_enemyunit                   (ENEMY UNIT)
tooltip_attack                      [LMB] ATTACK THIS UNIT
tooltip_moveobject                  [RMB] MOVE UNIT HERE
tooltip_movefleet                   [RMB] MOVE FLEET HERE
tooltip_cantmovehere                CANT MOVE HERE
tooltip_spawnfighter                [LMB] LAUNCH FIGHTER HERE
tooltip_spawnbomber                 [LMB] LAUNCH BOMBER HERE
tooltip_spawnnuke                   [LMB] LAUNCH NUKE HERE
tooltip_spacetodeselect             SPACE TO DESELECT UNIT
tooltip_landobject                  [LMB] LAND AIRCRAFT HERE

tooltip_controls_sidescrolling      Lets you move the Camera with the mouse at the edge of the screen
tooltip_controls_zoomspeed          Adjusts the sensitivity of mouse and trackpad zooming
tooltip_controls_camdragging        Lets you drag the Camera by holding the middle mouse button
tooltip_controls_keyboardlayout     Lets you change your input type

tooltip_close_window                Close the window

tooltip_demo_exit_the_game          Exit the game

tooltip_server_browser_game_time            GameTime:
tooltip_server_browser_game_has_ended       \nGame has Ended
tooltip_server_browser_game_started         Started
tooltip_server_browser_not_yet_started      Not Yet Started
tooltip_server_browser_teams                \nTeams :
tooltip_server_browser_spectator            \nSpectators :
tooltip_server_browser_game_mode            \nGameMode :
tooltip_server_browser_score_mode           \nScoreMode :
tooltip_server_browser_mod                  \nMOD:
tooltip_server_browser_right_click_details  \n(Right Click for Details)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               NewPlayer

gameoption_ServerName               Server Name
gameoption_New_Game_Server          New Game Server
gameoption_AdvertiseOnInternet      Advertise On Internet
gameoption_Disabled                 Disabled
gameoption_Enabled                  Enabled
gameoption_AdvertiseOnLAN           Advertise On LAN
gameoption_GameMode                 Game Mode
gameoption_Default                  Default
gameoption_Office_Mode              Office Mode
gameoption_Speed_Defcon             Speed Defcon
gameoption_Diplomacy                Diplomacy
gameoption_BigWorld                 BigWorld
gameoption_Tournament               Tournament
gameoption_Custom                   Custom
gameoption_MaxTeams                 MaxT eams
gameoption_TerritoriesPerTeam       Territories Per Team
gameoption_CitiesPerTerritory       Cities Per Territory
gameoption_PopulationPerTerritory   Population Per Territory
gameoption_CityPopulations          City Populations
gameoption_Equalised                Equalised
gameoption_Random                   Random
gameoption_TotallyRandom            Totally Random
gameoption_RandomTerritories        Random Territories
gameoption_PermitDefection          Permit Defection
gameoption_No                       No
gameoption_Yes                      Yes
gameoption_RadarSharing             Radar Sharing
gameoption_AlwaysOff                Always Off
gameoption_Alliance                 Alliance
gameoption_Selective                Selective
gameoption_AlwaysOn                 Always On
gameoption_GameSpeed                Game Speed
gameoption_Slowest_Requested        Slowest Requested
gameoption_Pause                    Pause
gameoption_Real_Time                Real Time
gameoption_5x_Real_Time             5x Real Time
gameoption_10x_Real_Time            10x Real Time
gameoption_20x_Real_Time            20x Real Time
gameoption_SlowestSpeed             Slowest Speed
gameoption_ScoreMode                Score Mode
gameoption_Survivor                 Survivor
gameoption_Genocide                 Genocide
gameoption_VictoryTrigger           Victory Trigger
gameoption_VictoryTimer             Victory Timer
gameoption_MaxGameRealTime          Max Game Real Time
gameoption_VariableUnitCounts       Variable Unit Counts
gameoption_WorldScale               World Scale
gameoption_MaxSpectators            Max Spectators
gameoption_SpectatorChatChannel     Spectator Chat Channel
gameoption_Private                  Private
gameoption_Public                   Public
gameoption_TeamSwitching            Team Switching
gameoption_ServerPassword           Server Password


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground              Window Background
style_WindowTitleBar                Window Title Bar
style_WindowOuterBorder             Window Outer Border
style_WindowInnerBorder             Window Inner Border
style_ButtonBackground              Button Background
style_ButtonHighlighted             Button Highlighted
style_ButtonClicked                 Button Clicked
style_ButtonBorder                  Button Border
style_BoxBackground                 Box Background
style_BoxBorder                     Box Border
style_InputBackground               Input Background
style_InputBorder                   Input Border
style_FontWindowTitle               Font Window Title
style_FontButton                    Font Button
style_WorldCoastlines               World Coastlines
style_WorldBorders                  World Borders
style_WorldWater                    World Water
style_WorldLand                     World Land
style_TooltipBackground             Tooltip Background
style_TooltipBorder                 Tooltip Border
style_FontTooltip                   Font Tooltip
style_PopupBackground               Popup Background
style_PopupTitleBar                 Popup Title Bar
style_PopupBorder                   Popup Border
style_PopupHighlight                Popup Highlight
style_PopupSelection                Popup Selection
style_FontPopupTitle                Font Popup Title
style_FontPopup                     Font Popup


# =============================================================================
# Unit names
# =============================================================================

unit_silo                           silo
unit_nuke                           nuke
unit_city                           city
unit_sub                            sub
unit_radar                          radar
unit_battleship                     battleship
unit_airbase                        airbase
unit_fighter                        fighter
unit_bomber                         bomber
unit_carrier                        carrier
unit_tornado                        tornado
unit_saucer                         alien ship
unit_explosion                      explosion


# =============================================================================
# Unit States
# =============================================================================

state_preparing                     PREPARING FOR
state_prepare                       PREPARE FOR
state_ready                         READY FOR
state_fighterlaunch                 FIGHTER LAUNCH
state_bomberlaunch                  BOMBER LAUNCH
state_attack                        ATTACK
state_flight                        FLIGHT
state_bombernuke                    SRBM LAUNCH
state_airtoseamissile               NAVAL COMBAT
state_antisub                       ANTI SUBMARINE
state_ontarget                      ON TARGET
state_disarm                        DISARM
state_radar                         SCANNING
state_silonuke                      ICBM LAUNCH
state_airdefense                    AIR DEFENSE
state_passivesonar                  PASSIVE SONAR
state_activesonar                   ACTIVE SONAR
state_subnuke                       MRBM LAUNCH


# =============================================================================
# Game messages
# =============================================================================

message_fuel                        Out of Fuel
message_tornadodeath                Tornado Dissipated
message_nukelaunch                  Launch Detected
message_multilaunch                 Launches Detected
message_firstlaunch                 *T Launch Detected
message_incursion                   Incursions into Enemy territory not allowed
message_destroyed                   *U destroyed
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit                   *C hit, *Dm dead
message_fallout                     fallout on *C, *Dm dead
# C = city name, D = number of deaths

details_fuel                        FUEL

message_victory                     VICTORY TO *T
message_stalemate                   NO CLEAR VICTOR
message_spectators_chat_players     Spectators may now chat to Players
message_placeunits                  YOU MUST PLACE ALL UNITS BEFORE DEFCON 3

message_fleet_move                  Fleet Cannot Move Here
message_disarmed                    Missile Disarmed

message_alliance_join               *P joins the *N alliance
message_alliance_kicked             *P kicked from the *N alliance
message_alliance_leave              *P leaves the *N alliance
# P = player name, N = alliance name

message_invalid_action              NOT BEFORE DEFCON *D
# D = Defcon level

message_ten_minute_warning          TEN MINUTE WARNING
message_victory_timer               VICTORY TIMER STARTED

tray_icon_caption                   DEFCON
tray_icon_ten_minute_warning        Ten Minute Warning
tray_icon_victory_timer             Victory Timer Started
tray_icon_nuke_launches_detected    Nuke Launches Detected
tray_icon_enemy_subs_detected       Enemy Subs Detected


# =============================================================================
# Combat Attack Odds
# =============================================================================

odds_zero                           attack odds: zero
odds_vlow                           attack odds: very low
odds_low                            attack odds: low
odds_med                            attack odds: medium
odds_high                           attack odds: high
odds_vhigh                          attack odds: very high


# =============================================================================
# Misc
# =============================================================================

unknown                             Unknown

officemode_1                        Office Mode will override selected speed
officemode_2                        settings and screen options.

alien_attack                        *C destroyed by Alien Attack
alien_invasion                      ALIEN INVASION!
tornado_warning                     TORNADO WARNING


# =============================================================================
# Tutorial
# =============================================================================

tutorial                            Tutorial
levelselect                         Level Select
tutorial_clicknext                  Click Next
tutorial_restart_mission            Restart Mission
tutorial_missioncomplete            MISSION COMPLETE
tutorial_missionfailed              MISSION FAILED
tutorial_mission                    MISSION *X
# X = mission number
tutorial_team_name_cpu              Enemy CPU
tutorial_team_name_player           Player

tutorial_restart                    Restart
tutorial_next                       Next
tutorial_chapter_desc               CHAPTER *C of 7   -   *N
# C = Chapter Number, N = Chapter Name
tutorial_level                      Level *L
# L = Level Number

tutorial_levelname_1                Launching nuclear weapons
tutorial_levelname_2                Air defense
tutorial_levelname_3                Radar coverage
tutorial_levelname_4                Scouting and Bombing
tutorial_levelname_5                Naval Fleets
tutorial_levelname_6                Subs
tutorial_levelname_7                Global Thermonuclear War

tutorial_popup                      TutorialPopup
tutorial_clicknext_popup            Click NEXT to continue.

# ==== MISSION 1 =====

tutorial_start                      Welcome to the Defcon tutorial.\n\nIn this tutorial you will learn everything you need to know in order to effectively control your forces.\n\nClick Next to continue.
tutorial_movecamera                 Before we start that, you need to learn how to control your viewpoint.\n\nMove your viewpoint by moving the mouse cursor to the edge of the screen in the direction you want to move.\n\nAlternatively, you can use the W,A,S,D keys to move the viewpoint.
tutorial_zoomcamera                 Scroll your mouse wheel to zoom in and out.\n\nAlternatively, you can use the Q and E keys.
tutorial_movecamera2                You can also hold down the middle mouse button and drag the view around.\n\nClick Next once you are happy with the view controls, and we'll get started on blowing stuff up.
tutorial_silofocus                  This highlighted object is a Missile Silo. It has two modes:\n\n - in ICBM Launch mode it can fire Nukes at enemy targets\n\n - in Air Defense mode it will shoot down enemy nukes and aircraft.\n\nWe need the Silo in ICBM Launch Mode so we can destroy the nearby enemy Radar Stations.\n\nRight Click on the Silo and change it into ICBM Launch Mode.
macosx_tutorial_silofocus           This highlighted object is a Missile Silo. It has two modes:\n\n - in ICBM Launch mode it can fire Nukes at enemy targets\n - in Air Defense mode it will shoot down enemy nukes and aircraft.\n\nWe need the Silo in ICBM Launch Mode so we can destroy the nearby enemy Radar Stations.\n\nRight Click on the Silo and change it into ICBM Launch Mode.\n(You can ctrl-click if you have a one-button mouse).
tutorial_mission1destroyradar       Notice the icon for the Missile Silo changes to a triangle when it is preparing to launch Nukes.\n\nUse your Missile Silo to destroy the enemy Radar Stations.

tutorial_mission1end                Mission 1 completed.\n\nClick Next to move on to Mission 2.
tutorial_mission1failed             You have run out of Nukes without destroying the targets, and failed the Mission.\n\nClick Restart to try again.

tutorial_silofocus_popup1           Right click on this Silo and change it into ICBM Launch Mode.
macosx_tutorial_silofocus_popup1    Right click on this Silo and change it into ICBM Launch Mode.\n(Ctrl-click if you have a one-button mouse)
tutorial_silofocus_selectpopup      Left Click on this Silo to select it.
tutorial_mission1destroyradar_popup Left Click on this enemy Radar Station to launch a Nuke at it.
#tutorial_mission1deselect_popup     Press SPACE to deselect this unit.
tutorial_mission1deselect_popup     Press SPACE to deselect this unit.

# ==== MISSION 2 =====

tutorial_mission2start              Your first task in any game of Defcon is to deploy all of your units.\n\nOpen the Unit Panel to begin deployment.
tutorial_m2selectsilo               From this panel you can deploy all of your available units. In this mission you only have Silos.\n\nYou must deploy all your units BEFORE Defcon 3.\n\nClick the Silo icon to begin Silo deployment.
tutorial_m2placesilos               The green area represents your territory.\n\nYou may only deploy units within your own territory, and ground units cannot be moved once they have been placed.\n\nGround units cannot be placed too near to each other.\n\nDeploy your Silos near your cities in order to defend them.
tutorial_m2destroynukes             Enemy Submarines have launched Nukes at your Cities!\n\nYour Silos are already in Air Defense mode and will shoot down the incoming Nukes.\n\nSilos in Air-Defense mode are very effective at shooting down incoming Nukes.

tutorial_m2end                      Mission 2 completed.\n\nClick Next to move on to Mission 3.
tutorial_mission2failed             A Nuke has hit one of your Cities!\n\nTry placing your Silos near the cities next time, so they have more time to shoot down the incoming nukes.\n\nClick Restart to try again.

tutorial_unitpanel_popup            Click on this button to open the Unit Panel.
tutorial_silo_popup                 Click on this unit icon to begin deploying Silos.
tutorial_silo_place                 Left Click in this area to deploy your silos near your major cities.

# ==== MISSION 3 =====

tutorial_mission3start              Every unit in Defcon has a radar range, and you can only see an enemy unit if they are within your radar coverage.\n\nThere are several enemy units in Russia which need to be uncovered.\n\nDeploy your Radar Stations to uncover the enemy units.
tutorial_m3radarplacement           Deploy your Radar Stations as near to Russia as possible.\n\nAs you deploy each Radar Station you will notice your visibility of the area increases - enemy units will be revealed.
tutorial_m3siloplacement            You can now see the enemy units.\n\nDeploy some Silo's in your Territory to destroy the enemy.
tutorial_m3gamespeed                We need to use Nuclear Weapons to destroy the enemy buildings, but we cannot do that until Defcon 1.\n\nTo reach Defcon 1 we must accelerate time.  Click on the Speed control buttons to accelerate time until Defcon 1 is declared.
tutorial_m3defcon1                  Many units cannot engage in combat until a certain Defcon level has been reached.\n\nNaval and Air combat cannot occur until Defcon 3.\n\nNUCLEAR WEAPONS CAN ONLY BE USED AFTER DEFCON 1 HAS BEEN DECLARED.\n\nAccelerate time until Defcon 1 occurs.
tutorial_m3destroyenemy             You can now use your Silos to Nuke the enemy buildings.\n\nThe enemy has a Silo of their own in Air Defense mode, which will shoot down many of your missiles.  In addition, that enemy Silo is hardened against Nuke Strikes and can take 3 direct hits.\n\nYou must Launch at the enemy Silo simultaniously with all of your Silos to ensure success.
tutorial_m3silostaketime            Silos take a long time to change between Air Defense mode and ICBM mode. Hover the mouse over a Silo to see how long you'll have to wait.\n\nFeel free to accelerate time if you need to.\n\nContinue to launch all of your Nukes at the enemy buildings until they are destroyed.

tutorial_m3end                      Mission 3 completed.\n\nClick Next to move on to mission 4.
tutorial_mission3failed1            You have placed all your Radar Stations but didn't uncover all of the enemy units.\n\nYou have failed the mission.\n\nClick Restart to start over.
tutorial_mission3failed2            You have run out of Nukes, and failed to destroy the enemy buildings.\n\nClick Restart to try again.

tutorial_radar_popup                Click on this unit icon to begin deploying Radar Stations.
tutorial_radar_place                Left Click in this area to place your Radar Stations near enemy territory.
tutorial_acceltime_popup            Click the speed buttons to Accelerate time until Defcon 1. 
tutorial_silosnuke_popup            Right Click on this Silo and switch it into ICBM Launch mode.
macosx_tutorial_silosnuke_popup     Right Click on this Silo and switch it into ICBM Launch mode.\nCtrl-click if you have a one-button mouse.
tutorial_nukenemeysilo_popup        Left Click on this Silo repeatedly to Queue up lots of Nuke Launches on it.  It will shoot down many of your nukes and it can take 3 direct hits. 
tutorial_nukeenemyairbase_popup     Launch a few nukes at this enemy AirBase.
tutorial_nukenemeycities_popup      Feel free to use your remaining nukes on the enemy civilian population.

# ==== MISSION 4 =====

tutorial_mission4start              In many cases enemy units will be out of your Radar range. In order to uncover the enemy units you'll have to send scout planes over enemy territory.\n\nPlace some AirBases in your territory.
tutorial_m4launchfighters           You can use Airbases to launch two types of aircraft:\n-Fighters : short range combat/scout planes\n-Bombers : long range aircraft armed with a single nuke\n\nFighters are fast, short range combat AirCraft. They are good at shooting down other aircraft, and also make very good scouts.\n\nLaunch your Fighters over the enemy territory to scout for targets.
tutorial_m4radar                    Each Fighter has a short range Radar which will uncover enemy buildings if he flies close enough.\n\nTurn on your Radar view to see your Radar Coverage.
tutorial_m4launchbombers            Your Fighters have uncovered all of the enemy buildings.\n\nYou may notice the enemy buildings become greyed out once they are no longer within your Radar Coverage - This is called a Radar Ghost.\n\nWe will now use Bombers to drop Nukes on those enemy targets.\n\nUse your Airbases to Launch Bombers at the enemy buildings.
tutorial_m4bomberinfo               Bombers can travel a very long distance, but must get close to their target - they only carry a single Short-Range Nuke.\n\nBombers will automatically launch their Nuke when within range of their target.
tutorial_m4nukeslaunched            Once a Bomber has launched its Nuke it will automatically return to the nearest AirBase to land.\n\nAfter landing, a Bomber will be reloaded with a new Nuke, although AirBases have a limited number of Nukes with which to re-arm Bombers.\n\nIf you highlight an Airbase (by hovering the mouse over it) you will see how many aircraft and nukes are available to you for launch.

tutorial_m4end                      Mission 4 completed.\n\nClick Next to move on to Mission 5.
tutorial_mission4failed             You have run out of Nukes before destroying the enemy and failed the Mission.\n\nClick Restart to try again.

tutorial_selectairbase_popup        Click on this unit icon to begin deploying AirBases.
tutorial_placeairbase_popup         Left Click in this area to deploy your AirBases.
tutorial_clickairbase_popup         Left Click on this AirBase to begin launching Fighters.
tutorial_scouthere_popup            Left Click in this area repeatedly to queue up lots of fighter launches.
tutorial_radartoolbar_popup         Highlight this toolbar button to show your Radar Coverage.
tutorial_switchtobombers_popup              Right Click on this AirBase and switch it into Bomber mode.
macosx_tutorial_switchtobombers_popup       Right Click on this AirBase and switch it into Bomber mode.\nCtrl-click if you have a one-button mouse.
tutorial_clickairbasebomber_popup   Left Click on this Airbase to begin launching Bombers.
tutorial_nukebuilding_popup         Launch a couple of Bombers at this enemy building.

# ==== MISSION 5 =====

tutorial_mission5start              Many of your mobile forces will consist of ships, which are grouped together in fleets.\n\nA fleet consists of up to six ships, and moves and fights as one cohesive unit.\n\nOpen the Unit Panel and click the Fleet button to begin deploying a Fleet.
tutorial_m5createfleet              This is the Fleet Builder. Clicking on the Unit buttons will add that ship to the fleet.\n\n-Battleships are effective against a variety of of enemy units, but are vulnerable to subs.\n-Carriers act as mobile AirBases, allowing you to launch Fighters and Bombers. They can also Depth Charge enemy Subs.\n-Subs are invisible to conventional radar and carry medium range nuclear weapons.\n\nBuild a fleet of six ships - three battleships and three carriers.
tutorial_m5battleshipinfo           Fleets are controlled as a single unit. If you ask them to move they will move together.  If you ask them to attack an enemy fleet they will do so as a single unit, to the best of their ability.\n\nSelect one of your fleets by Left Clicking on any ship in that fleet.\n\nThen move the fleet south by Right Clicking on their destination.
macosx_tutorial_m5battleshipinfo    Fleets are controlled as a single unit. If you ask them to move they will move together.  If you ask them to attack an enemy fleet they will do so as a single unit, to the best of their ability.\n\nSelect one of your fleets by Left Clicking on any ship in that fleet.\n\nThen move the fleet south by Right Clicking (or ctrl-clicking) on their destination.
tutorial_m5destroyenemy             There are two enemy Fleets somewhere in the Atlantic Ocean - use your Fleets to find and destroy them.\n\n- Left Click on any ship in a fleet to select the entire fleet.\n- Right Click to set a destination for a selected fleet.\n\nAccelerate time if you need to.
macosx_tutorial_m5destroyenemy      There are two enemy Fleets somewhere in the Atlantic Ocean - use your Fleets to find and destroy them.\n\n- Left Click on any ship in a fleet to select the entire fleet.\n- Right Click (or ctrl-click) to set a destination for a selected fleet.\n\nAccelerate time if you need to.
tutorial_m5destroyenemy2            Your fleets will automatically engage enemy vessels once they are within range.  Battleships will open fire and Carriers will launch Fighters when required.\n\nYou can control battles manually if you wish - eg Left Click on one of your Carriers to select it, then Left Click on an enemy vessel to launch Fighter planes at it.\n\nHighlight the Orders button on the Toolbar to see your Fleets current attack orders.

tutorial_m5end                      Mission 5 completed. Click Next to move on to Mission 6.
tutorial_mission5failed             You have lost all your ships without destroying the enemy, and have failed the mission.\n\nClick Restart to try again.

tutorial_selectfleet_popup          Click on this icon to begin deploying Fleets.
tutorial_addbattleship_popup        Click on this unit icon to add a Battleship to your Fleet.
tutorial_addcarrier_popup           Click on this unit icon to add a Carrier to your Fleet.
tutorial_deployfleet_popup          Left Click to deploy your Fleet in this area.
tutorial_selectdeployedfleet_popup  Left Click on any ship to select the entire fleet.
tutorial_movefleet_popup            RIGHT CLICK to move your entire selected Fleet here.
macosx_tutorial_movefleet_popup     RIGHT CLICK to move your entire selected Fleet here.Ctrl-Click if you have a one-button mouse.
tutorial_destroyfleet_popup         Destroy the enemy fleet in this area.
tutorial_orderstoolbar_popup        Highlight this toolbar button to show your Orders.

# ==== MISSION 6 =====

tutorial_mission6start              So far we've been operating out of Europe, with the Soviet Union as the enemy. However this will not always be the case.\n\nIn this Mission your territory is North America, and the enemy is South Asia.\n\nHighlight the Territory button to see who controls which parts of the map.
