# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang                                Polski
dialog_disconnect_demo_full         Zbyt wielu graczy demo
dialog_disconnect_unknown           Nieznany

dialog_chat_public                  Publiczny
dialog_chat_alliance                Sojuszniczy
dialog_chat_spectators              Kibice
dialog_chat_channel_public          [publiczny]
dialog_chat_channel_alliance        [sojuszniczy]
dialog_chat_channel_spectators      [kibicowski]
dialog_chat_channel_private         [prywatny]
dialog_chat_channel_to_team_name    [do *T]
# T = Team Name

dialog_white_board_draw_erase       rysuj/czyœæ
dialog_white_board_clear_all        czyœæ ca³e
dialog_white_board_show_all         poka¿ ca³e

dialog_worldstatus_defcon           DEFCON
dialog_worldstatus_defcon_x         DEFCON *D
# D = Defcon level
dialog_worldstatus_time_remain_hms  Pozosta³o : *Hh *Mm *Ss
# H = Hours, M = Minutes, S = Seconds
dialog_worldstatus_time_remain_ms   Pozosta³o : *Mm *Ss
# M = Minutes, S = Seconds
dialog_worldstatus_show_stats       Poka¿ statystyki
dialog_worldstatus_scoremode        Tryb punktacji
dialog_worldstatus_cpu_team_name    [CPU]*T
# T = Team Name
dialog_worldstatus_left_team_name   [WYSZED£]*T
# T = Team Name
dialog_worldstatus_demo_team_name   [DEMO]*T
# T = Team Name
dialog_worldstatus_out_of_sync      Rozsynchr.
dialog_worldstatus_out_of_sync_2    rozsynchronizowan
dialog_worldstatus_spectator_join   Kibic (do³¹cza...)
dialog_worldstatus_superpower       Gracz
dialog_worldstatus_kills            Zabi³
dialog_worldstatus_deaths           Straci³
dialog_worldstatus_survivors        Prze¿yli
dialog_worldstatus_collateral       Uboczne
dialog_worldstatus_nukes            Atomówki
dialog_worldstatus_score            PUNKTY
dialog_worldstatus_points_value     Punktacja:
dialog_worldstatus_pop_in_millions  *P mln
# P = Population in millions
dialog_worldstatus_classified       [œciœle tajne]
dialog_stats                        Statystyki

dialog_casualties_city              Miasto
dialog_casualties_strikes           Ataki
dialog_casualties_deaths            ofiary
dialog_casualties_in_million        *C milionów
# C = Casualties in Million

dialog_network_title                Serwer
dialog_network_server_seqid         SeqID serwera       *S
# S = Server sequence
dialog_network_server_send          Prêdkoœæ wysy³.        *R Kb/sec
# R = Send Rate
dialog_network_server_receive       Prêdkoœæ odbioru     *R Kb/sec
# R = Receive Rate
dialog_network_id                   ID
dialog_network_ip_port              IP:Port
dialog_network_seqid                SeqID
dialog_network_seqid_number         SeqID *S
# S = Sequence Id
dialog_network_name                 Nazwa
dialog_network_status               Status
dialog_network_lost_con             Zerwane...*Ss
# S = Number of seconds since the connection was lost
dialog_network_synching             Synchr...*P
# P = Percentage done Synching
dialog_network_ping                 Ping *Pms
# M = Ping time in miniseconds
dialog_network_spec                 (spec)
dialog_network_empty                Pusty
dialog_network_sequence_msg_queue   Komunikaty w kolejce.
dialog_network_svr_known_seqid      Serwer znany za  SeqID   *S
# S = Sequence Id
dialog_network_svr_estimated_seqid  Serwer przewidywany za SeqID   *S
# S = Sequence Id
dialog_network_estimated_latency    Przewidywane opóŸnienie : *L sek.
# L = Estimated Latency
dialog_network_client_seqid         SEQID klient       *S
# S = Sequence Id
dialog_network_client_send          Klient wysy³a *R Kb/sec
# R = Send Rate
dialog_network_client_receive       Klient odbiera *R Kb/sec
# R = Receive Rate

dialog_profile_title                Profile
dialog_profile_toggle_glfinish      Prze³¹cz  glFinish
dialog_profile_reset_history        Wyzeruj  historiê
dialog_profile_min                  Minimum
dialog_profile_avg                  Œrednio
dialog_profile_max                  Maksimum

dialog_c2s_team_renamed             *T przemianowany na *N
# T = Team Name Old, N = Team Name New
dialog_c2s_team_joined_game         *T do³¹czy³ do gry
# T = Team Name
dialog_c2s_default_name_spectator   Kibic
dialog_c2s_default_name_player      Gracz *T
# T = Team Id

dialog_world_new_spec_connecting    Pod³¹cza siê nowy kibic
dialog_world_team_left_game         *T opuœci³ grê
# T = Team Name
dialog_world_spec_left_game         Kibic *T opuœci³ grê
# T = Team Name
dialog_world_rejoined               *T WRÓCI£
# T = Team Name
dialog_world_disconnected           *T ROZ£¥CZY£ SIÊ
# T = Team Name
dialog_world_dropped                *T ROZ£¥CZONY
# T = Team Name
dialog_world_kicked                 *T WYKOPANY
# T = Team Name

dialog_mapr_fps                     *Ffps
# F = Frame per seconds (fps)
dialog_mapr_city_population         POPULACJA : *P MLN LUDZI
# P = City Population
dialog_mapr_city_dead               OFIAR     : *D MLN LUDZI
# D = City Dead Population
dialog_mapr_mode                    TRYB *M
# M = Current State
dialog_mapr_secs                    *S SEKUND
# S = Seconds
dialog_mapr_empty                   PUSTO
dialog_mapr_cancel_all_orders       ODWO£AJ ROZKAZY
dialog_mapr_not_before_defcon_x     NIE PRZED DEFCON *D
# D = Defcon level
dialog_mapr_defcon_x_required       WYMAGANY DEFCON *D
# D = Defcon level
dialog_mapr_out_of_range            POZA ZASIÊGIEM
dialog_mapr_combat_range            ZASIÊG BOJOWY
dialog_mapr_fuel_range              ZASIÊG ZBIORNIKA PALIWA
dialog_mapr_nukes_in_queue          *N W KOLEJCE
# N = Number of Nukes
dialog_mapr_nukes_in_flight         *N W LOCIE
# N = Number of Nukes

dialog_style                        Styl
dialog_style_editor                 Edytorów stylów
dialog_style_primary                1. plan
dialog_style_secondary              2. plan
dialog_style_red                    Czerwony
dialog_style_green                  Zielony
dialog_style_blue                   Niebieski
dialog_style_alpha                  Alfa
dialog_style_colour_editor          Edytor kolorów *I *P
# I = Real Index, P = Primary (0/1)
dialog_style_failed_load_style      Nie mogê wczytaæ stylu\n
dialog_style_style_saved            Zachowano styl:\n
dialog_style_failed_save_style      Nie mogê zachowaæ stylu:\n
dialog_style_col_primary            1. plan
dialog_style_col_secondary          2. plan
dialog_style_col_horiz              Horyz.
dialog_style_col_ngtive             Neg.
dialog_style_col_caps               Du¿e
dialog_style_col_size               Rozmiar
dialog_style_col_font               Czcionka


# =============================================================================
# Tooltips
# =============================================================================

tooltip_timeaccel0                  Pauza
tooltip_timeaccel1                  Graj w czasie rzeczyw.
tooltip_timeaccel2                  Przyspiesz czas\n(x5)
tooltip_timeaccel3                  Przyspiesz czas\n(x10)
tooltip_timeaccel4                  Przyspiesz czas\n(x20)

tooltip_worldstatus_x_faster_realtime       Przyspieszone x*S 
# S = Number of time the game speed is faster than Realtime
tooltip_worldstatus_key_shortcut_0          \nWciœnij: 0\n
tooltip_worldstatus_key_shortcut_1          \nWciœnij: 1\n
tooltip_worldstatus_key_shortcut_2          \nWciœnij: 2\n
tooltip_worldstatus_key_shortcut_3          \nWciœnij: 3\n
tooltip_worldstatus_key_shortcut_4          \nWciœnij: 4\n
tooltip_worldstatus_players_request_speed   O tê prêdkoœæ prosi:
tooltip_worldstatus_no_team_request_speed   \nNikt
tooltip_worldstatus_cannot_request_speed    Nie mo¿esz prosiæ o tê prêdkoœæ

tooltip_defcon5                     DEFCON 5\nZakaz akcji zbrojnych\nWrogie jednostki niewidoczne na radarach
tooltip_defcon4                     DEFCON 4\nWrogie jednostki pojawiaj¹ siê na radarach
tooltip_defcon3                     DEFCON 3\nWalki morskie autoryzowane\nWalki powietrzne autoryzowane
tooltip_defcon2                     DEFCON 2
tooltip_defcon1                     DEFCON 1\nBroñ nuklearna autoryzowana

tooltip_toolbar_whiteboard          Prze³¹cz tablicê
tooltip_toolbar_whiteboard_disabled Tablica jest wy³¹czona, gdy¿ host dzia³a na starszej wersji
tooltip_toolbar_radar               Prze³¹cz pokrycie radarowe
tooltip_toolbar_pop                 Prze³¹cz gêstoœæ populacji
tooltip_toolbar_alliances           Prze³¹cz okno sojuszy
tooltip_toolbar_units               Prze³¹cz okno jednostek
tooltip_toolbar_score               Prze³¹cz okno punktacji
tooltip_toolbar_comms               Prze³¹cz okno rozmów
tooltip_toolbar_orders              Prze³¹cz rozkazy
tooltip_toolbar_info                Prze³¹cz okno inf. o jednostce
tooltip_toolbar_territory           Prze³¹cz pokazyw. terytoriów
tooltip_toolbar_nukes               Prze³¹cz jednostki z atomówkami

tooltip_whiteboard_planning         Prze³¹cz rysowanie na tablicy. LPM rysujesz, PPM wycierasz.
tooltip_whiteboard_eraseall         Wytrzyj wszystkie rysunki z tablicy.
tooltip_whiteboard_showall          Prze³¹czaj miêdzy tablicami sojuszników i swoj¹.

tooltip_gameoption_servername               Wpisz nazwê serwera, która bêdzie widoczna dla innych graczy.
tooltip_gameoption_advertiseoninternet      Jeœli w³¹czone, Twoja gra bêdzie og³aszana na Metaserwerze i inni internetowi gracze bêd¹ mogli do niej do³¹czyæ.
tooltip_gameoption_advertiseonlan           Jeœli w³¹czone, Twoja gra bêdzie widoczna w sieci LAN.
tooltip_gameoption_maxteams                 Maksymalna liczba graczy, mog¹ca uczestniczyæ w Twojej grze.
tooltip_gameoption_territoriesperteam       Liczba terytoriów, które mo¿e kontrolowaæ jeden gracz.
tooltip_gameoption_citiesperterritory       Liczba miast generowanych na terytorium gracza.
tooltip_gameoption_populationperterritory   Liczba ludzi (w mln) na ka¿dym terytorium.\nPopulacja miast bêdzie odpowiednio roz³o¿ona.
tooltip_gameoption_citypopulations          Rozk³ad populacji w Twoich miastach.\n\n- Domyœlne: Bazowane na prawdziwej populacji\n\n- Po równo: Ka¿de miasto na terytorium bêdzie mieæ tyle samo mieszkañców\n\n- Losowo: Ka¿de miasto ma losow¹ populacjê, ale wybierane s¹ prawdziwe miasta, wiêc zawsze bêd¹ w tym samym miejscu\n\n- Kompletnie losowo: Losowa populacja i losowo wybierane miasta danego terytorium.
tooltip_gameoption_randomterritories        Jeœli w³¹czone, terytoria zostan¹ przydzielone graczom losowo.\n\nPrzydatne, jeœli k³ócicie siê, kto ma rz¹dziæ Europ¹.
tooltip_gameoption_maxspectators            Maksymalna liczba kibiców.\nUwaga: Wiêcej kibiców=wolniejszy serwer!\n\n0=bez kibiców\n100=brak limitu.
tooltip_gameoption_spectatorchatchannel     Decyduje, czy gracze widz¹ czaty kibiców. Mo¿esz ustawiæ czat kibicowski jako prywatny, by nie mogli podpowiadaæ zawodnikom.\n\n- Publiczny: Wszyscy gracze mog¹ widzieæ czat kibicowski (domyœlne),\n\n- Prywatny: Tylko kibice mog¹ rozmawiaæ na czacie kibicowskim. W tym trybie nie ma mo¿liwoœci rozmowy kibic-gracz.
tooltip_gameoption_teamswitching            Jeœli w³¹czone, gracze mog¹ zmieniaæ zespo³y podczas gry, u¿ywaj¹c klawiszy numerycznych.\n\nPrzy powa¿nych grach - odradzamy!
tooltip_gameoption_permitdefection          Jeœli w³¹czone, gracze mog¹ zmieniaæ sojusze podczas gry
tooltip_gameoption_radarsharing             Wspó³dzielenie radarów.\n\n- Zawsze wy³.: Wspó³dzielenie zakazane.\n\n- Sojusz: Sojusznicy wspó³dziel¹ automatycznie (domyœlne).\n\n- Selektywne: Ka¿dy gracz mo¿e wybraæ, czy dzieliæ radar z innym (sojusznikiem, b¹dŸ nie).\n\n- Zawsze w³.: Wspó³dzielenie aktywne przez ca³¹ grê. Sposób dla naprawdê pocz¹tkuj¹cych, bowiem wtedy widzisz od pocz¹tku wszystkie jednostki wrogów.
tooltip_gameoption_gamespeed                Ustawienia prêdkoœci\nNajwoln. U¿ywa najwolniejszej prêdkoœci wybranej przez dowolnego gracza.
tooltip_gameoption_slowestspeed             Najwolniejsza prêdkoœæ dla tej gry. Przy wyborze pauzy, ka¿dy gracz mo¿e zatrzymaæ grê, u¿ywaj¹c paska prêdkoœci.
tooltip_gameoption_enableworldevents        Jeœli w³¹czone, w trakcie gry mog¹ pojawiæ siê zdarzenia losowe
tooltip_gameoption_gamemode                 Ustala zasady rz¹dz¹ce gr¹
tooltip_gameoption_scoremode                Ustala punktacjê na bazie ofiar, ocala³ych oraz pozosta³ych atomówek
tooltip_gameoption_victorytrigger           Ustala, kiedy startuje Victory Timer. Jest to procent poni¿ej którego musi spaœæ liczba atomówek w ca³ym œwiecie gry, by wystartowa³ Victory Timer.\n\nNp.: Jeœli jest to 20% (domyœlny), na œwiecie musi pozostaæ <20% niewystrzelonych atomówek, by wystartowa³ Victory Timer.
tooltip_gameoption_victorytimer             Gdy Victory Timer wystartuje, do koñca gry pozostanie tyle czasu.
tooltip_gameoption_maxgamerealtime          Najd³u¿szy mo¿liwy czas trwania gry w minutach.\n\n0 = czas nielimitowany - grê koñczy dopiero up³yw Victory Timera.
tooltip_gameoption_variableunitcounts       Umo¿lwia tryb Kredytów\nKa¿dy gracz otrzymuje Kredyty do wydania na swoje jednostki. Dziêki temu mo¿na tworzyæ armiê np. z naciskiem na okrêty podw. zamiast pancerników.
tooltip_gameoption_worldscale               UWAGA: Eksperymentalne.\n\nPrzy tej opcji œwiat robi siê wiêkszy, a w efekcie gra trwa d³u¿ej.\n\nPrzy "100" œwiat jest normalny.\n\nPrzy najwiêkszej wartoœci (200) ka¿da dru¿yna ma dwa razy wiêcej oddzia³ów, ale ka¿dy oddzia³ ma dwa razy mniejszy zasiêg radaru i zasiêg bojowy.\n\nOpcja eksperymentalna!\nWymaga wydajnego procesora.\nZalecamy wy³¹czenie Renderowania Œladów Obiektów (lepsza widocznoœæ).
tooltip_gameoption_permitpausing            Jeœli w³¹czone, grê mo¿na zatrzymaæ
tooltip_gameoption_serverpassword           Ustaw, jeœli chcesz zabezpieczyæ dostêp do serwera has³em.\n\nZostaw puste, jeœli nie chcesz has³a.

tooltip_gamemode_default                    Zbieraj punkty za ataki atomowe na wrogie miasta.\nGra bêdzie siê toczyæ w najwolniejszym wybranym przez graczy trybie.
tooltip_gamemode_office_mode                Gra bêdzie siê toczyæ w oknie, bez dŸwiêków, w czasie rzeczywistym przez nie wiêcej ni¿ 6 godzin.\nJeœli pojawi siê Twój szef, kliknij 2xESC, by zamkn¹æ okno.
tooltip_gamemode_speed_defcon               Gra bêdzie siê toczyæ z maksymaln¹ szybkoœci¹, potrwa nie d³u¿ej ni¿ 15 minut. Nie bêdzie mo¿na jej zatrzymaæ. Tu liczy siê instynkt i brutalnoœæ.
tooltip_gamemode_diplomacy                  Wszyscy gracze zaczynaj¹ w Sojuszu Zielonym, z w³¹czonym wspó³dzieleniem radarów. Jak d³ugo potrwa sojusz?\nRekomendowanych trzech lub wiêcej graczy "ludzkich".
tooltip_gamemode_bigworld                   Œwiat jest dwa razy wiêkszy! Ka¿dy ma dwa razy wiêcej jednostek, ale ka¿da jest dwa razy mniejsza i ma dwa razy mniejszy zasiêg radaru i broni oraz prêdkoœæ.\nDla tych, którzy uwielbiaj¹ d³ugie granie.
tooltip_gamemode_tournament                 Domyœlne zasady, dodatkowo kibice nie mog¹ komunikowaæ siê z graczami, a tym s¹ przydzielane losowe terytoria.
tooltip_gamemode_custom                     Nie ma konkretnych zasad - po prostu gramy.  

tooltip_scoremode_default                   +2 pkt za milion zabitych.\n-1 pkt za mln swoich mieszkañców, których nie zdo³asz ocaliæ.
tooltip_scoremode_survivor                  +1 pkt za milion ocalonych mieszkañców. Wszyscy zaczynaj¹ za 100 punktami, punktacja mo¿e tylko spadaæ.
tooltip_scoremode_genocide                  +1 pkt za milion zabitych. Proste i potworne.

tooltip_defection_no                        Wycofanie z Sojuszu niemo¿liwe. Sojusze pozostaj¹ przez ca³¹ grê.\n\nZ sojusznikami jesteœ automatycznie w stanie zawieszenia broni.
tooltip_defection_yes                       Wycofanie z Sojuszu mo¿liwe. Ka¿dy gracz mo¿e w dowolnej chwili zmieniæ Sojusz.\n\nMo¿esz nawi¹zywaæ i rozwi¹zywaæ zawieszenia broni.

tooltip_radarsharing_alwaysoff              Wspó³dzielenie radarów niemo¿liwe. Bêdziesz widzieæ jedynie zasiêg w³asnych radarów.
tooltip_radarsharing_alliance               Wspó³dzielenie radarów miêdzy cz³onkami sojuszu. Alianci widz¹ zasiêg radarów swoich i sojuszniczych .\n\nUwaga: Sojusznicze okrêty podw. bêd¹ niewidoczne do momentu wynurzenia.
tooltip_radarsharing_selective              Selektywne wspó³dzielenie radarów. Sam wybierasz z kim chcesz wspó³dzieliæ radary.
tooltip_radarsharing_alwayson               Wspó³dzielenie wszystkich radarów. Bêdziesz widzieæ ka¿d¹ jednostkê w grze.\n\nUwaga: Wrogie okrêty podw. bêd¹ niewidoczne do momentu wynurzenia.

tooltip_ceasefire_enable                    Twoje oddzia³y natychmiast wstrzymaj¹ dzia³ania przeciw temu zespo³owi.\nLec¹ce w jego kierunku atomówki zostan¹ rozbrojone.
tooltip_ceasefire_disable                   Twoje oddzia³y bêd¹ traktowaæ ten zespó³ jako wroga i automatycznie otwieraæ ogieñ.
tooltip_radarshare_enable                   Dane z Twoich radarów zostan¹ przes³ane do tego zespo³u.\nUwaga: Twoje okrêty podw. pozostan¹ niewidoczne a¿ do wynurzenia.
tooltip_radarshare_disable                  Przestaniesz wysy³aæ dane z radarów do tego zespo³u. Jego wojska nie bêd¹ ju¿ widzieæ tego, co ty.

tooltip_place_silo                          Ustaw silos
tooltip_place_radar                         Ustaw radar
tooltip_place_airbase                       Ustaw lotnisko
tooltip_place_battleship                    Dodaj pancernik do floty
tooltip_place_sub                           Dodaj okrêt podw. do floty
tooltip_place_carrier                       Dodaj lotniskowiec do floty
tooltip_place_unit                          Ustaw jednostkê tutaj
tooltip_place_fleet                         Ustaw flotê tutaj
tooltip_fleet_button                        Stwórz flotê
tooltip_fleet_remove                        Usuñ tê jednostkê z floty
tooltip_fleet_place                         Ustaw flotê

tooltip_territory_northamerica              Ameryka P³n.
tooltip_territory_southamerica              Ameryka P³d.
tooltip_territory_europe                    Europa
tooltip_territory_russia                    Rosja
tooltip_territory_southasia                 P³d. Azja
tooltip_territory_africa                    Afryka

tooltip_lobby_teamname                      Wpisz nazwê swojej dru¿yny
tooltip_lobby_territories                   Wybierz wasze terytoria
tooltip_lobby_alliance                      Wybierz sojusz do którego chcesz do³¹czyæ
tooltip_lobby_requestteam                   Stwórz zespó³, którym bêdziesz gra³
tooltip_lobby_requestai                     Stwórz zespó³, kierowany przez komputer
tooltip_lobby_ready                         Gotów do gry. Rozpocznie siê ona, gdy wszyscy bêd¹ gotowi.
tooltip_lobby_ready_disable                 Nieprawid³owa nazwa gry
tooltip_lobby_chat                          Otwórz okno czatu
tooltip_lobby_aggression                    Zmienia agresjê komputera, 10 to maksymalna\n0 - losowa
tooltip_lobby_demo_max_player               Grasz w wersjê Demo - nie mo¿esz stworzyæ gry z tyloma uczestnikami.
tooltip_lobby_click_open_slot               Kliknij, by otworzyæ ten slot i zezwoliæ na do³¹czenie nowego gracza
tooltip_lobby_click_close_slot              Kliknij, by zamkn¹æ ten slot, by nikt nie do³¹czy³
tooltip_lobby_address_port                  IP: *I\nPORT:*P
# I = IP address, P = Port

tooltip_chat_public                         Kana³ publiczny. Widoczny dla wszystkich.
tooltip_chat_alliance                       Kana³ sojuszniczy. Widoczny dla cz³onków Twojego Sojuszu.
tooltip_chat_spectators                     Kana³ kibiców. Kibice mog¹ pisaæ jedynie tutaj.

tooltip_alliance_join                       Zg³oœ chêæ do³¹czenia do tego Sojuszu
tooltip_alliance_leave                      Opuœæ ten Sojusz
tooltip_alliance_kick                       Zacznij g³osowanie nad wyrzuceniem tego gracza z Sojuszu

tooltip_vote_yes                            G³osuj Tak
tooltip_vote_no                             G³osuj Nie
tooltip_vote_abstain                        Wstrzymaj siê

tooltip_lmb                         [LPM]
tooltip_rmb                         [PPM]

tooltip_placeobject                 [LPM] USTAW JEDNOSTKÊ
tooltip_placefleet                  [LPM] USTAW FLOTÊ
tooltip_invalidplacement            Z£E USTAWIENIE
tooltip_spacetocancel               SPACJA, BY ZREZYGNOWAÆ

tooltip_selectobject                [LPM] WYBIERZ JEDNOSTKÊ
tooltip_selectfleet                 [LPM] WYBIERZ FLOTÊ
tooltip_setobjectstate              [PPM] ZMIEÑ TRYB JEDNOSTKI
tooltip_enemyunit                   (ODDZIA£ WROGA)
tooltip_attack                      [LPM] ATAKUJ TÊ JEDNOSTKÊ
tooltip_moveobject                  [PPM] PRZEMIEŒÆ TU JEDNOSTKÊ
tooltip_movefleet                   [PPM] PRZEMIEŒÆ TU FLOTÊ
tooltip_cantmovehere                NIEDOSTÊPNE DLA TEJ JEDN.
tooltip_spawnfighter                [LPM] ATAKUJ MYŒLIWCEM
tooltip_spawnbomber                 [LPM] ATAKUJ BOMBOWCEM
tooltip_spawnnuke                   [LPM] ATAKUJ RAKIET¥ ATOMOW¥ ICBM
tooltip_spacetodeselect             SPACJA, BY ODZNACZYÆ
tooltip_landobject                  [LPM] WYL¥DUJ TUTAJ

tooltip_controls_sidescrolling      Pozwala przesuwaæ kamerê przybli¿aj¹c mysz do brzegów ekranu
tooltip_controls_zoomspeed          Ustawienia czu³oœæ myszy i przybli¿ania
tooltip_controls_camdragging        Przesuwanie kamery po przytrzymaniu œrodkowego przycisku myszy
tooltip_controls_keyboardlayout     Zmiana ustawieñ klawiatury

tooltip_close_window                Zamknij okno

tooltip_demo_exit_the_game          Zakoñcz tê grê

tooltip_server_browser_game_time            Czas gry:
tooltip_server_browser_game_has_ended       \nGra zakoñczona
tooltip_server_browser_game_started         Rozpoczêta
tooltip_server_browser_not_yet_started      Jeszcze nie rozpoczêta
tooltip_server_browser_teams                \nZespo³y :
tooltip_server_browser_spectator            \nKibice :
tooltip_server_browser_game_mode            \nTryb gry :
tooltip_server_browser_score_mode           \nTryb punktacji :
tooltip_server_browser_mod                  \nMOD:
tooltip_server_browser_right_click_details  \n(Kliknij PPM dla szczegó³ów)


# =============================================================================
# Game Options
# =============================================================================

gameoption_PlayerName               Nowy gracz

gameoption_ServerName               Nazwa serwera
gameoption_New_Game_Server          Nowy serwer
gameoption_AdvertiseOnInternet      Og³. w sieci?
gameoption_Disabled                 Wy³.
gameoption_Enabled                  W³.
gameoption_AdvertiseOnLAN           Og³. w LAN?
gameoption_GameMode                 Tryb gry
gameoption_Default                  Domyœlny
gameoption_Office_Mode              Tryb biurowy
gameoption_Speed_Defcon             Speed Defcon
gameoption_Diplomacy                Dyplomacja
gameoption_BigWorld                 Wielki Œwiat
gameoption_Tournament               Turniej
gameoption_Custom                   W³asny
gameoption_MaxTeams                 Maks. liczba zespo³ów
gameoption_TerritoriesPerTeam       Terytoriów na zespó³
gameoption_CitiesPerTerritory       Miast na terytorium
gameoption_PopulationPerTerritory   Populacja na terytorium
gameoption_CityPopulations          Popul. miast
gameoption_Equalised                Zrównana
gameoption_Random                   Losowa
gameoption_TotallyRandom            Zupe³nie losowa
gameoption_RandomTerritories        Losowe teryt.
gameoption_PermitDefection          Porzuc. soj.
gameoption_No                       Nie
gameoption_Yes                      Tak
gameoption_RadarSharing             Wsp. radary
gameoption_AlwaysOff                Zawsze wy³.
gameoption_Alliance                 Sojusz
gameoption_Selective                Selektyw.
gameoption_AlwaysOn                 Zawsze w³.
gameoption_GameSpeed                Prêdkoœæ gry
gameoption_Slowest_Requested        Najwolniejsza z ¿¹d.
gameoption_Pause                    Pause
gameoption_Real_Time                Czas rzeczywisty
gameoption_5x_Real_Time             Czas rzeczyw. x5
gameoption_10x_Real_Time            Czas rzeczyw. x10
gameoption_20x_Real_Time            Czas rzeczyw. x20
gameoption_SlowestSpeed             Prêdkoœæ
gameoption_ScoreMode                Tryb punktacji
gameoption_Survivor                 Przetrwanie
gameoption_Genocide                 Ludobójstwo
gameoption_VictoryTrigger           Victory Trigger
gameoption_VictoryTimer             Victory Timer
gameoption_MaxGameRealTime          Najd³. gra, czas rzeczyw.
gameoption_VariableUnitCounts       Zmienne oddz.
gameoption_WorldScale               Skala œwiata
gameoption_MaxSpectators            Maksymalnie kibiców
gameoption_SpectatorChatChannel     Czat kibiców
gameoption_Private                  Prywatny
gameoption_Public                   Publiczny
gameoption_TeamSwitching            Zmiana zesp.
gameoption_ServerPassword           Has³o serwera


# =============================================================================
# Styles
# =============================================================================

style_WindowBackground              T³o okna
style_WindowTitleBar                Tytu³owa belka okna
style_WindowOuterBorder             Zewnêtrzne obram. okna
style_WindowInnerBorder             Wewnêtrzne obram. okna
style_ButtonBackground              T³o przycisku
style_ButtonHighlighted             Podœwietl. przycisku
style_ButtonClicked                 Przycisk wciœniêty
style_ButtonBorder                  Obram. przycisku
style_BoxBackground                 T³o boksu
style_BoxBorder                     Obram. boksu
style_InputBackground               T³o przy wprowadzaniu
style_InputBorder                   Obram. przy wprowadz.
style_FontWindowTitle               Czcionka tytu³u okna
style_FontButton                    Czcionka przycisku
style_WorldCoastlines               Œwiat-linie brzegowe
style_WorldBorders                  Œwiat-granice
style_WorldWater                    Œwiat-woda
style_WorldLand                     Œwiat-l¹dy
style_TooltipBackground             T³o podpowiedzi
style_TooltipBorder                 Obram. podpowiedzi
style_FontTooltip                   Czcionka podpowiedzi
style_PopupBackground               T³o popupów
style_PopupTitleBar                 Tytu³owa belka popupów
style_PopupBorder                   Obram. popupów
style_PopupHighlight                Podœwietlenie popupów
style_PopupSelection                Wybór popupów
style_FontPopupTitle                Czcionka tytu³ów popupów
style_FontPopup                     Czcionka popupów


# =============================================================================
# Unit names
# =============================================================================

unit_silo                           silos
unit_nuke                           rakieta nuklearna
unit_city                           miasto
unit_sub                            podwodny
unit_radar                          radar
unit_battleship                     pancernik
unit_airbase                        lotnisko
unit_fighter                        myœliwiec
unit_bomber                         bombowiec
unit_carrier                        lotniskowiec
unit_tornado                        tornado
unit_saucer                         lataj¹cy talerz
unit_explosion                      eksplozja


# =============================================================================
# Unit States
# =============================================================================

state_preparing                     PRZYGOTOWUJÊ 
state_prepare                       PRZYGOTUJ 
state_ready                         GOTOWY DO 
state_fighterlaunch                 START MYŒLIWCA
state_bomberlaunch                  START BOMBOWCA
state_attack                        ATAK
state_flight                        LOT
state_bombernuke                    ATAK ATOMOWY (SRBM)
state_airtoseamissile               WALKA MORSKA
state_antisub                       PRZECIWPODWODNY
state_ontarget                      NA CELU
state_disarm                        ROZBRÓJ
state_radar                         SKANOWANIE
state_silonuke                      ATAK ATOMOWY (ICBM)
state_airdefense                    OBRONA P-LOT.
state_passivesonar                  PASYWNY SONAR
state_activesonar                   AKTYWNY SONAR
state_subnuke                       ATAK ATOMOWY (MRBM)


# =============================================================================
# Game messages
# =============================================================================

message_fuel                        Koniec paliwa
message_tornadodeath                Tornado rozproszone
message_nukelaunch                  Odpalenie wykryte
message_multilaunch                 Wykryto odpalenia
message_firstlaunch                 *T odpali³ rakiety
message_incursion                   Wtargniêcie na teren wroga zabronione
message_destroyed                   *U - obiekt zniszczony
# V = victim team, U = destroyed unit, T = attacking team, A = attacking unit

message_directhit                   Trafienie w *C, *D mln ofiar
message_fallout                     opad radioaktywny na *C, *D mln ofiar
# C = city name, D = number of deaths

details_fuel                        PALIWO

message_victory                     ZWYCIÊSTWO DLA *T
message_stalemate                   BRAK WYRANEGO ZWYCIÊZCY
message_spectators_chat_players     Kibice mog¹ teraz czatowaæ z graczami
message_placeunits                  MUSISZ USTAWIÆ WSZYSTKIE JEDNOSTKI PRZED DEFCON 3

message_fleet_move                  Nie mo¿esz przesun¹æ tu floty
message_disarmed                    Rakieta rozbrojona

message_alliance_join               *P do³¹czy³ do Sojuszu *N
message_alliance_kicked             *P wyrzucony z Sojuszu *N
message_alliance_leave              *P opuœci³ SOjusz *N
# P = player name, N = alliance name

message_invalid_action              POCZEKAJ DO DEFCON *D
# D = Defcon level

message_ten_minute_warning          10 MINUT DO KOÑCA
message_victory_timer               VICTORY TIMER RUSZY£

tray_icon_caption                   DEFCON
tray_icon_ten_minute_warning        10 minut do koñca
tray_icon_victory_timer             Victory Timer ruszy³
