# =============================================================================
# DEFCON LANGUAGE FILE
#
# Format:
# stringId                  translation
#
#
# A hash at the start of a line indicates a comment
# StringIDs MUST be left untouched during translation
#
# =============================================================================


# =============================================================================
# Name of the language in the language
# =============================================================================

lang			Español
tutorial_zoomcamera			Gira la rueda del ratón para acercar o alejar la imagen.\n\nAdemás puedes utilizar las teclas Q y E.
tutorial_movecamera2			También puedes mantener pulsado el botón central del ratón y arrastrar la vista.\n\nPusa Siguiente cuando te hayas familiarizado con los controles de la vista, y nos pondremos con cómo hacer saltar las cosas por los aires.
tutorial_silofocus			El objeto que aparece destacado es un Silo de Misiles. Tiene dos modos:\n - en el modo de Lanzamiento de ICBM puede disparar Misiles nucleares sobre objetivos enemigos\n - el modo de Defensa Aérea derribará misiles y aeronaves del enemigo.\n\nEs necesario que el Silo esté en el Modo de Lanzamiento de ICBM para que podamos destruir las Estaciones de Radar enemigas situadas en los alrededores.\nPulsa con el botón derecho en el Silo y cambia su estado a Modo de Lanzamiento de ICBM.
macosx_tutorial_silofocus			El objeto que aparece destacado es un Silo de Misiles. Tiene dos modos:\n - en el modo de Lanzamiento de ICBM puede disparar Misiles nucleares sobre objetivos enemigos\n - el modo de Defensa Aérea derribará misiles y aeronaves del enemigo.\n\nEs necesario que el Silo esté en el Modo de Lanzamiento de ICBM para que podamos destruir las Estaciones de Radar enemigas situadas en los alrededores.\n\nPulsa con el botón derecho en el Silo y cambia su estado a Modo de Lanzamiento de ICBM.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_mission1destroyradar			Fíjate en que el icono del Silo de Misiles cambia a un triángulo cuando está preparado para lanzar Misiles nucleares.\n\nUtilízalo para destruir las Estaciones de Radar del enemigo.

tutorial_mission1end			Has completado la misión 1.\n\nPulsa Siguiente para pasar a la Misión 2.
tutorial_mission1failed			Has utilizado todos los Misiles nucleares sin haber destruido los objetivos, por lo que la Misión ha fracasado.\n\nPulsa Reiniciar para intentarlo de nuevo.

tutorial_silofocus_popup1			Pulsa con el botón derecho en el Silo y cambia su estado a Modo de Lanzamiento de ICBM.
macosx_tutorial_silofocus_popup1			Pulsa con el botón derecho en el Silo y cambia su estado a Modo de Lanzamiento de ICBM.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_silofocus_selectpopup			Pulsa con el botón izquierdo en este Silo para seleccionarlo.
tutorial_mission1destroyradar_popup			Pulsa con el botón izquierdo en esta Estación de Radar para lanzar sobre ella un Misil nuclear.
#tutorial_mission1deselect_popup			Pulsa ESPACIO para cancelar la selección de esta unidad.
tutorial_mission1deselect_popup			ESPACIO cancelar la selección de esta unidad.

# ==== MISSION 2 =====

tutorial_mission2start			La primera tarea en cualquier partida de Defcon es desplegar todas tus unidades.\n\nAbre el Panel de Unidades para iniciar el despliegue.
tutorial_m2selectsilo			Desde este panel podrás desplegar todas las unidades que tengas disponibles. En esta misión sólo dispones de Silos.\n\nTienes que desplegar todas las unidades ANTES de Defcon 3.\n\nPulsa en el icono del Silo para comenzar su despliegue.
tutorial_m2placesilos			El área verde representa tu territorio.\n\nSólo puedes desplegar unidades en el interior de tu propio territorio, y además las de tipo terrestre no pueden ser desplazadas una vez que han sido situadas.\n\nNo es posible colocar unidades terrestres demasiado cerca las unas de las otras.\n\nDespliega tus Silos en las cercanías de las ciudades con el fin de defenderlas.
tutorial_m2destroynukes			¡Submarinos Enemigos han lanzado Bombas nucleares a tus Ciudades!\n\nTus Silos ya están en el modo de Defensa Aérea y derribarán los misiles entrantes.\n\nLos silos en modo de Defensa Aérea son muy efectivos a la hora de derribar los misiles nucleares entrantes.

tutorial_m2end			Has completado la misión 2.\n\nPulsa Siguiente para pasar a la Misión 3.
tutorial_mission2failed			¡Un Misil nuclear ha alcanzado una de tus Ciudades!\n\nLa próxima vez prueba a situar los Silos cerca de las ciudades para que dispongan de más tiempo para derribar los misiles entrantes.\n\nPulsa Reiniciar para intentarlo de nuevo.

tutorial_unitpanel_popup			Pulsa en este botón para abrir el Panel de Unidades.
tutorial_silo_popup			Pulsa en este icono de unidades para comenzar a desplegar los Silos.
tutorial_silo_place			Pulsa con el botón izquierdo en esta área para desplegar tus silos cerca de las ciudades más importantes.

# ==== MISSION 3 =====

tutorial_mission3start			Todas las unidades de Defcon poseen un alcance radar, y sólo podrás ver una unidad enemiga si se encuentra en el interior de tu cobertura radar.\n\nExisten varias unidades enemigas en Rusia que es necesario descubrir.\n\nDespliega tus Estaciones de Radar para revelar las unidades del enemigo.
tutorial_m3radarplacement			Despliega tus Estaciones de Radar tan cerca de Rusia como sea posible.\n\nA medida que despliegues cada Estación de Radar, percibirás que la visibilidad del área se incrementa: las unidades enemigas saldrán a la luz.
tutorial_m3siloplacement			Ahora puedes ver las unidades enemigas.\n\nDespliega algunos Silos en tu Territorio para destruir al enemigos.
tutorial_m3gamespeed			Tenemos que utilizar Armas Nucleares para destruir las construcciones enemigas, pero no podemos hacerlo hasta llegar a Defcon 1.\n\nPara alcanzar Defcon 1 es necesario acelerar el tiempo, así que pulsa en los Botones de control de la velocidad para acelerarlo hasta que se declare el nivel de Defcon 1.
tutorial_m3defcon1			Muchas unidades no pueden entablar combate hasta que se ha alcanzado un cierto nivel de Defcon.\n\nLos combates aéreos y navales no pueden tener lugar hasta Defcon 3.\n\nSÓLO SE PUEDEN UTILIZAR ARMAS NUCLEARES UNA VEZ QUE SE HA DECLARADO DEFCON 1.\n\nAcelera el tiempo hasta llegar a Defcon 1.
tutorial_m3destroyenemy			Ahora podrás utilizar tus Silos para lanzar Misiles nucleares sobre las construcciones enemigas.\n\nEl enemigo dispone de un Silo en modo de Defensa Aérea, que derribará muchos de tus misiles. Además, ese Silo enemigo está protegido frente a Ataques Nucleares y puede recibir 3 impactos directos.\n\nEs necesario que ataques el Silo enemigo simultáneamente con todos tus Silos para asegurar el éxito.
tutorial_m3silostaketime			Los silos tardan bastante tiempo en cambiar entre el modo de Defensa Aérea y el de Lanzamiento de ICBM. Sitúa el ratón encima de un Silo para conocer el tiempo que tendrás que esperar.\n\nSi es necesario acelera el tiempo con total libertad.\n\nContinúa lanzando todos los Misiles nucleares sobre las construcciones enemigas hasta que hayan sido destruidas.

tutorial_m3end			Has completado la misión 3.\n\nPulsa Siguiente para pasar a la Misión 4.
tutorial_mission3failed1			Has desplegado todas tus Estaciones de Radar pero no has conseguido revelar todas las unidades enemigas.\n\nLa misión ha fracasado.\n\nPulsa Reiniciar para comenzar de nuevo.
tutorial_mission3failed2			Te has quedado sin Misiles nucleares y no has conseguido destruir las construcciones enemigas.\n\nPulsa Reiniciar para intentarlo de nuevo.

tutorial_radar_popup			Pulsa en este icono de unidades para comenzar a desplegar Estaciones de Radar.
tutorial_radar_place			Pulsa con el botón izquierdo en esta área para colocar tus Estaciones de Radar cerca del territorio enemigo.
tutorial_acceltime_popup			Pulsa en los botones de configuración de la velocidad para Acelerar el tiempo hasta llegar a Defcon 1.
tutorial_silosnuke_popup			Pulsa con el botón derecho en el Silo y cambia su estado al Modo de Lanzamiento de ICBM.
macosx_tutorial_silosnuke_popup			Pulsa con el botón derecho en el Silo y cambia su estado al Modo de Lanzamiento de ICBM.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_nukenemeysilo_popup			Pulsa repetidamente en este Silo para programar sobre él varios Lanzamientos de misiles.  Derribará muchos de tus misiles y puede recibir hasta 3 impactos directos.
tutorial_nukeenemyairbase_popup			Lanza unos cuantos misiles nucleares sobre esta Base Aérea.
tutorial_nukenemeycities_popup			Utiliza con total libertad las restantes bombas nucleares sobre la población civil enemiga.

# ==== MISSION 4 =====

tutorial_mission4start			En muchos casos las unidades enemigas se encontrarán fuera del alcance del Radar. Para revelar las unidades enemigas tendrás que enviar aviones de reconocimiento sobre su territorio.\n\nSitúa algunas Bases Aéreas en tu territorio.
tutorial_m4launchfighters			Puedes utilizar las Bases aéreas para enviar dos tipos de aviones:\n-Cazas : aviones de corto alcance para combate y reconocimiento\n-Bombarderos : aparatos de largo alcance armados con una única\nbomba atómica\n\nLos cazas son aviones de combate rápidos y de corto alcance. Son buenos derribando otros aviones, y también para misiones de reconocimiento.\n\nEnvía tus Cazas sobre territorio enemigo para rastrear objetivos.
tutorial_m4radar			Cada Caza dispone de un Radar de corto alcance que revelará construcciones del enemigo si vuela lo suficientemente cerca.\n\nActiva la vista de Radar para observar tu Cobertura.
tutorial_m4launchbombers			Tus Cazas han revelado todas las construcciones del enemigo.\n\nPuedes observar que los edificios enemigos se vuelven grises una vez que dejan de estar dentro de tu Cobertura Radar, es lo que se llama un Fantasma Radar.\n\nAhora utilizaremos Bombarderos para soltar Bombas atómicas sobre esos objetivos enemigos.\n\nUtiliza tus Bases aéreas para enviar Bombarderos a las construcciones enemigas.
tutorial_m4bomberinfo			Los bombarderos pueden viajar a grandes distancias, pero tienen que acercarse a su objetivo, ya que sólo llevan un Misil Nuclear de Corto Alcance.\n\nLos bombarderos soltarán automáticamente el misil cuando el objetivo se encuentre a tiro.
tutorial_m4nukeslaunched			Una vez que un Bombardero haya lanzado la bomba atómica regresará\nde forma automática a la Base aérea más cercana para aterrizar.\n\nDespués de tomar tierra, los Bombarderos se recargan con nuevos misiles, aunque las Bases aéreas disponen de un número limitado.\n\nSi señalas una Base aérea (pasando el ratón por encima) verás el número de aparatos y bombas atómicas que te quedan disponibles.

tutorial_m4end			Has completado la misión 4.\n\nPulsa Siguiente para pasar a la Misión 5.
tutorial_mission4failed			Te has quedado sin Bombas atómicas antes de destruir al enemigo, por lo que la Misión ha fracasado.\n\nPulsa Reiniciar para intentarlo de nuevo.

tutorial_selectairbase_popup			Pulsa en este icono de unidades para comenzar a desplegar Bases aéreas.
tutorial_placeairbase_popup			Pulsa con el botón izquierdo en esta área para desplegar tus Bases aéreas.
tutorial_clickairbase_popup			Pulsa con el botón izquierdo en esta Base aérea para comenzar a enviar Cazas.
tutorial_scouthere_popup			Pulsa repetidamente con el botón izquierdo del ratón en esta área para programar varios envíos de cazas.
tutorial_radartoolbar_popup			Marca este botón de la barra de herramientas para mostrar tu Cobertura Radar.
tutorial_switchtobombers_popup			Pulsa con el botón derecho en esta Base aérea y cambia su estado al Modo de Bombarderos.
macosx_tutorial_switchtobombers_popup       			Pulsa con el botón derecho en esta Base aérea y cambia su estado al Modo de Bombarderos.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_clickairbasebomber_popup			Pulsa con el botón izquierdo en esta Base aérea para comenzar a enviar Bombarderos.
tutorial_nukebuilding_popup			Envía un par de Bombarderos a este edificio enemigo.

# ==== MISSION 5 =====

tutorial_mission5start			Gran parte de tus fuerzas móviles estará formada por barcos, que se agrupan en flotas.\n\nUna flota la componen hasta seis naves y se mueve y combate como una unidad cohesiva.\n\nAbre el Panel de Unidades y pulsa el botón Flota para comenzar a desplegar una.
tutorial_m5createfleet			Éste es el Constructor de Flotas. Al pulsar en los botones de unidades se añadirá esa nave a la flota.\n-Los acorazados son efectivos contra una gran variedad de unidades enemigas, pero son vulnerables a los submarinos.\n-Los Portaaviones funcionan como Bases aéreas móviles que te permiten enviar Cazas y Bombarderos, además de lanzar Cargas de profundidad contra Submarinos enemigos.\n-Los submarinos no son visibles en los radares convencionales y llevan armas nucleares de medio alcance.\nConstruye una flota de seis barcos: tres acorazados y tres portaaviones.
tutorial_m5battleshipinfo			Las flotas se controlan como una única unidad. Si les ordenas que se muevan lo harán juntos.  Si les ordenas atacar una flota enemiga lo harán como una única unidad de la mejor manera posible.\n\nSelecciona una de las flotas pulsando cualquiera de sus barcos con el botón izquierdo.\n\nA continuación haz que se desplace hacia el sur pulsando en su destino con el botón derecho.
macosx_tutorial_m5battleshipinfo			Las flotas se controlan como una única unidad. Si les ordenas que se muevan lo harán juntos.  Si les ordenas atacar una flota enemiga lo harán como una única unidad de la mejor manera posible.\n\nSelecciona una de las flotas pulsando cualquiera de sus barcos con el botón izquierdo.\n\nA continuación haz que se desplace hacia el sur pulsando en su destino con el botón derecho (o pulsando ctrl y el botón del ratón al mismo tiempo).
tutorial_m5destroyenemy			Dos flotas enemigas se encuentran en algún lugar del océano Atlántico - utiliza tus Flotas para encontrarlas y destruirlas.\n\n- Pulsa con el botón izquierdo en cualquiera de los barcos que la componen para seleccionar la flota completa.\n\n- Pulsa con el botón derecho para establecer el destino de una flota seleccionada.\n\nAcelera el tiempo si es necesario.
macosx_tutorial_m5destroyenemy			Dos flotas enemigas se encuentran en algún lugar del océano Atlántico - utiliza tus Flotas para encontrarlas y destruirlas.\n\n- Pulsa con el botón izquierdo en cualquiera de los barcos que la componen para seleccionar la flota completa.\n\n- Pulsa con el botón derecho (o pulsando ctrl y el botón del ratón al mismo tiempo) para establecer el destino de una flota seleccionada.\n\nAcelera el tiempo si es necesario.
tutorial_m5destroyenemy2			Tus flotas entablarán automáticamente combate con los barcos enemigos en cuanto estén a tiro. Los acorazados abrirán fuego y los Portaaviones enviarán Cazas cuando sea necesario.\n\nPuedes controlar manualmente las batallas si así lo deseas: p.ej. pulsa con el botón izquierdo en uno de los Portaaviones para seleccionarlo, y después pulsa otra vez sobre un barco enemigo para lanzar Cazas sobre él.\n\nMarca el botón de Órdenes de la Barra de herramientas para ver las órdenes de ataque actuales de tus Flotas.

tutorial_m5end			Has completado la misión 5. Pulsa Siguiente para pasar a la Misión 6.
tutorial_mission5failed			Has perdido todos tus barcos sin destruir al enemigo, por lo que la misión ha fracasado.\n\nPulsa Reiniciar para intentarlo de nuevo.

tutorial_selectfleet_popup			Pulsa en este icono para comenzar a desplegar Flotas.
tutorial_addbattleship_popup			Pulsa en este icono de unidades para añadir un Acorazado a tu Flota.
tutorial_addcarrier_popup			Pulsa en este icono de unidades para añadir un Portaaviones a tu Flota.
tutorial_deployfleet_popup			Pulsa con el botón izquierdo para desplegar tu Flota en esta área.
tutorial_selectdeployedfleet_popup			Pulsa con el botón izquierdo en cualquier barco para seleccionar la flota completa.
tutorial_movefleet_popup			PULSA CON EL BOTÓN DERECHO para que la flota seleccionada al completo se desplace a este punto.
macosx_tutorial_movefleet_popup			PULSA CON EL BOTÓN DERECHO para que la flota seleccionada al completo se desplace a este punto.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_destroyfleet_popup			Destruye la flota enemiga de esta área.
tutorial_orderstoolbar_popup			Marca este botón de la barra de herramientas para mostrar tus Órdenes.

# ==== MISSION 6 =====

tutorial_mission6start			Hasta ahora has estado actuando fuera de Europa, con la Unión Soviética como enemigo. Sin embargo, no siempre será así.\n\nEn esta Misión tu territorio es América del Norte, y el enemigo es Asia del Sur.\n\nMarca el botón de Territorio para ver las partes del mapa que controla cada uno.
tutorial_mission6subintro			Es este caso, el océano Pacífico es un campo de batalla decisivo.  El enemigo ha situado varios Submarinos nucleares junto a la Costa Occidental de América.  Desde allí podrá lanzar bombas atómicas sobre muchas de nuestras principales ciudades.\n\nLa mejor arma contra los Submarinos enemigos es el Portaaviones (puede utilizar el Sónar para localizar submarinos sumergidos y soltar Cargas de profundidad para hundirlos).\n\nDespliega una flota de Portaaviones junto a la Costa Occidental.
tutorial_mission6placesubs			También vamos a utilizar nuestros propios Submarinos para arrasar la Costa Oriental de China como represalia.\n\nCrea una flota de Submarinos y colócalos tan cerca de China Oriental como puedas.
tutorial_m6subinfo			Los submarinos llevan unas amplias reservas de Misiles Nucleares de Medio Alcance.\n\nEs de crucial importancia el hecho de que los Submarinos no aparezcan en los radares enemigos hasta que salen a la superficie, lo que hace que sean invisibles e inmunes al fuego de las armas convencionales.\n\nDesplaza tus Submarinos hasta un punto lo más cercano posible a la costa enemiga, y apuntémonos unas cuantas muertes.
tutorial_m6destroysubs			Existen dos flotas de submarinos enemigos ocultas junto a la Costa Occidental de América.\n\nConfigura algunos de tus Portaaviones en modo Antisubmarinos y destruye los Submarinos enemigos con Cargas de profundidad.\n\nTus Portaaviones disponen de Cargas de profundidad ilimitadas.\n\nAcelera el tiempo si es necesario.
tutorial_m6movesubs			Los submarinos pueden utilizarse con efectos devastadores debido a que pueden entrar a hurtadillas en las costas enemigas y atacar con poco tiempo para reaccionar o incluso sin previo aviso.\n\nMueve tus submarinos hasta una distancia de China Oriental que permita el ataque.
tutorial_m6enemylaunch			¡El enemigo ha comenzado a lanzar Misiles nucleares sobre nuestras Ciudades desde sus Silos Terrestres!\n\nUtilizaremos los Submarinos que se encuentran en los alrededores para destruirlos antes de que puedan ocasionar demasiados daños.\n\n¡Cambia el modo de tus Submarinos al de Lanzamiento de MRBM y destruye los Silos enemigos!
tutorial_m6launchexplanation			A pesar de no tener Cobertura Radar del área, todavía podemos ver los Silos enemigos.\n\nSe debe a que los Silos revelan su localización a todo el mundo cuando lanzan Misiles.\n\nLos silos en Modo de Lanzamiento son incapaces de defenderse, por lo que es la ocasión perfecta para atacarlos.\n\nUna vez que sus Silos hayan sido destruidos, estarán sin defensas, así que ¡ataca sus ciudades como represalia y causa auténticos daños!
tutorial_m6end			Has completado la misión 6. Pulsa Siguiente para pasar a la Misión de entrenamiento final.

tutorial_territorytoolbar_popup			Marca este botón de la barra de herramientas para mostrar los Territorios de cada Jugador.
tutorial_addsub_popup			Pulsa en este icono de unidades para añadir un Submarino a tu Flota.
tutorial_movesubs_popup			PULSA CON EL BOTÓN DERECHO en esta localización para mover tus submarinos dentro del alcance de un ataque sobre China Oriental.
macosx_tutorial_movesubs_popup			PULSA CON EL BOTÓN DERECHO en esta localización para mover tus submarinos dentro del alcance de un ataque sobre China Oriental.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_switchtodepth_popup			Pulsa con el botón derecho en este Portaaviones y cambia su estado al Modo Antisubmarinos.
macosx_tutorial_switchtodepth_popup			Pulsa con el botón derecho en este Portaaviones y cambia su estado al Modo Antisubmarinos.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_destroysubs_popup			Mueve tus Portaaviones a esta posición y destruye los Submarinos enemigos del área.
tutorial_substonuke_popup			Pulsa con el botón derecho en este Submarino y cambia su estado al Modo de Lanzamiento de MRBM.
macosx_tutorial_substonuke_popup			Pulsa con el botón derecho en este Submarino y cambia su estado al Modo de Lanzamiento de MRBM.\n(Pulsa Ctrl y haz clic si tienes un ratón de un solo botón)
tutorial_nukesilo_popup			Pulsa varias veces con el botón izquierdo en este Silo para lanzarle misiles nucleares desde tus Submarinos.


# ==== MISSION 7 =====

tutorial_mission7start			Esta es la misión final de entrenamiento. Tendrás que aplicar todo lo que has aprendido en una batalla real contra un oponente controlado por el ordenador.\n\nPara poder ganar tendrás que conseguir más puntos que el enemigo bombardeando sus ciudades.  Recibirás 2 puntos por cada baja que causes en el enemigo, pero perderás 1 por cada uno de tus civiles que caiga.\n\nEn esta partida eres América del Norte y el enemigo es Asia del Sur.
tutorial_mission7enemyattack			¡El enemigo te está lanzando sus misiles!\n\nSi dispones de algún submarino o Portaaviones cerca de la costa china, utilízalo para destruir los silos enemigos mientras permanecen indefensos.\n\nMantén tus Silos Terrestres en el modo de Defensa Aérea para derribar los Misiles nucleares entrantes.
tutorial_mission7retaliate			El enemigo ha lanzado la mayor parte de sus misiles.\n\n¡Utiliza los Silos Terrestres y los misiles nucleares restantes para lanzar una represalia a gran escala contra las ciudades enemigas de China!
tutorial_m7victory			¡Felicidades! ¡Has vencido con éxito al oponente controlado por el ordenador y completado el Tutorial de Defcon!
tutorial_mission7failed			Has sido derrotado por el ordenador y fracasado en tu misión.\n\nConsejos:\n-Intenta llevar tus Submarinos hasta la costa enemiga, para que puedas destruir sus Silos antes de que lancen demasiados misiles nucleares.\nUtiliza tus Portaaviones para encontrar y destruir los submarinos enemigos antes de que ataquen.\n\nPulsa Reiniciar para intentarlo de nuevo.

tutorial_showterritory_popup			Marca este botón para mostrar la localización de tus enemigos.
tutorial_m7placeradar_popup			El enemigo vendrá de la Costa Oriental de China. Despliega tus Radares a lo largo de la costa occidental para lograr la máxima cobertura.
tutorial_m7placesilos_popup			Despliega tus Silos de manera que cubran tus ciudades más importantes ya que serán los Objetivos Primarios del enemigo.
tutorial_m7placeairbases_popup			Despliega tus Bases aéreas a lo largo de la Costa Occidental de América. Las utilizaremos para entablar combates y destruir cualquier nave enemiga que se acerque a nuestra costa.
tutorial_placefleetspacific_popup			El enemigo enviará barcos a través del Pacífico para atacarnos. Debes desplegar la mayor parte de tus Flotas en el Pacífico para interceptarlos.
tutorial_m7fleettarget_popup			Intenta que tus flotas lleguen a la Costa Oriental de China para poder atacar desde corta distancia.\nPULSA CON EL BOTÓN IZQUIERDO para seleccionar una flota completa.\nPULSA CON EL BOTÓN DERECHO para mover una flota completa.
macosx_tutorial_m7fleettarget_popup			Intenta que tus flotas lleguen a la Costa Oriental de China para poder atacar desde corta distancia.\nPULSA CON EL BOTÓN IZQUIERDO para seleccionar una flota completa.\nPULSA CON EL BOTÓN DERECHO (o pulsando ctrl y el botón del ratón al mismo tiempo) para mover una flota completa.
tutorial_m7scoutchina_popuup			Envía Cazas desde tus Portaaviones cercanos, para reconocer el área en busca de bases terrestres enemigas.
tutorial_m7enemysubs_popup			¡Submarinos Enemigos están lanzando bombas nucleares sobre tus ciudades!  ¡Envía Cazas y Bombarderos desde las Bases aéreas cercanas para destruirlos!


# =============================================================================
# Unit Info
# =============================================================================

unitinfo_title			INFORMACIÓN DE UNIDADES
unitinfo_title2			(ninguna unidad seleccionada)

unitinfo_fighter			Aviones de combate rápidos de corto alcance.\n+  Efectivos contra Bombarderos\n+  Útiles para misiones de reconocimiento\n-  Fácilmente derribados por acorazados o Silos
unitinfo_silo			Funciona como Lanzador de misiles nucleares y Batería Antiaérea.\n+  Amplias reservas de Misiles Nucleares de Largo Alcance\n+  Potentes Cañones antiaéreos\n+  Reforzado contra impactos atómicos\n-  El Lanzamiento de misiles nucleares revela su localización\n-  Cambio de modo lento
unitinfo_radar			Proporciona cobertura radar a tu territorio.\n+  Mayor alcance radar disponible\n-  Fácilmente destruida por impacto nuclear
unitinfo_bomber			Avión versátil de largo alcance.\n+  Lleva un único misil nuclear de corto alcance\n+  El lanzamiento de misiles nucleares no se muestra en el radar enemigo\n+  Efectivo contra Barcos\n-  Derribado fácilmente por Cazas\n-  Movimiento lento
unitinfo_battleship			Cañonera de gran potencia equipada con poderosas armas de disparo rápido.\n+  Efectivo contra objetivos múltiples\n-  Vulnerable frente a Submarinos y Bombarderos
unitinfo_sub			Potente unidad furtiva portadora de misiles nucleares.\n+  Invisible al radar convencional\n+  Amplias reservas de Misiles nucleares\n-  Extremadamente vulnerable en superficie\n-  El lanzamiento de misiles nucleares revela su localización\n- Vulnerable a Cargas de profundidad\n-  Sin alcance radar
unitinfo_carrier			Unidad móvil portadora de aeronaves.\n+  Puede enviar Cazas y Bombarderos\n+  Es capaz de soltar Cargas de profundidad contra Submarinos\n-  No puede defenderse directamente
unitinfo_nuke			Cabeza nuclear de gran potencia.\n+  Increíble poder destructivo\n-  Vulnerable al fuego antiaéreo
unitinfo_airbase			Punto de despegue para Cazas y Bombarderos.\n+  Gran número de Bombarderos\n+  Regenera los cazas con el tiempo\n-  Destruido con facilidad por el impacto de un misil nuclear


# =============================================================================
# Demo screen
# =============================================================================

demo_top1                           Compra ahora el juego y disfruta de Defcon correctamente
demo_middle1                        Sin límite de participantes: ¡caos genocida para 6 jugadores!
demo_middle2                        Los Modos de juego alternativos incluyen:
demo_middle3                        Modo de Oficina: Juega a Defcon en tiempo real durante un día completo
demo_middle4                        Defcon Rápido: Todo termina en 15 minutos - brutal e instintivo
demo_middle5                        Diplomacia: Todos los jugadores comienzan en la misma alianza
demo_middle6                        Gran Mundo: El mundo es el doble de grande
demo_bottom1                        Activación Inmediata por sólo
demo_bottom2                        10 £    17,50 $     14 €

demo_bottom1_steam                  Activación Inmediata por sólo
demo_bottom2_steam                  14,95 $

demo_bottom1_retail                 COMPRA HOY LA VERSIÓN COMPLETA DE DEFCON
demo_bottom2_retail                 VISITA A TU VENDEDOR DE JUEGOS FAVORITO

demo_bottom1_retail_uk              COMPRA HOY LA VERSIÓN COMPLETA DE DEFCON
demo_bottom2_retail_uk              VISITA A TU VENDEDOR DE JUEGOS FAVORITO

demo_bottom1_macosx                 Activación Inmediata por sólo
demo_bottom2_macosx                 25,00 $


# =============================================================================
# Lobby Overlays
# =============================================================================

overlay_0_1			--------------------------
overlay_0_2			-       D E F C O N
overlay_0_3			--------------------------
overlay_0_4			-CREADO POR
overlay_0_5			CHRIS DELAY
overlay_0_6			GARY CHAMBERS\n
overlay_0_7			-DISEÑO Y PRODUCCIÓN
overlay_0_8			-DE SONIDO
overlay_0_9			ALISTAIR LINDSAY
overlay_0_10			MICHAEL MAIDMENT\n
overlay_0_11			-PRODUCIDO POR
overlay_0_12			-INTROVERSION SOFTWARE
overlay_0_13			MARK MORRIS
overlay_0_14			THOMAS ARUNDEL
overlay_0_15			CHRIS DELAY
overlay_0_16			JOHN KNOTTENBELT\n
overlay_0_17			-RR. PP. Y MÁRKETING
overlay_0_18			VICTORIA ARUNDEL\n
overlay_0_19			-DISEÑO GRÁFICO ADICIONAL
overlay_0_20			MORTEN ELGAARD PEDERSEN\n
overlay_0_21			-ENVÍOS
overlay_0_22			WILL MORRIS
overlay_0_23			 -DESARROLLO ADICIONAL
overlay_0_24			FRANCOIS GAGNE

overlay_1_1			------------------------------------------
overlay_1_2			-I N T R O V E R S I O N   S O F T W A R E
overlay_1_3			------------------------------------------\n
overlay_1_4			MARK MORRIS                     DIRECTOR
overlay_1_5			THOMAS ARUNDEL                  DIRECTOR
overlay_1_6			CHRIS DELAY                     DIRECTOR
overlay_1_7			JOHN KNOTTENBELT                DIRECTOR\n
overlay_1_8			GARY CHAMBERS                   DESARROLLO
overlay_1_9			VICTORIA ARUNDEL                RR.PP. Y MÁRKETING
overlay_1_10			WILL MORRIS                     ENVÍOS

overlay_2_1			-------------------------
overlay_2_2			-SIMULACIONES DISPONIBLES
overlay_2_3			-------------------------\n
overlay_2_4			EL LABERINTO DE FALKEN
overlay_2_5			BLACK JACK
overlay_2_6			GIN RUMMY
overlay_2_7			CORAZONES
overlay_2_8			BRIDGE
overlay_2_9			DAMAS
overlay_2_10			AJEDREZ
overlay_2_11			PÓQUER
overlay_2_12			COMBATE DE CAZAS
overlay_2_13			BATALLA DE GUERRILLAS
overlay_2_14			GUERRA EN EL DESIERTO
overlay_2_15			ACCIONES AIRE-TIERRA
overlay_2_16			GUERRA TOTAL TÁCTICA
overlay_2_17			GUERRA TOTAL BIOTÓXICA Y QUÍMICA\n
overlay_2_18			GUERRA NUCLEAR MUNDIAL

overlay_3_1			------------------------------------------
overlay_3_2			- OBJETIVOS CIVILES EN MILLONES DE MUERTOS
overlay_3_3			------------------------------------------\n
overlay_3_4			LOS ÁNGELES                    3,3
overlay_3_5			NUEVA YORK                     7,3
overlay_3_6			CHICAGO                        3,0
overlay_3_7			WASHINGTON DC                  4,0
overlay_3_8			DALLAS                         1,0
overlay_3_9			DETROIT                        1,1
overlay_3_10			PARíS                          2,2
overlay_3_11			BERLíN                         1,9
overlay_3_12			LONDRES                        7,7
overlay_3_13			LENINGRADO                     4,9
overlay_3_14			MOSCÚ                          8,7
overlay_3_15			ROMA                           2,8
overlay_3_16			TOKIO                          8,4
overlay_3_17			SINGAPUR                       2,6
overlay_3_18			BANGKOK                        4,7
overlay_3_19			BOMBAY                         8,2
overlay_3_20			MÉXICO                         8,8
overlay_3_21			RÍO DE JANEIRO                 5,6
overlay_3_22			EL CAIRO                       6,1
overlay_3_23			ESTANBUL                       5,5
overlay_3_24			PEKÍN                          5,5
overlay_3_25			SHANGHAI                       6,3
overlay_3_26			DELHI                          4,9
			 
