# =============================================================================
# ФАЙЛ ОПИСАНИЯ DEFCON
#
# Формат:
# stringId                  перевод
#
#
# Символами в начале строки обозначаются комментарии
# StringIDs должны остаться нетронутыми!#
#
# =============================================================================


# =============================================================================
# Название языка
# =============================================================================
lang                                                  Русский
dialog_server_browser_mods                            Моды
dialog_server_browser_game_mode                       Режим игры
dialog_server_browser_server_name                     Имя сервера
dialog_server_browser_list                            Список

dialog_filter_all_games                               Все игры
dialog_filter_games_in_lobby                          Игры в фойе
dialog_filter_games_in_progress                       Запущенные игры
dialog_filter_recent_servers                          Последние серверы
dialog_filter_lan_games                               Игры локальной сети
dialog_filter_enter_ip_manually                       Ручной ввод IP
dialog_join                                           Присоединиться
dialog_enter_ip                                       [введите ip]
dialog_connect                                        Подключиться
dialog_server_ip                                      IP-адрес сервера
dialog_server_port                                    Порт сервера
dialog_single_player_games                            Одиночные игры
dialog_demo_games                                     Демоверсии
dialog_default_named_servers                          Серверы с именем
dialog_show_single_player_games                       Одиночные игры 
dialog_show_demo_games                                Демоверсии
dialog_show_default_named_games                       Названия по умолчанию
dialog_server_name                                    Имя
dialog_server_identity_address                        ID
dialog_server_game_name                               Игра
dialog_server_game_mode                               Режим игры
dialog_server_score_mode                              Режим очков
dialog_server_started                                 [началась]
dialog_server_ended                                   [завершена]
dialog_server_not_yet_started                         [еще не запущена]
dialog_spectators                                     Зрители
dialog_server_game_time                               Время игры
dialog_server_scores                                  Очки
dialog_retrieving_scores                              Получение данных об очках...

dialog_disconnected                                   Отключен
dialog_disconnect_client_leave                        Вы покинули игру 
dialog_disconnect_server_shutdown                     Сервер отключился 
dialog_disconnect_invalid_key                         Вы используете неверный ключ 
dialog_disconnect_duplicate_key                       Вы используете чужой ключ 
dialog_disconnect_key_auth_failed                     Аутентификация ключа провалилась
dialog_disconnect_bad_password                        Введен неверный пароль
dialog_disconnect_game_full                           В игре достаточно игроков 
dialog_disconnect_kicked_from_game                    Выброшен с сервера
dialog_disconnect_demo_full                           Слишком много игроков с демоверсией
dialog_disconnect_unknown                             Н\Д

dialog_chat_public                                    Общий
dialog_chat_alliance                                  Союз
dialog_chat_spectators                                Зрители
dialog_chat_channel_public                            [общий]
dialog_chat_channel_alliance                          [союз]
dialog_chat_channel_spectators                        [зрители]
dialog_chat_channel_private                           [приватный]
dialog_chat_channel_to_team_name                      [на *T]
# T = Имя команды

dialog_white_board_draw_erase                         рисовать
dialog_white_board_clear_all                          очистить все
dialog_white_board_show_all                           показать все

dialog_worldstatus_defcon                             DEFCON
dialog_worldstatus_defcon_x                           DEFCON *D
# D = Уровень Defcon 
dialog_worldstatus_time_remain_hms                    Осталось : *Hh *Mm *Ss
# H = Часов, M = Минут, S = Секунд
dialog_worldstatus_time_remain_ms                     Осталось : *Mm *Ss
# M = Минут, S = Секунд
dialog_worldstatus_show_stats                         Показать статистику
dialog_worldstatus_scoremode                          Режим очков
dialog_worldstatus_cpu_team_name                      [ЦП]*T
# T = Имя команды
dialog_worldstatus_left_team_name                     [ОСТАЛОСЬ]*T
# T = Имя команды 
dialog_worldstatus_demo_team_name                     [ДЕМО]*T
# T = Имя команды 
dialog_worldstatus_out_of_sync                        Нет синхронизации
dialog_worldstatus_out_of_sync_2                      Нет синхронизации 
dialog_worldstatus_spectator_join                     Зритель (подключается...)
dialog_worldstatus_superpower                         Сверхдержава
dialog_worldstatus_kills                              Убито
dialog_worldstatus_deaths                             Смерти
dialog_worldstatus_survivors                          Выжившие
dialog_worldstatus_collateral                         Косв. урон
dialog_worldstatus_nukes                              Ракеты
dialog_worldstatus_score                              Очки
dialog_worldstatus_points_value                       Кол-во очков:
dialog_worldstatus_pop_in_millions                    *P м
# P = Население в миллионах
dialog_worldstatus_classified                         [засекречено]
dialog_stats                                          Статистика

dialog_casualties_city                                Города
dialog_casualties_strikes                             Удары
dialog_casualties_deaths                              Смерти
dialog_casualties_in_million                          *C млн.
# C = Количество пострадавших в миллионах

dialog_network_title                                  Сеть
dialog_network_server_seqid                           Посл. ид-ии сервера       *S
# S = Последовательность идентификации
dialog_network_server_send                            Сервер отправляет        *R Кб/сек
# R = Скорость отправки
dialog_network_server_receive                         Сервер принимает     *R Kb/sec
# R = Скорость приема
dialog_network_id                                     Идентификация
dialog_network_ip_port                                IP:Порт
dialog_network_seqid                                  Посл. ид-ии 
dialog_network_seqid_number                           Посл. ид-ии *S
# S = Последовательность идентификации
dialog_network_name                                   Имя
dialog_network_status                                 Состояние
dialog_network_lost_con                               Последнее соединение...*Ss
# S = Секунд со времени разрыва соединения
dialog_network_synching                               Синхронизация...*P
# P = Процент выполненной синхронизации
dialog_network_ping                                   Запрос отклика *Pms
# M = Время отклика в миллисекундах
dialog_network_spec                                   (укажите)
dialog_network_empty                                  Пусто
dialog_network_sequence_msg_queue                     Сообщений в очереди. Лучше 0 или 1, без пробелов.
dialog_network_svr_known_seqid                        Посл-ть ид-ии сервера *S
# S = Последовательность идентификации 
dialog_network_svr_estimated_seqid                    Прим. посл-ть идент-ии сервера   *S
# S = Последовательность идентификации 
dialog_network_estimated_latency                      Примерное время ожидания : *L сек
# L = Примерное время ожидания 


dialog_network_client_seqid                           Посл-ть идент-ии клиента *S
# S = Последовательность идентификации
dialog_network_client_send                            Клиент отправляет        *R Кб/сек 
# R = Скорость отправки
dialog_network_client_receive                         Клиент принимает     *R Кб/сек 
# R = скорость приема

dialog_profile_title                                  Настройка профиля
dialog_profile_toggle_glfinish                        Завершить
dialog_profile_reset_history                          Сбросить историю
dialog_profile_min                                    Минимум
dialog_profile_avg                                    В среднем
dialog_profile_max                                    Максимум

dialog_c2s_team_renamed                               *T изменила имя на *N
# T = Старое имя команды, N = Новое имя команды

dialog_c2s_team_joined_game                           *T входит в игру
# T = Имя команды

dialog_c2s_default_name_spectator                     Зритель
dialog_c2s_default_name_player                        Игрок *T
# T = Имя команды

dialog_world_new_spec_connecting                      Подключился новый зритель
dialog_world_team_left_game                           *T покинул игру
# T = Имя команды

dialog_world_spec_left_game                           Зритель *T покинул игру
# T = Имя команды

dialog_world_rejoined                                 *T ВОЗВРАЩАЕТСЯ
# T = Имя команды

dialog_world_disconnected                             *T ОТСОЕДИНЯЕТСЯ
# T = Имя команды

dialog_world_dropped                                  *T ВЫБРОШЕНА
# T = Имя команды

dialog_world_kicked                                   *T ИСКЛЮЧЕНА
# T = Имя команды

dialog_mapr_fps                                       *F кадров в секунду
# F = Кадров в секунду (fps)
dialog_mapr_city_population                           МИЛЛИОНОВ НАСЕЛЕНИЯ : *P
# P = Население города
dialog_mapr_city_dead                                 ПОГИБЛО МИЛЛИОНОВ : *D
# D = Погибшее население города
dialog_mapr_mode                                      *M
# M = Текущее состояние
dialog_mapr_secs                                      *S СЕК.
# S = Секунд
dialog_mapr_empty                                     ПУСТО
dialog_mapr_cancel_all_orders                         ОТМЕНИТЬ ВСЕ ПРИКАЗЫ
dialog_mapr_not_before_defcon_x                       НЕДОПУСТИМО ДО DEFCON *D
# D = Уровень Defcon
dialog_mapr_defcon_x_required                         ТРЕБУЕТСЯ DEFCON *D
# D = Уровень Defcon
dialog_mapr_out_of_range                              ВНЕ ДОСЯГАЕМОСТИ
dialog_mapr_combat_range                              РАДИУС ДЕЙСТВИЯ
dialog_mapr_fuel_range                                ДАЛЬНОСТЬ ПОЛЕТА С ИМЕЮЩИМСЯ ТОПЛИВОМ
dialog_mapr_nukes_in_queue                            *N В ОЧЕРЕДИ
# N = Количество ракет
dialog_mapr_nukes_in_flight                           *N В ПОЛЕТЕ
# N = Количество ракет

dialog_style                                          Стиль
dialog_style_editor                                   Редактор стиля
dialog_style_primary                                  основной
dialog_style_secondary                                доп.
dialog_style_red                                      Красный
dialog_style_green                                    Зеленый
dialog_style_blue                                     Голубой
dialog_style_alpha                                    Альфа
dialog_style_colour_editor                            Редактор цвета *I *P
# I = Текущий индекс, P = Основной (0/1)
dialog_style_failed_load_style                        Не удалось загрузить стиль\n
dialog_style_style_saved                              Стиль сохранен в\n
dialog_style_failed_save_style                        Не удалось сохранить стиль в\n
dialog_style_col_primary                              Основной
dialog_style_col_secondary                            Доп.
dialog_style_col_horiz                                Гориз.
dialog_style_col_ngtive                               Отриц.
dialog_style_col_caps                                 Проп.
dialog_style_col_size                                 Размер
dialog_style_col_font                                 Шрифт


# =============================================================================
# Подсказки 
# =============================================================================

tooltip_timeaccel0                                    Приостановить игру
tooltip_timeaccel1                                    Запустить в реальном времени
tooltip_timeaccel2                                    Ускорить время\n(в 5 раз)
tooltip_timeaccel3                                    Ускорить время\n(в 10 раз)
tooltip_timeaccel4                                    Ускорить время\n(в 20 раз)

tooltip_worldstatus_x_faster_realtime                 *Sx реальн. врем.
# S = во столько раз ускоряется реальное время
tooltip_worldstatus_key_shortcut_0                    \nгорячая клавиша: 0\n
tooltip_worldstatus_key_shortcut_1                    \nгорячая клавиша: 1\n
tooltip_worldstatus_key_shortcut_2                    \nгорячая клавиша: 2\n
tooltip_worldstatus_key_shortcut_3                    \nгорячая клавиша: 3\n
tooltip_worldstatus_key_shortcut_4                    \nгорячая клавиша: 4\n
tooltip_worldstatus_players_request_speed             Запрашивают скорость:
tooltip_worldstatus_no_team_request_speed             \nНет
tooltip_worldstatus_cannot_request_speed              Вы не можете задать данную скорость

tooltip_defcon5                                       DEFCON 5\nВраждебные действия запрещены\nВражеские единицы не отображаются на радаре 
tooltip_defcon4                                       DEFCON 4\nВражеские единицы отображаются на радаре
tooltip_defcon3                                       DEFCON 3\nМорские сражения разрешены\nВоздушные сражения разрешены
tooltip_defcon2                                       DEFCON 2
tooltip_defcon1                                       DEFCON 1\nЯдерные войны разрешены

tooltip_toolbar_whiteboard                            Переключиться на белую доску
tooltip_toolbar_whiteboard_disabled                   Белая доска отключена по причине устаревшей версии хоста 
tooltip_toolbar_radar                                 Показать зону обзора
tooltip_toolbar_pop                                   Показать плотность населения
tooltip_toolbar_alliances                             Показать окно союзов
tooltip_toolbar_units                                 Показать панель боевых единиц
tooltip_toolbar_score                                 Показать окно счета
tooltip_toolbar_comms                                 Показать окно коммуникаций
tooltip_toolbar_orders                                Показать команды
tooltip_toolbar_info                                  Показать окно информации о единице
tooltip_toolbar_territory                             Показать территории
tooltip_toolbar_nukes                                 Показать единицы с ядерным оружием

tooltip_whiteboard_planning                           Включить рисование на Белой Доске. Щелчок левой кнопкой - рисовать, правой кнопкой - стирать.
tooltip_whiteboard_eraseall                           Очистить Белую Доску.
tooltip_whiteboard_showall                            Переключиться с досок союзников на свою белую доску.

tooltip_gameoption_servername                         Введите имя игрового сервера, которое смогут увидеть другие игроки 
tooltip_gameoption_advertiseoninternet                При включении о вашей игре станет известно на метасервере, и другие игроки смогут присоединиться к вашей игре. 
tooltip_gameoption_advertiseonlan                     При включении ваша игра станет видимой для других игроков местной сети.
tooltip_gameoption_maxteams                           Максимальное количество игроков, которые могут участвовать в вашей игре.
tooltip_gameoption_territoriesperteam                 Количество территорий в собственности каждого игрока во время игры.
tooltip_gameoption_citiesperterritory                 Количество городов, сгенерированных на территории каждого игрока.
tooltip_gameoption_populationperterritory             Количество человек (в миллионах) на каждой территории.\nНаселение городов будет изменяться соответствующим образом
tooltip_gameoption_citypopulations                    Настройки распределения вашего населения по городам.\n\n- По умолчанию: Население городов устанавливается в соответствии с реальными цифрами\n\n- Выровнено: Население всех городов одинаково\n\n- Случайный порядок: Население всех городов задается случайным образом, но стандартные города выбираются игрой, поэтому ваши города будут всегда находиться на одном и том же месте.\n\n- Полностью случайно: Население всех городов задается случайным образом. Кроме того, города из базы данных будут выбираться произвольно, поэтому и размещение ваших городов будет также случайным. 
tooltip_gameoption_randomterritories                  При включении игрокам в начале игры будут приписываться случайно выбранные территории.\n\nУдобно при решении споров по поводу того, кто будет выступать за Европу. 
tooltip_gameoption_maxspectators                      Максимальное число игроков, которые могут наблюдать за игрой.\nПредупреждение: каждый зритель создает дополнительную нагрузку на канал сервера.\n\n0=ни одного\n100=не ограничено.
tooltip_gameoption_spectatorchatchannel               Определяет право игроков получать сообщения от зрителей. Вы можете сделать канал зрителей закрытым, и у них не будет возможности помогать игрокам.\n\n- Открытый: Все игроки могут читать сообщения от зрителей. (по умолчанию)\n\n- Закрытый: Сообщения на канале зрителей смогут читать только зрители. В этом режиме игрок и зритель не смогут обмениваться сообщениями. 
tooltip_gameoption_teamswitching                      Если включено, игроки смогут менять команды во время игры, используя цифровые клавиши.\n\nНе рекомендуется для серьезной игры!
tooltip_gameoption_permitdefection                    Если включено, игроки смогут менять союзников во время игры
tooltip_gameoption_radarsharing                       Определяет право игроков на совместное использование радара с другими игроками.\n\n- Всегда отключено: Совместное использование радара запрещено.\n\n- Союз: Союзники автоматически используют радар совместно. (по умолчанию)\n\n- Выборочно: Каждый игрок может выбрать, с кем совместно использовать радар (с союзниками или нет).\n\n- Всегда включено: Совместное использование радара разрешено для всех. Это простой режим для новичков, так как он позволяет постоянно видеть все боевые единицы противника.
tooltip_gameoption_gamespeed                          Настройки скорости для этой игры \nСамый медленный режим использует минимальную скорость, выбранную любым игроком. 
tooltip_gameoption_slowestspeed                       Минимальная скорость, на которой может функционировать игра. Если выбрана Пауза, каждый игрок может приостановить игру, используя панель настройки скорости.
tooltip_gameoption_enableworldevents                  Если включено, во время игры будут происходить случайные события 
tooltip_gameoption_gamemode                           Устанавливает правила игры 
tooltip_gameoption_scoremode                          Устанавливает количество очков за поражение противника/смерть/оставшееся ядерное оружие
tooltip_gameoption_victorytrigger                     Определяет момент для запуска таймера победы. Значение параметра отражает процент, ниже которого должно упасть общее количество ядерного оружия в мире для запуска таймера победы.\n\nНапример: Если значение установлено на 20 (по умолчанию), общее количество ядерного оружия должно упасть ниже 20% от начальной цифры для активации таймера победы.
tooltip_gameoption_victorytimer                       При запуске таймера победы до остановки игры останется следующее количество игровых минут.
tooltip_gameoption_maxgamerealtime                    Максимальное реальное время для игры в минутах.\n\n0 = неограниченное реальное время – игра не остановится, пока таймер победы не закончит отсчет.
tooltip_gameoption_variableunitcounts                 Включает режим кредитов\nКаждый игрок получает определенное количество кредитов для покупки боевых единиц, и может модифицировать свою армию по своему желанию 
tooltip_gameoption_worldscale                         Примечание: Экспериментальный.\n\nДанная переменная расширяет границы мира, соответственно увеличивая продолжительность игры.\n\nНа уровне в 100 масштаб мира нормальный.\n\nНа максимальном уровне (200) у каждой команды в два раза больше единиц, но у каждой единицы ударная мощь и радиус обзора радара в два раза меньше.\n\nМаксимально экспериментальный.\nТребует мощного процессора.\nРекомендуем вам отключить рендеринг следов объектов для более четкой картины.
tooltip_gameoption_permitpausing                      Если включено, игрок может включить паузу во время игры 
tooltip_gameoption_serverpassword                     Воспользуйтесь этой функцией для разрешения доступа только тем игрокам, у которых есть пароль.\n\nПри отсутствии пароля оставьте пустым.

tooltip_gamemode_default                              Унитожайте города противника ядерным оружием.\nDefcon будет идти на минимальной заданной скорости.
tooltip_gamemode_office_mode                          Defcon запустится в окне в режиме без звука, и будет работать в реальном времени до 6 часов.\nПри появлении шефа дважды нажмите Esc, чтобы спрятать окно.
tooltip_gamemode_speed_defcon                         Defcon запустится на полной скорости и проработает не более 15 минут. Пауза отключена. Инстинктивно и жестко.
tooltip_gamemode_diplomacy                            Все игроки начнут игру в составе Зеленого союза с совместным использованием радара. Сколько продержится союз? (Желательно 3 и более игроков).
tooltip_gamemode_bigworld                             Мир в два раза больше! У каждого игрока в два раза больше войск, но у них только половина силы, размера, скорости и зоны обзора.\nДля тех, кто любит играть долго.
tooltip_gamemode_tournament                           Параметры по умолчанию, но зрители не могут обмениваться сообщениями с игроками, а территории игроков случайны.
tooltip_gamemode_custom                               Определенных значений не установлено. Все параметры можно изменить.  

tooltip_scoremode_default                             +2 очка за каждое поражение противника.\n -1 очко за то, что вы не сумели защитить.
tooltip_scoremode_survivor                            +1 очко за каждого выжившего. В начале у всех 100 очков, они постепенно теряются.
tooltip_scoremode_genocide                            +1 очко за убитого врага. Просто, но страшно.

tooltip_defection_no                                  Предательство запрещено. Все союзы остаются неизменными в течение всей игры.\n\nВы автоматически переходите в режим «Прекратить огонь» при встрече с союзниками.
tooltip_defection_yes                                 Предательство разрешено. Вы, как и любой другой игрок, можете сменить союз в любое время.\n\nВы можете включить или отключить режим «Прекратить огонь» при встрече с союзниками в любой момент.

tooltip_radarsharing_alwaysoff                        Совместное использование радара запрещено.  Вы сможете увидеть зону обзора только своего радара.
tooltip_radarsharing_alliance                         Совместное использование радара разрешено между членами союза. Это означает, что вы будете автоматически совместно использовать радар со всеми вашими союзниками.\n\nСоюзные подводные лодки не будут отображаться, пока не поднимутся на поверхность.
tooltip_radarsharing_selective                        Выборочное совместное использование радара. Вы можете совместно использовать (или нет) свой радар с любым другим игроком.
tooltip_radarsharing_alwayson                         Совместное использование радара разрешено для всех. Каждая боевая единица в игре отображается на радаре\n\nПримечание: Вы не сможете увидеть вражеские подводные лодки, если они не на поверхности.

tooltip_ceasefire_enable                              Ваши боевые единицы автоматически прекратят атаку на эту команду.\nВсе ядерное оружие, направленное на эту команду, автоматически нейтрализуется. 
tooltip_ceasefire_disable                             Ваши боевые единицы станут воспринимать эту команду как врага и автоматически откроют по ней огонь.
tooltip_radarshare_enable                             Зона обзора вашего радара будет отправляться этой команде, и они смогут увидеть все, что отображается на вашем мониторе.\nПримечание: Ваши подводные лодки останутся скрытыми, находясь под водой.
tooltip_radarshare_disable                            Вы прекратите отправлять зону обзора радара этой команде. Они больше не смогут обозревать ситуацию с вашей позиции. 

tooltip_place_silo                                    Разместить ракетную шахту
tooltip_place_radar                                   Разместить радарную станцию
tooltip_place_airbase                                 Разместить авиабазу
tooltip_place_battleship                              Добавить к флоту линкор 
tooltip_place_sub                                     Добавить к флоту подводную лодку
tooltip_place_carrier                                 Добавить к флоту авианосец

tooltip_place_unit                                    Разместить единицу здесь
tooltip_place_fleet                                   Разместить флот здесь
tooltip_fleet_button                                  Построить флот
tooltip_fleet_remove                                  Убрать эту единицу из флота
tooltip_fleet_place                                   Разместить флот здесь

tooltip_territory_northamerica                        Северная Америка
tooltip_territory_southamerica                        Южная Америка
tooltip_territory_europe                              Европа
tooltip_territory_russia                              Россия
tooltip_territory_southasia                           Южная Азия
tooltip_territory_africa                              Африка

tooltip_lobby_teamname                                Введите имя для своей команды
tooltip_lobby_territories                             Выберите территорию для своей команды
tooltip_lobby_alliance                                Выберите союз, к которому хотите присоединиться
tooltip_lobby_requestteam                             Создать команду для игры
tooltip_lobby_requestai                               Создать команду, управляемую компьютером
tooltip_lobby_ready                                   Готов к игре. Игра начнется, когда все игроки будут готовы 
tooltip_lobby_ready_disable                           Название игры недопустимо
tooltip_lobby_chat                                    Открыть окно сообщений
tooltip_lobby_aggression                              Изменяет агрессию компьютера, максимум - 10\n0 - агрессия проявляется случайным образом
tooltip_lobby_demo_max_player                         У вас запущена демоверсия – в вашей игре недопустимо данное количество игроков. 
tooltip_lobby_click_open_slot                         Щелкните для открытия слота и разрешения доступа для други игроков
tooltip_lobby_click_close_slot                        Щелкните для закрытия слота и ограничения доступа для других игроков
tooltip_lobby_address_port                            IP: *I\nПорт:*P
# I = IP-адрес, P = Порт

tooltip_chat_public                                   Общий канал. Сообщения могут видеть все игроки 
tooltip_chat_alliance                                 Союзный канал. Только члены вашего союза могут видеть сообщения
tooltip_chat_spectators                               Канал зрителей. Сообщения могут оставлять только зрители.

tooltip_alliance_join                                 Отправить запрос на присоединение к союзу
tooltip_alliance_leave                                Покинуть союз
tooltip_alliance_kick                                 Начать голосование об исключении данного члена из союза 

tooltip_vote_yes                                      Проголосовать ЗА
tooltip_vote_no                                       Проголосовать ПРОТИВ
tooltip_vote_abstain                                  Воздержаться от голосования

tooltip_lmb                                           [ЛКМ]
tooltip_rmb                                           [ПКМ]

tooltip_placeobject                                   [ЛКМ] РАЗМЕСТИТЬ ЕДИНИЦУ
tooltip_placefleet                                    [ЛКМ] РАЗМЕСТИТЬ ФЛОТ
tooltip_invalidplacement                              НЕВЕРНОЕ РАЗМЕЩЕНИЕ
tooltip_spacetocancel                                 НАЖМИТЕ ПРОБЕЛ ДЛЯ ОТМЕНЫ

tooltip_selectobject                                  [ЛКМ] ВЫБРАТЬ ЕДИНИЦУ 
tooltip_selectfleet                                   [ЛКМ] ВЫБРАТЬ ФЛОТ
tooltip_setobjectstate                                [ПКМ] ИЗМЕНИТЬ СТАТУС
tooltip_enemyunit                                     (ВРАЖЕСКАЯ ЕДИНИЦА)
tooltip_attack                                        [ЛКМ] АТАКОВАТЬ ЕДИНИЦУ
tooltip_moveobject                                    [ПКМ] ПЕРЕМЕСТИТЬ ЕДИНИЦУ
tooltip_movefleet                                     [ПКМ] ПЕРЕМЕСТИТЬ ФЛОТ
tooltip_cantmovehere                                  ПЕРЕМЕЩЕНИЕ НЕВОЗМОЖНО
tooltip_spawnfighter                                  [ЛКМ] НАПРАВИТЬ ИСТРЕБИТЕЛЬ
tooltip_spawnbomber                                   [ЛКМ] НАПРАВИТЬ БОМБАРДИРОВЩИК
tooltip_spawnnuke                                     [ЛКМ] НАПРАВИТЬ ЯДЕРНУЮ РАКЕТУ
tooltip_spacetodeselect                               ПРОБЕЛ - ОТМЕНА ВЫБОРА
tooltip_landobject                                    [ЛКМ] ПОСАДИТЬ САМОЛЕТ

tooltip_controls_sidescrolling                        Позволяет вам двигать камеру мышью по краю экрана
tooltip_controls_zoomspeed                            Настраивает степень увеличения с помощью мыши и сенсорной панели.
tooltip_controls_camdragging                          Позволяет перетаскивать камеру путем удержания средней кнопки мыши
tooltip_controls_keyboardlayout                       Позволяет изменять режим ввода

tooltip_close_window                                  Закрыть окно

tooltip_demo_exit_the_game                            Выйти из игры

tooltip_server_browser_game_time                      Время игры:
tooltip_server_browser_game_has_ended                 \nИгра закончена
tooltip_server_browser_game_started                   Запущена
tooltip_server_browser_not_yet_started                Не запущена
tooltip_server_browser_teams                          \nКоманды :
tooltip_server_browser_spectator                      \nЗрители :
tooltip_server_browser_game_mode                      \nРежим игры :
tooltip_server_browser_score_mode                     \nРежим очков :
tooltip_server_browser_mod                            \nМод:
tooltip_server_browser_right_click_details            \n(Щелчок правой кнопкой для деталей)


# =============================================================================
# Параметры игры
# =============================================================================

gameoption_PlayerName                                 NewPlayer

gameoption_ServerName                                 Имя сервера

gameoption_New_Game_Server                            New Game Server
gameoption_AdvertiseOnInternet                        Показывать в сети
gameoption_Disabled                                   Отключено
gameoption_Enabled                                    Включено
gameoption_AdvertiseOnLAN                             Показывать в LAN
gameoption_GameMode                                   Режим игры
gameoption_Default                                    Обычный
gameoption_Office_Mode                                Офисный режим
gameoption_Speed_Defcon                               Быстрый Defcon
gameoption_Diplomacy                                  Дипломатия
gameoption_BigWorld                                   Огромный Мир
gameoption_Tournament                                 Турнир
gameoption_Custom                                     Собственный
gameoption_MaxTeams                                   Максимальное количество команд
gameoption_TerritoriesPerTeam                         Территорий на команду
gameoption_CitiesPerTerritory                         Городов на территорию 
gameoption_PopulationPerTerritory                     Население
gameoption_CityPopulations                            Население городов
gameoption_Equalised                                  Выровнено
gameoption_Random                                     Случ. порядок
gameoption_TotallyRandom                              Полн. случайно
gameoption_RandomTerritories                          Случайные территории
gameoption_PermitDefection                            Право предать
gameoption_No                                         Нет
gameoption_Yes                                        Да
gameoption_RadarSharing                               Общий радар
gameoption_AlwaysOff                                  Всегда отключено
gameoption_Alliance                                   Союз
gameoption_Selective                                  Выборочно
gameoption_AlwaysOn                                   Всегда включено
gameoption_GameSpeed                                  Скорость игры
gameoption_Slowest_Requested                          Мин. заданная
gameoption_Pause                                      Пауза
gameoption_Real_Time                                  Реальн. врем.
gameoption_5x_Real_Time                               5x реальн. врем.
gameoption_10x_Real_Time                              10x реальн. врем.
gameoption_20x_Real_Time                              20x реальн. врем.
gameoption_SlowestSpeed                               Мин. скорость
